case index 0 = {
los index, 0
num freq, 9701
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
300, 0.00785763, 0, 0, 0, 2.26974e-09, 2.22512e-09, 0, 0, 4.49485e-09, 9.43658e-09, 1.10953e-08, 4.84627, 0.970999, 1.18028e-06, 1154.51
301, 0.0120859, 0, 0, 0, 3.73505e-09, 3.57684e-09, 0, 0, 7.31188e-09, 1.55046e-08, 1.79676e-08, 4.41572, 0.970968, 1.23443e-06, 1164.79
302, 0.0176568, 0, 0, 0, 5.95052e-09, 5.58318e-09, 0, 0, 1.15337e-08, 2.46777e-08, 2.82509e-08, 4.03663, 0.970941, 1.34285e-06, 1174.46
303, 0.0246357, 0, 0, 0, 8.75762e-09, 8.07817e-09, 0, 0, 1.68358e-08, 3.63125e-08, 4.11563e-08, 3.70356, 0.970909, 1.44843e-06, 1182.09
304, 0.0330005, 0, 0, 0, 1.15527e-08, 1.04944e-08, 0, 0, 2.20471e-08, 4.793e-08, 5.38425e-08, 3.41123, 0.970879, 1.46422e-06, 1186.66
305, 0.0428252, 0, 0, 0, 1.45758e-08, 1.3034e-08, 0, 0, 2.76098e-08, 6.05348e-08, 6.73992e-08, 3.15063, 0.970849, 1.42061e-06, 1189.98
306, 0.0537964, 0, 0, 0, 1.90406e-08, 1.67805e-08, 0, 0, 3.5821e-08, 7.92417e-08, 8.74981e-08, 2.92255, 0.970819, 1.44917e-06, 1194.43
307, 0.0659635, 0, 0, 0, 2.60479e-08, 2.26707e-08, 0, 0, 4.87186e-08, 1.08697e-07, 1.19167e-07, 2.71865, 0.970792, 1.60303e-06, 1200.42
308, 0.0788357, 0, 0, 0, 3.52609e-08, 3.04026e-08, 0, 0, 6.56636e-08, 1.47711e-07, 1.61012e-07, 2.54039, 0.970759, 1.83126e-06, 1206.25
309, 0.0922507, 0, 0, 0, 4.53336e-08, 3.87824e-08, 0, 0, 8.41159e-08, 1.90786e-07, 2.06921e-07, 2.38324, 0.970729, 2.03824e-06, 1210.6
310, 0.106271, 0, 0, 0, 5.71995e-08, 4.86009e-08, 0, 0, 1.058e-07, 2.42139e-07, 2.61357e-07, 2.24176, 0.970701, 2.24337e-06, 1214.45
311, 0.120049, 0, 0, 0, 7.22349e-08, 6.10965e-08, 0, 0, 1.33332e-07, 3.07937e-07, 3.31047e-07, 2.11986, 0.97067, 2.53156e-06, 1218.44
312, 0.134188, 0, 0, 0, 8.51727e-08, 7.17594e-08, 0, 0, 1.56932e-07, 3.65453e-07, 3.91521e-07, 2.00852, 0.970641, 2.7142e-06, 1220.29
313, 0.148121, 0, 0, 0, 9.2858e-08, 7.8039e-08, 0, 0, 1.70898e-07, 4.01673e-07, 4.28923e-07, 1.90973, 0.970611, 2.71033e-06, 1219.66
314, 0.161588, 0, 0, 0, 1.00672e-07, 8.45504e-08, 0, 0, 1.85223e-07, 4.39968e-07, 4.68396e-07, 1.82271, 0.970581, 2.71587e-06, 1218.9
315, 0.174719, 0, 0, 0, 1.10459e-07, 9.28286e-08, 0, 0, 2.03288e-07, 4.88011e-07, 5.18184e-07, 1.74458, 0.970549, 2.78871e-06, 1218.56
316, 0.186962, 0, 0, 0, 1.20177e-07, 1.01211e-07, 0, 0, 2.21388e-07, 5.37406e-07, 5.69309e-07, 1.67685, 0.970521, 2.86913e-06, 1218
