case index 0 = {
los index, 0
num freq, 9701
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
300, 0.00527427, 0, 0, 0, 3.45017e-11, 2.46621e-11, 0, 0, 5.91637e-11, 3.02851e-08, 3.25416e-13, 5.24492, 0.29, 5.63183e-06, 1045.47
301, 0.00839184, 0, 0, 0, 7.40471e-11, 4.88351e-11, 0, 0, 1.22882e-10, 5.15454e-08, 1.3663e-12, 4.7805, 0.289998, 5.89014e-06, 1059.27
302, 0.0126349, 0, 0, 0, 1.5571e-10, 9.42957e-11, 0, 0, 2.50005e-10, 8.45213e-08, 4.81418e-12, 4.37129, 0.289999, 6.40751e-06, 1073.06
303, 0.0181034, 0, 0, 0, 3.01879e-10, 1.68022e-10, 0, 0, 4.699e-10, 1.27441e-07, 1.38649e-11, 4.01166, 0.289998, 6.91131e-06, 1085.35
304, 0.0248294, 0, 0, 0, 5.41038e-10, 2.74283e-10, 0, 0, 8.15322e-10, 1.71919e-07, 3.52163e-11, 3.69573, 0.289998, 6.98665e-06, 1096.01
305, 0.0329097, 0, 0, 0, 9.6724e-10, 4.43582e-10, 0, 0, 1.41084e-09, 2.21924e-07, 8.43997e-11, 3.41399, 0.289999, 6.77851e-06, 1106.9
306, 0.0421137, 0, 0, 0, 1.80961e-09, 7.53896e-10, 0, 0, 2.5635e-09, 2.96469e-07, 1.98862e-10, 3.16738, 0.289999, 6.91482e-06, 1119.41
307, 0.052511, 0, 0, 0, 3.44714e-09, 1.32409e-09, 0, 0, 4.77121e-09, 4.1383e-07, 4.47899e-10, 2.94673, 0.289999, 7.64897e-06, 1132.97
308, 0.0636761, 0, 0, 0, 6.19781e-09, 2.23108e-09, 0, 0, 8.42885e-09, 5.70322e-07, 9.12462e-10, 2.75395, 0.289998, 8.7379e-06, 1145.5
309, 0.075487, 0, 0, 0, 1.04662e-08, 3.54883e-09, 0, 0, 1.40151e-08, 7.45799e-07, 1.71592e-09, 2.5838, 0.289999, 9.72558e-06, 1156.69
310, 0.0879788, 0, 0, 0, 1.71483e-08, 5.51643e-09, 0, 0, 2.26647e-08, 9.57773e-07, 3.08528e-09, 2.43066, 0.29, 1.07043e-05, 1167.37
311, 0.100391, 0, 0, 0, 2.70755e-08, 8.34708e-09, 0, 0, 3.54222e-08, 1.23005e-06, 5.25325e-09, 2.29868, 0.289999, 1.20794e-05, 1177.32
312, 0.113265, 0, 0, 0, 3.90857e-08, 1.16036e-08, 0, 0, 5.06893e-08, 1.47225e-06, 8.08469e-09, 2.17803, 0.289999, 1.2951e-05, 1184.85
313, 0.126053, 0, 0, 0, 5.1514e-08, 1.47997e-08, 0, 0, 6.63135e-08, 1.63114e-06, 1.13257e-08, 2.07105, 0.29, 1.29325e-05, 1189.77
314, 0.138519, 0, 0, 0, 6.67275e-08, 1.86252e-08, 0, 0, 8.53527e-08, 1.79999e-06, 1.55679e-08, 1.97675, 0.29, 1.2959e-05, 1194.28
315, 0.150753, 0, 0, 0, 8.53308e-08, 2.32747e-08, 0, 0, 1.08606e-07, 2.00942e-06, 2.099e-08, 1.89211, 0.289999, 1.33065e-05, 1198.51
316, 0.162231, 0, 0, 0, 1.06346e-07, 2.84672e-08, 0, 0, 1.34813e-07, 2.22543e-06, 2.75343e-08, 1.81873, 0.289999, 1.36903e-05, 1202.04
317, 0.173364, 0, 0, 0, 1.31523e-07, 3.4656e-08, 0, 0, 1.66179e-07, 2.47949e-06, 3.57305e-08, 1.75236, 0.29, 1.42741e-05, 1205.41
318, 0.184601, 0, 0, 0, 1.57418e-07, 4.08587e-08, 0, 0, 1.98277e-07, 2.69006e-06, 4.47269e-08, 1.68956, 0.289999, 1.45779e-05, 1207.8
319, 0.195428, 0, 0, 0, 1.84483e-07, 4.72824e-08, 0, 0, 2.31765e-07, 2.87917e-06, 5.4852e-08, 1.63256, 0.29, 1.47113e-05, 1209.56
320, 0.205224, 0, 0, 0, 2.18956e-07, 5.5629e-08, 0, 0, 2.74583e-07, 3.17355e-06, 6.81083e-08, 1.58365, 0.289999, 1.54071e-05, 1211.8
321, 0.214949, 0, 0, 0, 2.52686e-07, 6.3769e-08, 0, 0, 3.16457e-07, 3.44407e-06, 8.17706e-08, 1.53735, 0.289998, 1.60023e-05, 1213.18
322, 0.222732, 0, 0, 0, 2.65666e-07, 6.70363e-08, 0, 0, 3.32702e-07, 3.49478e-06, 8.96211e-08, 1.50179, 0.289999, 1.57067e-05, 1211.56
323, 0.230968, 0, 0, 0, 2.84653e-07, 7.16969e-08, 0, 0, 3.5635e-07, 3.57594e-06, 1.00668e-07, 1.46547, 0.289999, 1.54693e-05, 1210.58
324, 0.239598, 0, 0, 0, 3.31914e-07, 8.34846e-08, 0, 0, 4.154e-07, 3.98848e-06, 1.22695e-07, 1.42879, 0.289999, 1.65937e-05, 1212.41
325, 0.245884, 0, 0, 0, 3.87854e-07, 9.79995e-08, 0, 0, 4.85852e-07, 4.57657e-06, 1.49652e-07, 1.4029, 0.289999, 1.85455e-05, 1214.38
326, 0.253088, 0, 0, 0, 4.44533e-07, 1.12451e-07, 0, 0, 5.56981e-07, 5.09722e-06, 1.78409e-07, 1.37402, 0.289999, 2.00755e-05, 1215.73
327, 0.259831, 0, 0, 0, 4.73908e-07, 1.20269e-07, 0, 0, 5.94172e-07, 5.33121e-06, 1.97474e-07, 1.34773, 0.289998, 2.04853e-05, 1214.69
328, 0.265044, 0, 0, 0, 4.80378e-07, 1.22856e-07, 0, 0, 6.03236e-07, 5.37655e-06, 2.09034e-07, 1.32786, 0.289998, 2.02512e-05, 1212
329, 0.271759, 0, 0, 0, 5.07288e-07, 1.30259e-07, 0, 0, 6.37549e-07, 5.57068e-06, 2.30107e-07, 1.30284, 0.29, 2.04582e-05, 1210.68
330, 0.277419, 0, 0, 0, 5.19421e-07, 1.34254e-07, 0, 0, 6.53678e-07, 5.66931e-06, 2.44714e-07, 1.28222, 0.29, 2.04233e-05, 1208.36
331, 0.281456, 0, 0, 0, 4.99938e-07, 1.30693e-07, 0, 0, 6.30633e-07, 5.51066e-06, 2.45702e-07, 1.26778, 0.29, 1.95891e-05, 1204.01
332, 0.286948, 0, 0, 0, 4.97458e-07, 1.31061e-07, 0, 0, 6.2852e-07, 5.45554e-06, 2.55185e-07, 1.24846, 0.289999, 1.90155e-05, 1200.78
333, 0.292188, 0, 0, 0, 5.13805e-07, 1.36398e-07, 0, 0, 6.50203e-07, 5.6126e-06, 2.74382e-07, 1.23036, 0.29, 1.91985e-05, 1198.8
334, 0.296455, 0, 0, 0, 5.23885e-07, 1.40441e-07, 0, 0, 6.64327e-07, 5.75348e-06, 2.90993e-07, 1.21586, 0.289998, 1.94047e-05, 1196.42
335, 0.301538, 0, 0, 0, 5.05047e-07, 1.36378e-07, 0, 0, 6.41426e-07, 5.53795e-06, 2.90595e-07, 1.19886, 0.29, 1.83952e-05, 1192.19
336, 0.305935, 0, 0, 0, 4.41348e-07, 1.20245e-07, 0, 0, 5.61592e-07, 4.85631e-06, 2.63545e-07, 1.18438, 0.289998, 1.59042e-05, 1184.76
337, 0.309045, 0, 0, 0, 3.96114e-07, 1.09528e-07, 0, 0, 5.05642e-07, 4.43626e-06, 2.48118e-07, 1.17427, 0.289999, 1.43505e-05, 1178.3
338, 0.312973, 0, 0, 0, 4.16469e-07, 1.16655e-07, 0, 0, 5.33123e-07, 4.71753e-06, 2.73214e-07, 1.16164, 0.289999, 1.50449e-05, 1177.02
339, 0.317521, 0, 0, 0, 4.66128e-07, 1.31878e-07, 0, 0, 5.98005e-07, 5.31039e-06, 3.17971e-07, 1.14721, 0.29, 1.67021e-05, 1177.77
340, 0.321329, 0, 0, 0, 4.96409e-07, 1.41975e-07, 0, 0, 6.38386e-07, 5.71815e-06, 3.51163e-07, 1.13529, 0.29, 1.77973e-05, 1176.92
341, 0.325117, 0, 0, 0, 4.91984e-07, 1.42326e-07, 0, 0, 6.34308e-07, 5.72921e-06, 3.61713e-07, 1.12357, 0.289999, 1.76321e-05, 1173.74
342, 0.329111, 0, 0, 0, 5.0465e-07, 1.47785e-07, 0, 0, 6.52434e-07, 5.93587e-06, 3.87093e-07, 1.11136, 0.289999, 1.80254e-05, 1171.71
343, 0.332512, 0, 0, 0, 5.34568e-07, 1.5845e-07, 0, 0, 6.93021e-07, 6.37518e-06, 4.2605e-07, 1.10108, 0.289999, 1.91643e-05, 1170.74
344, 0.335634, 0, 0, 0, 5.38834e-07, 1.61649e-07, 0, 0, 7.00483e-07, 6.52752e-06, 4.45977e-07, 1.09173, 0.29, 1.94478e-05, 1168.16
345, 0.339345, 0, 0, 0, 5.47377e-07, 1.66071e-07, 0, 0, 7.13449e-07, 6.7095e-06, 4.7166e-07, 1.08074, 0.29, 1.97598e-05, 1165.84
346, 0.343378, 0, 0, 0, 5.87406e-07, 1.80055e-07, 0, 0, 7.67458e-07, 7.26657e-06, 5.26354e-07, 1.06892, 0.289998, 2.1138e-05, 1165.33
347, 0.347108, 0, 0, 0, 6.42669e-07, 1.9905e-07, 0, 0, 8.41722e-07, 8.03805e-06, 5.9746e-07, 1.05812, 0.289999, 2.3135e-05, 1165.46
348, 0.350607, 0, 0, 0, 6.76769e-07, 2.11768e-07, 0, 0, 8.88539e-07, 8.56437e-06, 6.51198e-07, 1.04809, 0.289999, 2.44217e-05, 1164.35
349, 0.354083, 0, 0, 0, 6.6679e-07, 2.10822e-07, 0, 0, 8.77612e-07, 8.5377e-06, 6.63999e-07, 1.03822, 0.29, 2.4122e-05, 1161.08
350, 0.357424, 0, 0, 0, 6.33103e-07, 2.02391e-07, 0, 0, 8.35493e-07, 8.21223e-06, 6.53253e-07, 1.02883, 0.289999, 2.29892e-05, 1156.63
