case index 0 = {
los index, 0
num freq, 9701
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
300, 0.0097482, 0, 0, 0, 0, 2.44103e-07, 0, 0, 2.44103e-07, 0.39633, 0, 4.63067, 0.970999, 41.1048, 1277.39
301, 0.0147202, 0, 0, 0, 0, 4.26112e-07, 0, 0, 4.26112e-07, 0.631731, 0, 4.21853, 0.970968, 42.439, 1292.92
302, 0.0211566, 0, 0, 0, 0, 7.19001e-07, 0, 0, 7.19001e-07, 0.977681, 0, 3.8558, 0.970941, 45.5121, 1307.74
303, 0.0290961, 0, 0, 0, 0, 1.11738e-06, 0, 0, 1.11738e-06, 1.40366, 0, 3.53715, 0.970909, 48.4225, 1320
304, 0.03848, 0, 0, 0, 0, 1.56127e-06, 0, 0, 1.56127e-06, 1.81003, 0, 3.25762, 0.970879, 48.3141, 1328.63
305, 0.0493676, 0, 0, 0, 0, 2.10689e-06, 0, 0, 2.10689e-06, 2.23038, 0, 3.00846, 0.970849, 46.2186, 1336.14
306, 0.0613953, 0, 0, 0, 0, 2.96307e-06, 0, 0, 2.96307e-06, 2.84877, 0, 2.79042, 0.970819, 46.4391, 1345.4
307, 0.0746031, 0, 0, 0, 0, 4.36762e-06, 0, 0, 4.36762e-06, 3.8206, 0, 2.59557, 0.970792, 50.6227, 1356.72
308, 0.0884619, 0, 0, 0, 0, 6.3458e-06, 0, 0, 6.3458e-06, 5.09066, 0, 2.42518, 0.970759, 57.0563, 1367.75
309, 0.10279, 0, 0, 0, 0, 8.78707e-06, 0, 0, 8.78707e-06, 6.45427, 0, 2.27507, 0.970729, 62.7023, 1377.11
310, 0.117667, 0, 0, 0, 0, 1.20172e-05, 0, 0, 1.20172e-05, 8.03758, 0, 2.1399, 0.970701, 68.0914, 1386.17
311, 0.1322, 0, 0, 0, 0, 1.64015e-05, 0, 0, 1.64015e-05, 10.0463, 0, 2.02344, 0.97067, 75.8509, 1395.35
312, 0.14703, 0, 0, 0, 0, 2.09104e-05, 0, 0, 2.09104e-05, 11.7389, 0, 1.91712, 0.970641, 80.3884, 1401.83
313, 0.161579, 0, 0, 0, 0, 2.47695e-05, 0, 0, 2.47695e-05, 12.6992, 0, 1.82276, 0.970611, 79.3097, 1405.27
314, 0.17558, 0, 0, 0, 0, 2.93436e-05, 0, 0, 2.93436e-05, 13.684, 0, 1.73966, 0.970581, 78.4523, 1408.79
315, 0.189181, 0, 0, 0, 0, 3.5127e-05, 0, 0, 3.5127e-05, 14.947, 0, 1.66505, 0.970549, 79.5606, 1412.82
316, 0.20182, 0, 0, 0, 0, 4.17815e-05, 0, 0, 4.17815e-05, 16.2156, 0, 1.60038, 0.970521, 80.8559, 1416.65
317, 0.213971, 0, 0, 0, 0, 5.0123e-05, 0, 0, 5.0123e-05, 17.7165, 0, 1.54191, 0.970491, 83.2917, 1420.93
318, 0.226135, 0, 0, 0, 0, 5.90229e-05, 0, 0, 5.90229e-05, 18.8712, 0, 1.48662, 0.97046, 84.0991, 1424.46
319, 0.237779, 0, 0, 0, 0, 6.86791e-05, 0, 0, 6.86791e-05, 19.8237, 0, 1.43641, 0.970431, 83.8549, 1427.51
