case index 0 = {
los index, 0
num freq, 9701
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
300, 0.00974821, 0, 0, 0, 1.70617e-09, 1.67281e-09, 0, 0, 3.37899e-09, 1.16946e-08, 7.81927e-09, 4.63067, 0.970999, 1.18028e-06, 1146.63
301, 0.0147202, 0, 0, 0, 2.88736e-09, 2.76139e-09, 0, 0, 5.64876e-09, 1.88492e-08, 1.30644e-08, 4.21853, 0.970968, 1.23443e-06, 1157.51
302, 0.0211566, 0, 0, 0, 4.7098e-09, 4.40792e-09, 0, 0, 9.11771e-09, 2.95194e-08, 2.109e-08, 3.8558, 0.970941, 1.34285e-06, 1167.69
303, 0.0290961, 0, 0, 0, 7.06643e-09, 6.49536e-09, 0, 0, 1.35617e-08, 4.2864e-08, 3.13944e-08, 3.53715, 0.970909, 1.44843e-06, 1175.76
304, 0.03848, 0, 0, 0, 9.48285e-09, 8.57569e-09, 0, 0, 1.80586e-08, 5.59152e-08, 4.18689e-08, 3.25762, 0.970879, 1.46422e-06, 1180.75
305, 0.0493677, 0, 0, 0, 1.21711e-08, 1.08245e-08, 0, 0, 2.29956e-08, 6.97912e-08, 5.343e-08, 3.00846, 0.970849, 1.42061e-06, 1184.51
306, 0.0613954, 0, 0, 0, 1.61538e-08, 1.41463e-08, 0, 0, 3.03001e-08, 9.03599e-08, 7.06184e-08, 2.79042, 0.970819, 1.44917e-06, 1189.37
307, 0.0746032, 0, 0, 0, 2.24014e-08, 1.93586e-08, 0, 0, 4.17598e-08, 1.22779e-07, 9.76734e-08, 2.59557, 0.970792, 1.60303e-06, 1195.7
308, 0.088462, 0, 0, 0, 3.06556e-08, 2.62284e-08, 0, 0, 5.68844e-08, 1.65582e-07, 1.33618e-07, 2.42518, 0.970759, 1.83126e-06, 1201.8
309, 0.10279, 0, 0, 0, 3.9789e-08, 3.37571e-08, 0, 0, 7.35459e-08, 2.12446e-07, 1.73597e-07, 2.27507, 0.970729, 2.03824e-06, 1206.39
310, 0.117667, 0, 0, 0, 5.06573e-08, 4.26624e-08, 0, 0, 9.33197e-08, 2.67917e-07, 2.21563e-07, 2.1399, 0.970701, 2.24337e-06, 1210.48
311, 0.1322, 0, 0, 0, 6.44506e-08, 5.40075e-08, 0, 0, 1.18459e-07, 3.38914e-07, 2.83078e-07, 2.02344, 0.97067, 2.53156e-06, 1214.65
312, 0.14703, 0, 0, 0, 7.64828e-08, 6.38139e-08, 0, 0, 1.40297e-07, 4.00375e-07, 3.37308e-07, 1.91712, 0.970641, 2.7142e-06, 1216.68
