case index 0 = {
los index, 0
num freq, 9701
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
300, 0.00785762, 0, 0, 0, 0, 8.94406e-13, 0, 0, 8.94406e-13, 8.66671e-05, 0, 4.84627, 0.970999, 41.1048, 957.893
301, 0.0120859, 0, 0, 0, 0, 4.02899e-12, 0, 0, 4.02899e-12, 0.000353862, 0, 4.41572, 0.970968, 42.439, 984.656
302, 0.0176568, 0, 0, 0, 0, 1.51497e-11, 0, 0, 1.51497e-11, 0.00121645, 0, 4.03663, 0.970941, 45.5121, 1009.29
303, 0.0246357, 0, 0, 0, 0, 4.65687e-11, 0, 0, 4.65687e-11, 0.00341164, 0, 3.70356, 0.970909, 48.4225, 1030.86
304, 0.0330005, 0, 0, 0, 0, 1.27219e-10, 0, 0, 1.27219e-10, 0.00838706, 0, 3.41123, 0.970879, 48.3141, 1050.78
305, 0.0428252, 0, 0, 0, 0, 3.29089e-10, 0, 0, 3.29089e-10, 0.0194392, 0, 3.15063, 0.970849, 46.2186, 1070.33
306, 0.0537963, 0, 0, 0, 0, 8.38826e-10, 0, 0, 8.38826e-10, 0.0442548, 0, 2.92255, 0.970819, 46.4391, 1090.39
307, 0.0659635, 0, 0, 0, 0, 2.0288e-09, 0, 0, 2.0288e-09, 0.0966817, 0, 2.71865, 0.970792, 50.6227, 1110.01
308, 0.0788356, 0, 0, 0, 0, 4.42686e-09, 0, 0, 4.42686e-09, 0.19146, 0, 2.54039, 0.970759, 57.0563, 1127.69
309, 0.0922507, 0, 0, 0, 0, 8.94998e-09, 0, 0, 8.94998e-09, 0.348769, 0, 2.38325, 0.970729, 62.7023, 1143.94
310, 0.106271, 0, 0, 0, 0, 1.72235e-08, 0, 0, 1.72235e-08, 0.606833, 0, 2.24177, 0.970701, 68.0914, 1159.36
311, 0.120049, 0, 0, 0, 0, 3.12891e-08, 0, 0, 3.12891e-08, 1.00012, 0, 2.11986, 0.97067, 75.8509, 1173.62
312, 0.134187, 0, 0, 0, 0, 5.13923e-08, 0, 0, 5.13923e-08, 1.4883, 0, 2.00852, 0.970641, 80.3884, 1185.27
313, 0.148121, 0, 0, 0, 0, 7.66871e-08, 0, 0, 7.66871e-08, 2.01101, 0, 1.90973, 0.970611, 79.3097, 1194.26
314, 0.161588, 0, 0, 0, 0, 1.12397e-07, 0, 0, 1.12397e-07, 2.65946, 0, 1.82271, 0.970581, 78.4523, 1202.91
315, 0.174719, 0, 0, 0, 0, 1.6071e-07, 0, 0, 1.6071e-07, 3.45858, 0, 1.74458, 0.970549, 79.5606, 1210.97
316, 0.186962, 0, 0, 0, 0, 2.23397e-07, 0, 0, 2.23397e-07, 4.37729, 0, 1.67685, 0.970521, 80.8559, 1218.29
317, 0.198768, 0, 0, 0, 0, 3.0726e-07, 0, 0, 3.0726e-07, 5.48228, 0, 1.61562, 0.970491, 83.2917, 1225.42
318, 0.210621, 0, 0, 0, 0, 4.10818e-07, 0, 0, 4.10818e-07, 6.61143, 0, 1.55769, 0.97046, 84.0991, 1231.76
319, 0.221994, 0, 0, 0, 0, 5.34348e-07, 0, 0, 5.34348e-07, 7.76961, 0, 1.5051, 0.970431, 83.8549, 1237.28
320, 0.232237, 0, 0, 0, 0, 7.01508e-07, 0, 0, 7.01508e-07, 9.24206, 0, 1.45999, 0.970398, 86.7736, 1243.24
321, 0.242372, 0, 0, 0, 0, 8.8615e-07, 0, 0, 8.8615e-07, 10.7143, 0, 1.41728, 0.970367, 89.1508, 1247.97
322, 0.250457, 0, 0, 0, 0, 9.99381e-07, 0, 0, 9.99381e-07, 11.3594, 0, 1.38447, 0.97034, 86.5663, 1248.82
323, 0.258981, 0, 0, 0, 0, 1.18592e-06, 0, 0, 1.18592e-06, 12.239, 0, 1.351, 0.970311, 84.2473, 1251.49
324, 0.267899, 0, 0, 0, 0, 1.50907e-06, 0, 0, 1.50907e-06, 14.3478, 0, 1.31715, 0.970281, 89.2789, 1256.68
325, 0.274378, 0, 0, 0, 0, 1.86859e-06, 0, 0, 1.86859e-06, 16.891, 0, 1.29325, 0.970249, 98.697, 1260.99
326, 0.281783, 0, 0, 0, 0, 2.32695e-06, 0, 0, 2.32695e-06, 19.4226, 0, 1.26662, 0.970219, 105.753, 1265.59
327, 0.288704, 0, 0, 0, 0, 2.63702e-06, 0, 0, 2.63702e-06, 20.806, 0, 1.24235, 0.97019, 106.835, 1266.82
328, 0.29404, 0, 0, 0, 0, 2.81613e-06, 0, 0, 2.81613e-06, 21.2388, 0, 1.22404, 0.970158, 104.496, 1265.91
