case index 0 = {
los index, 0
num freq, 9701
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
300, 1.53825e-08, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 17.99, 0.970999, 2.06618e-05, -nan(ind)
301, 4.99821e-08, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 16.8116, 0.970968, 2.16094e-05, -nan(ind)
302, 1.42805e-07, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 15.7618, 0.970941, 2.35076e-05, -nan(ind)
303, 3.61301e-07, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 14.8336, 0.970909, 2.53559e-05, -nan(ind)
304, 8.34304e-07, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 13.9967, 0.970879, 2.56322e-05, -nan(ind)
305, 1.7545e-06, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 13.2533, 0.970849, 2.48687e-05, -nan(ind)
306, 3.39353e-06, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 12.5936, 0.970819, 2.53688e-05, -nan(ind)
307, 6.14878e-06, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 11.9993, 0.970792, 2.80623e-05, -nan(ind)
308, 1.02918e-05, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 11.4842, 0.970759, 3.20571e-05, -nan(ind)
309, 1.64315e-05, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 11.0163, 0.970729, 3.56808e-05, -nan(ind)
310, 2.49019e-05, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 10.6006, 0.970701, 3.92717e-05, -nan(ind)
311, 3.58191e-05, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 10.237, 0.97067, 4.43165e-05, -nan(ind)
312, 5.02316e-05, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 9.89887, 0.970641, 4.75138e-05, -nan(ind)
313, 6.76327e-05, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 9.60142, 0.970611, 4.74462e-05, -nan(ind)
