case index 0 = {
los index, 0
num freq, 9701
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
300, 1.08808e-09, 0, 0, 0, 2.8531e-11, 1.01053e-14, 0, 0, 2.85411e-11, 2.31521e-14, 6.33143e-16, 20.6389, 0.970999, 2.06618e-05, 1029.11
301, 2.00545e-09, 0, 0, 0, 6.04404e-11, 2.19088e-14, 0, 0, 6.04624e-11, 4.59008e-14, 1.38703e-15, 20.0274, 0.970968, 2.16094e-05, 1042.87
302, 3.44979e-09, 0, 0, 0, 1.19205e-10, 4.41534e-14, 0, 0, 1.19249e-10, 8.57991e-14, 2.8224e-15, 19.485, 0.970941, 2.35076e-05, 1055.45
303, 5.57341e-09, 0, 0, 0, 2.09162e-10, 7.90165e-14, 0, 0, 2.09241e-10, 1.44359e-13, 5.09515e-15, 19.0053, 0.970909, 2.53559e-05, 1065.64
304, 8.54004e-09, 0, 0, 0, 3.2461e-10, 1.25166e-13, 0, 0, 3.24734e-10, 2.15915e-13, 8.14355e-15, 18.5785, 0.970879, 2.56322e-05, 1073.12
305, 1.25359e-08, 0, 0, 0, 4.82759e-10, 1.90321e-13, 0, 0, 4.8295e-10, 3.10063e-13, 1.25023e-14, 18.1947, 0.970849, 2.48687e-05, 1079.73
306, 1.75968e-08, 0, 0, 0, 7.35055e-10, 2.96504e-13, 0, 0, 7.35353e-10, 4.58491e-13, 1.96672e-14, 17.8555, 0.970819, 2.53688e-05, 1087.07
307, 2.39175e-08, 0, 0, 0, 1.14793e-09, 4.73198e-13, 0, 0, 1.1484e-09, 7.0005e-13, 3.1671e-14, 17.5487, 0.970792, 2.80623e-05, 1095.24
308, 3.13367e-08, 0, 0, 0, 1.73041e-09, 7.28079e-13, 0, 0, 1.73114e-09, 1.03987e-12, 4.91308e-14, 17.2785, 0.970759, 3.20571e-05, 1102.69
309, 3.99491e-08, 0, 0, 0, 2.45266e-09, 1.0535e-12, 0, 0, 2.45371e-09, 1.45775e-12, 7.16697e-14, 17.0357, 0.970729, 3.56808e-05, 1108.68
310, 4.98132e-08, 0, 0, 0, 3.40072e-09, 1.49308e-12, 0, 0, 3.40222e-09, 2.00572e-12, 1.0243e-13, 16.815, 0.970701, 3.92717e-05, 1114.2
