case index 0 = {
los index, 0
num freq, 9701
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
300, 3.0628e-07, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 14.9988, 0.970999, 4.45554e-08, -nan(ind)
301, 8.87555e-07, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 13.9348, 0.970968, 4.65989e-08, -nan(ind)
302, 2.29246e-06, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 12.9859, 0.970941, 5.06921e-08, -nan(ind)
303, 5.30079e-06, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 12.1477, 0.970909, 5.46779e-08, -nan(ind)
304, 1.12449e-05, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 11.3956, 0.970879, 5.5274e-08, -nan(ind)
305, 2.19762e-05, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 10.7255, 0.970849, 5.36272e-08, -nan(ind)
306, 3.97778e-05, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 10.1322, 0.970819, 5.47057e-08, -nan(ind)
307, 6.79653e-05, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 9.59651, 0.970792, 6.05136e-08, -nan(ind)
308, 0.00010831, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 9.13051, 0.970759, 6.91286e-08, -nan(ind)
309, 0.000165079, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 8.70909, 0.970729, 7.69425e-08, -nan(ind)
310, 0.000240354, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 8.3334, 0.970701, 8.46857e-08, -nan(ind)
311, 0.000333645, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 8.00543, 0.97067, 9.55648e-08, -nan(ind)
312, 0.000452163, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 7.70147, 0.970641, 1.0246e-07, -nan(ind)
313, 0.000591018, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 7.43366, 0.970611, 1.02314e-07, -nan(ind)
314, 0.000751193, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 7.19385, 0.970581, 1.02523e-07, -nan(ind)
315, 0.000930924, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 6.97933, 0.970549, 1.05273e-07, -nan(ind)
316, 0.00112299, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 6.79176, 0.970521, 1.08309e-07, -nan(ind)
317, 0.00133304, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 6.62029, 0.970491, 1.12927e-07, -nan(ind)
318, 0.00157032, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 6.45647, 0.97046, 1.15331e-07, -nan(ind)
319, 0.00181991, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 6.30897, 0.970431, 1.16386e-07, -nan(ind)
320, 0.00207015, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 6.18013, 0.970398, 1.21891e-07, -nan(ind)
321, 0.00233801, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 6.05845, 0.970367, 1.266e-07, -nan(ind)
322, 0.00256994, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 5.96387, 0.97034, 1.24261e-07, -nan(ind)
323, 0.00283712, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 5.86496, 0.970311, 1.22383e-07, -nan(ind)
324, 0.00312546, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 5.76817, 0.970281, 1.31278e-07, -nan(ind)
325, 0.00335406, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 5.69758, 0.970249, 1.46719e-07, -nan(ind)
326, 0.00363095, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 5.61826, 0.970219, 1.58824e-07, -nan(ind)
327, 0.00389892, 0, 0, 0, -nan(ind), 0, 0, 0, -nan(ind), 0, 0, 5.54706, 0.97019, 1.62067e-07, -nan(ind)
