case index 0 = {
los index, 0
num freq, 9701
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
300, 4.09353e-29, 0, 0, 0, 2.1012e-07, 1.54359e-30, 0, 0, 2.1012e-07, 1.97387e-27, 0, 65.3656, 0.970999, 41.1974, 1272.31
301, 3.0107e-28, 0, 0, 0, 4.12476e-07, 1.26106e-29, 0, 0, 4.12476e-07, 1.51358e-26, 0, 63.3702, 0.970968, 42.5346, 1291.78
302, 1.80118e-27, 0, 0, 0, 7.72547e-07, 7.90884e-29, 0, 0, 7.72547e-07, 8.88856e-26, 0, 61.5814, 0.970941, 45.6147, 1310.32
303, 9.24261e-27, 0, 0, 0, 1.31428e-06, 4.1544e-28, 0, 0, 1.31428e-06, 4.30559e-25, 0, 59.946, 0.970909, 48.5316, 1325.99
304, 4.06386e-26, 0, 0, 0, 2.00906e-06, 1.94202e-27, 0, 0, 2.00906e-06, 1.84717e-24, 0, 58.4651, 0.970879, 48.423, 1338.11
305, 1.52133e-25, 0, 0, 0, 2.98717e-06, 8.38615e-27, 0, 0, 2.98717e-06, 7.2454e-24, 0, 57.145, 0.970849, 46.3228, 1349.49
306, 5.12447e-25, 0, 0, 0, 4.62692e-06, 3.4173e-26, 0, 0, 4.62692e-06, 2.68371e-23, 0, 55.9306, 0.970819, 46.5437, 1362.78
307, 1.50286e-24, 0, 0, 0, 7.4542e-06, 1.21257e-25, 0, 0, 7.4542e-06, 8.71644e-23, 0, 54.8547, 0.970792, 50.7366, 1378.05
308, 3.94526e-24, 0, 0, 0, 1.16935e-05, 3.82334e-25, 0, 0, 1.16935e-05, 2.48413e-22, 0, 53.8895, 0.970759, 57.1847, 1392.69
309, 9.64232e-24, 0, 0, 0, 1.74807e-05, 1.11071e-24, 0, 0, 1.74807e-05, 6.49124e-22, 0, 52.9959, 0.970729, 62.8433, 1405.71
310, 2.11057e-23, 0, 0, 0, 2.5823e-05, 2.98258e-24, 0, 0, 2.5823e-05, 1.56736e-21, 0, 52.2125, 0.970701, 68.2444, 1418.59
311, 4.33575e-23, 0, 0, 0, 3.7822e-05, 7.43954e-24, 0, 0, 3.7822e-05, 3.48085e-21, 0, 51.4926, 0.97067, 76.0217, 1431.43
312, 8.47599e-23, 0, 0, 0, 5.1722e-05, 1.6474e-23, 0, 0, 5.1722e-05, 6.84681e-21, 0, 50.8222, 0.970641, 80.5695, 1441.53
313, 1.53646e-22, 0, 0, 0, 6.57633e-05, 3.33191e-23, 0, 0, 6.57633e-05, 1.21565e-20, 0, 50.2274, 0.970611, 79.4887, 1448.53
314, 2.66086e-22, 0, 0, 0, 8.37558e-05, 6.61289e-23, 0, 0, 8.37558e-05, 2.10355e-20, 0, 49.6782, 0.970581, 78.6288, 1455.74
315, 4.33251e-22, 0, 0, 0, 0.000107123, 1.23993e-22, 0, 0, 0.000107123, 3.465e-20, 0, 49.1907, 0.970549, 79.7399, 1463.31
