case index 0 = {
los index, 0
num freq, 9701
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
300, 0, 0, 0, 0, 0.00879962, 0.000418892, 0, 0, 0.00921847, 0, 0.0298356, 99.99, 0.970999, 41.1974, 1776.14
301, 0, 0, 0, 0, 0.0156361, 0.000740068, 0, 0, 0.0163761, 0, 0.0527689, 99.99, 0.970968, 42.5346, 1809.88
302, 0, 0, 0, 0, 0.0264742, 0.00124755, 0, 0, 0.0277219, 0, 0.0890654, 99.99, 0.970941, 45.6147, 1841.76
303, 0, 0, 0, 0, 0.0408609, 0.0019194, 0, 0, 0.0427803, 0, 0.137214, 99.99, 0.970909, 48.5316, 1868.22
304, 0, 0, 0, 0, 0.0561896, 0.0026331, 0, 0, 0.0588227, 0, 0.188525, 99.99, 0.970879, 48.423, 1886.95
305, 0, 0, 0, 0, 0.0738527, 0.0034536, 0, 0, 0.0773063, 0, 0.247722, 99.99, 0.970849, 46.3228, 1902.74
306, 0, 0, 0, 0, 0.100059, 0.00467295, 0, 0, 0.104732, 0, 0.335872, 99.99, 0.970819, 46.5437, 1921.33
307, 0, 0, 0, 0, 0.141063, 0.0065835, 0, 0, 0.147647, 0, 0.474168, 99.99, 0.970792, 50.7366, 1943.65
308, 0, 0, 0, 0, 0.195361, 0.00912018, 0, 0, 0.204481, 0, 0.658188, 99.99, 0.970759, 57.1847, 1965.21
309, 0, 0, 0, 0, 0.256083, 0.0119648, 0, 0, 0.268048, 0, 0.865245, 99.99, 0.970729, 62.8433, 1982.79
310, 0, 0, 0, 0, 0.329018, 0.0153949, 0, 0, 0.344414, 0, 1.11577, 99.99, 0.970701, 68.2444, 1999.11
311, 0, 0, 0, 0, 0.421645, 0.0197708, 0, 0, 0.441415, 0, 1.43608, 99.99, 0.97067, 76.0217, 2015.63
312, 0, 0, 0, 0, 0.503523, 0.0236573, 0, 0, 0.527179, 0, 1.72188, 99.99, 0.970641, 80.5695, 2026.27
313, 0, 0, 0, 0, 0.555522, 0.0261724, 0, 0, 0.581692, 0, 1.90912, 99.99, 0.970611, 79.4887, 2030
314, 0, 0, 0, 0, 0.608899, 0.0287956, 0, 0, 0.637694, 0, 2.10548, 99.99, 0.970581, 78.6288, 2033.22
315, 0, 0, 0, 0, 0.674383, 0.0320244, 0, 0, 0.706405, 0, 2.34703, 99.99, 0.970549, 79.7399, 2037.46
316, 0, 0, 0, 0, 0.739443, 0.0352815, 0, 0, 0.774726, 0, 2.59186, 99.99, 0.970521, 81.0381, 2040.86
317, 0, 0, 0, 0, 0.814889, 0.0390778, 0, 0, 0.853967, 0, 2.87749, 99.99, 0.970491, 83.4794, 2044.8
318, 0, 0, 0, 0, 0.875105, 0.0421673, 0, 0, 0.917272, 0, 3.11194, 99.99, 0.97046, 84.2884, 2046.42
319, 0, 0, 0, 0, 0.926842, 0.0449001, 0, 0, 0.971741, 0, 3.32147, 99.99, 0.970431, 84.044, 2046.8
320, 0, 0, 0, 0, 1.00958, 0.0492059, 0, 0, 1.05879, 0, 3.64869, 99.99, 0.970398, 86.9689, 2049.84
321, 0, 0, 0, 0, 1.0828, 0.0530721, 0, 0, 1.13587, 0, 3.94384, 99.99, 0.970367, 89.3516, 2051.49
322, 0, 0, 0, 0, 1.08264, 0.0534319, 0, 0, 1.13607, 0, 3.97925, 99.99, 0.97034, 86.7611, 2046.59
323, 0, 0, 0, 0, 1.09053, 0.0542275, 0, 0, 1.14476, 0, 4.04836, 99.99, 0.970311, 84.4371, 2042.42
324, 0, 0, 0, 0, 1.19779, 0.0600028, 0, 0, 1.25779, 0, 4.49034, 99.99, 0.970281, 89.4801, 2046.41
325, 0, 0, 0, 0, 1.35225, 0.0682783, 0, 0, 1.42053, 0, 5.121, 99.99, 0.970249, 98.9196, 2053.08
326, 0, 0, 0, 0, 1.48535, 0.0755116, 0, 0, 1.56087, 0, 5.67526, 99.99, 0.970219, 105.991, 2057.24
327, 0, 0, 0, 0, 1.53146, 0.0784013, 0, 0, 1.60987, 0, 5.90432, 99.99, 0.97019, 107.076, 2055.38
328, 0, 0, 0, 0, 1.51827, 0.0783879, 0, 0, 1.59666, 0, 5.91614, 99.99, 0.970158, 104.731, 2049.79
329, 0, 0, 0, 0, 1.54876, 0.0805819, 0, 0, 1.62934, 0, 6.09486, 99.99, 0.97013, 104.671, 2046.95
330, 0, 0, 0, 0, 1.55202, 0.0813706, 0, 0, 1.63339, 0, 6.16661, 99.99, 0.9701, 103.461, 2042.44
331, 0, 0, 0, 0, 1.48236, 0.0784083, 0, 0, 1.56077, 0, 5.95429, 99.99, 0.970069, 98.2421, 2033.38
332, 0, 0, 0, 0, 1.44315, 0.0769826, 0, 0, 1.52013, 0, 5.8585, 99.99, 0.970042, 94.3574, 2026.18
333, 0, 0, 0, 0, 1.46072, 0.0785616, 0, 0, 1.53928, 0, 5.99084, 99.99, 0.970012, 94.2797, 2022.7
334, 0, 0, 0, 0, 1.47333, 0.079899, 0, 0, 1.55323, 0, 6.1045, 99.99, 0.969979, 94.3749, 2018.92
335, 0, 0, 0, 0, 1.39822, 0.0763841, 0, 0, 1.4746, 0, 5.84608, 99.99, 0.969949, 88.6798, 2009.41
336, 0, 0, 0, 0, 1.20744, 0.0665009, 0, 0, 1.27394, 0, 5.09872, 99.99, 0.969918, 75.9687, 1991.19
337, 0, 0, 0, 0, 1.08104, 0.0601923, 0, 0, 1.14123, 0, 4.62498, 99.99, 0.969889, 67.7854, 1976.53
338, 0, 0, 0, 0, 1.12803, 0.0634658, 0, 0, 1.1915, 0, 4.88667, 99.99, 0.969858, 70.2949, 1975.99
339, 0, 0, 0, 0, 1.24978, 0.0709427, 0, 0, 1.32073, 0, 5.47209, 99.99, 0.96983, 77.2982, 1980.99
340, 0, 0, 0, 0, 1.32566, 0.075895, 0, 0, 1.40155, 0, 5.86347, 99.99, 0.969799, 81.6614, 1982.02
341, 0, 0, 0, 0, 1.30736, 0.0755324, 0, 0, 1.38289, 0, 5.84526, 99.99, 0.969772, 80.1829, 1976.33
342, 0, 0, 0, 0, 1.33102, 0.0776858, 0, 0, 1.40871, 0, 6.0231, 99.99, 0.969739, 81.1534, 1973.61
343, 0, 0, 0, 0, 1.40687, 0.0828823, 0, 0, 1.48975, 0, 6.4365, 99.99, 0.969709, 85.51, 1974.39
344, 0, 0, 0, 0, 1.41838, 0.0843192, 0, 0, 1.5027, 0, 6.55808, 99.99, 0.969681, 86.0278, 1970.81
345, 0, 0, 0, 0, 1.43468, 0.0860929, 0, 0, 1.52076, 0, 6.70669, 99.99, 0.969649, 86.5894, 1967.55
346, 0, 0, 0, 0, 1.52966, 0.0926353, 0, 0, 1.62229, 0, 7.22753, 99.99, 0.969619, 91.7645, 1969.21
347, 0, 0, 0, 0, 1.66693, 0.101832, 0, 0, 1.76876, 0, 7.9567, 99.99, 0.969589, 99.5558, 1972.96
348, 0, 0, 0, 0, 1.7512, 0.107866, 0, 0, 1.85906, 0, 8.43965, 99.99, 0.969558, 104.24, 1973.32
349, 0, 0, 0, 0, 1.72134, 0.106909, 0, 0, 1.82825, 0, 8.37619, 99.99, 0.96953, 102.128, 1967.45
350, 0, 0, 0, 0, 1.63162, 0.102216, 0, 0, 1.73384, 0, 8.01981, 99.99, 0.9695, 96.5157, 1958.21
351, 0, 0, 0, 0, 1.51706, 0.0958669, 0, 0, 1.61293, 0, 7.53227, 99.99, 0.969471, 89.5283, 1947.25
352, 0, 0, 0, 0, 1.45039, 0.0925402, 0, 0, 1.54293, 0, 7.28212, 99.99, 0.969439, 85.3746, 1938.94
353, 0, 0, 0, 0, 1.57663, 0.101589, 0, 0, 1.67822, 0, 8.00676, 99.99, 0.96941, 92.5253, 1942.5
354, 0, 0, 0, 0, 1.79346, 0.116515, 0, 0, 1.90998, 0, 9.19514, 99.99, 0.969379, 105.005, 1950.35
355, 0, 0, 0, 0, 1.86837, 0.122296, 0, 0, 1.99067, 0, 9.66277, 99.99, 0.969351, 109.2, 1950.05
356, 0, 0, 0, 0, 1.7405, 0.114813, 0, 0, 1.85531, 0, 9.08272, 99.99, 0.969318, 101.589, 1939.32
357, 0, 0, 0, 0, 1.56315, 0.10406, 0, 0, 1.66721, 0, 8.24411, 99.99, 0.969291, 91.153, 1925.3
358, 0, 0, 0, 0, 1.53598, 0.103277, 0, 0, 1.63926, 0, 8.19507, 99.99, 0.969258, 89.5137, 1919.66
359, 0, 0, 0, 0, 1.63752, 0.111113, 0, 0, 1.74863, 0, 8.82981, 99.99, 0.969229, 95.3808, 1921.52
360, 0, 0, 0, 0, 1.71604, 0.117364, 0, 0, 1.83341, 0, 9.3379, 99.99, 0.9692, 99.8525, 1921.83
361, 0, 0, 0, 0, 1.68486, 0.116091, 0, 0, 1.80095, 0, 9.24637, 99.99, 0.969172, 97.7835, 1916.14
362, 0, 0, 0, 0, 1.6646, 0.11558, 0, 0, 1.78018, 0, 9.21482, 99.99, 0.969142, 96.1502, 1911.05
363, 0, 0, 0, 0, 1.76139, 0.123219, 0, 0, 1.88461, 0, 9.83278, 99.99, 0.969112, 101.206, 1912.29
364, 0, 0, 0, 0, 1.92377, 0.13556, 0, 0, 2.05933, 0, 10.8273, 99.99, 0.969082, 110.077, 1916.51
365, 0, 0, 0, 0, 2.09829, 0.14894, 0, 0, 2.24723, 0, 11.9072, 99.99, 0.969049, 119.686, 1920.67
366, 0, 0, 0, 0, 2.20897, 0.157892, 0, 0, 2.36685, 0, 12.6346, 99.99, 0.969019, 125.676, 1921.56
367, 0, 0, 0, 0, 2.16961, 0.156171, 0, 0, 2.32579, 0, 12.5085, 99.99, 0.968989, 123.16, 1915.97
368, 0, 0, 0, 0, 2.08555, 0.151278, 0, 0, 2.23682, 0, 12.1288, 99.99, 0.96896, 118.123, 1908.39
369, 0, 0, 0, 0, 2.07864, 0.151949, 0, 0, 2.23059, 0, 12.1949, 99.99, 0.968929, 117.478, 1904.22
370, 0, 0, 0, 0, 2.0681, 0.152265, 0, 0, 2.22036, 0, 12.2316, 99.99, 0.968902, 116.656, 1899.9
371, 0, 0, 0, 0, 1.98273, 0.147022, 0, 0, 2.12974, 0, 11.821, 99.99, 0.968869, 111.636, 1892.18
372, 0, 0, 0, 0, 1.84804, 0.138009, 0, 0, 1.98605, 0, 11.1061, 99.99, 0.96884, 103.867, 1881.91
373, 0, 0, 0, 0, 1.68195, 0.126516, 0, 0, 1.80847, 0, 10.1902, 99.99, 0.968811, 94.3536, 1869.57
374, 0, 0, 0, 0, 1.58532, 0.120193, 0, 0, 1.70551, 0, 9.69019, 99.99, 0.96878, 88.7558, 1860.49
375, 0, 0, 0, 0, 1.64715, 0.125884, 0, 0, 1.77303, 0, 10.1588, 99.99, 0.968751, 92.0619, 1860.22
376, 0, 0, 0, 0, 1.82154, 0.140262, 0, 0, 1.9618, 0, 11.3295, 99.99, 0.968721, 101.684, 1865.63
377, 0, 0, 0, 0, 2.03835, 0.158098, 0, 0, 2.19645, 0, 12.7817, 99.99, 0.96869, 113.686, 1872.21
378, 0, 0, 0, 0, 2.18501, 0.170617, 0, 0, 2.35563, 0, 13.8054, 99.99, 0.968658, 121.81, 1874.91
379, 0, 0, 0, 0, 2.14454, 0.168587, 0, 0, 2.31312, 0, 13.6524, 99.99, 0.968632, 119.515, 1869.51
380, 0, 0, 0, 0, 2.04704, 0.162081, 0, 0, 2.20912, 0, 13.1363, 99.99, 0.968599, 113.967, 1861.58
381, 0, 0, 0, 0, 1.96414, 0.156531, 0, 0, 2.12066, 0, 12.6949, 99.99, 0.96857, 109.126, 1854.16
382, 0, 0, 0, 0, 1.78542, 0.143136, 0, 0, 1.92855, 0, 11.6147, 99.99, 0.968539, 98.9152, 1841.91
383, 0, 0, 0, 0, 1.60546, 0.129575, 0, 0, 1.73504, 0, 10.5204, 99.99, 0.968509, 88.6558, 1828.81
384, 0, 0, 0, 0, 1.61339, 0.131168, 0, 0, 1.74456, 0, 10.6566, 99.99, 0.968479, 88.8306, 1825.69
385, 0, 0, 0, 0, 1.73458, 0.141926, 0, 0, 1.8765, 0, 11.5373, 99.99, 0.968448, 95.2975, 1828.61
386, 0, 0, 0, 0, 1.7832, 0.146793, 0, 0, 1.93, 0, 11.9397, 99.99, 0.96842, 97.7949, 1827.54
387, 0, 0, 0, 0, 1.77076, 0.146706, 0, 0, 1.91747, 0, 11.9396, 99.99, 0.968387, 96.952, 1823.4
388, 0, 0, 0, 0, 1.78506, 0.1489, 0, 0, 1.93396, 0, 12.1256, 99.99, 0.96836, 97.5778, 1820.61
389, 0, 0, 0, 0, 1.91763, 0.161069, 0, 0, 2.0787, 0, 13.1247, 99.99, 0.96833, 104.656, 1823.55
390, 0, 0, 0, 0, 2.12431, 0.179558, 0, 0, 2.30387, 0, 14.6393, 99.99, 0.9683, 115.765, 1829.31
391, 0, 0, 0, 0, 2.21844, 0.188567, 0, 0, 2.407, 0, 15.381, 99.99, 0.968267, 120.736, 1829.77
392, 0, 0, 0, 0, 2.00675, 0.171455, 0, 0, 2.1782, 0, 13.9911, 99.99, 0.968239, 109.08, 1817.23
393, 0, 0, 0, 0, 1.6516, 0.14204, 0, 0, 1.79364, 0, 11.5969, 99.99, 0.968209, 89.6309, 1796.46
394, 0, 0, 0, 0, 1.6643, 0.144323, 0, 0, 1.80862, 0, 11.7908, 99.99, 0.968179, 90.1433, 1793.75
395, 0, 0, 0, 0, 1.92706, 0.168086, 0, 0, 2.09513, 0, 13.7382, 99.99, 0.968151, 104.247, 1803.36
396, 0, 0, 0, 0, 1.90858, 0.167319, 0, 0, 2.0759, 0, 13.6807, 99.99, 0.968117, 103.141, 1799.11
397, 0, 0, 0, 0, 1.88588, 0.166553, 0, 0, 2.05243, 0, 13.6254, 99.99, 0.96809, 101.761, 1794.69
398, 0, 0, 0, 0, 2.32109, 0.206434, 0, 0, 2.52752, 0, 16.8962, 99.99, 0.96806, 125.062, 1809.97
399, 0, 0, 0, 0, 2.82027, 0.252141, 0, 0, 3.07241, 0, 20.6443, 99.99, 0.968032, 151.787, 1824.42
400, 0, 0, 0, 0, 3.05318, 0.274459, 0, 0, 3.32764, 0, 22.4793, 99.99, 0.968001, 164.135, 1828.4
401, 0, 0, 0, 0, 3.18798, 0.28828, 0, 0, 3.47626, 0, 23.6198, 99.99, 0.967971, 171.149, 1829.06
402, 0, 0, 0, 0, 3.32361, 0.302315, 0, 0, 3.62592, 0, 24.7785, 99.99, 0.967941, 178.17, 1829.6
403, 0, 0, 0, 0, 3.41386, 0.312315, 0, 0, 3.72618, 0, 25.6065, 99.99, 0.967909, 182.768, 1828.78
404, 0, 0, 0, 0, 3.41377, 0.314093, 0, 0, 3.72786, 0, 25.7603, 99.99, 0.967881, 182.555, 1825.45
405, 0, 0, 0, 0, 3.3446, 0.309501, 0, 0, 3.6541, 0, 25.3914, 99.99, 0.967851, 178.648, 1820.23
406, 0, 0, 0, 0, 3.24453, 0.301967, 0, 0, 3.5465, 0, 24.7804, 99.99, 0.967822, 173.073, 1814.12
407, 0, 0, 0, 0, 3.18545, 0.298233, 0, 0, 3.48369, 0, 24.4809, 99.99, 0.96779, 169.701, 1809.14
408, 0, 0, 0, 0, 3.22306, 0.303506, 0, 0, 3.52657, 0, 24.9203, 99.99, 0.96776, 171.531, 1806.98
409, 0, 0, 0, 0, 3.193, 0.30231, 0, 0, 3.49531, 0, 24.8279, 99.99, 0.96773, 169.772, 1802.87
410, 0, 0, 0, 0, 3.08107, 0.293384, 0, 0, 3.37446, 0, 24.1005, 99.99, 0.9677, 163.63, 1796.35
411, 0, 0, 0, 0, 3.10007, 0.29696, 0, 0, 3.39704, 0, 24.4001, 99.99, 0.967672, 164.42, 1793.71
412, 0, 0, 0, 0, 3.22701, 0.310862, 0, 0, 3.53788, 0, 25.5475, 99.99, 0.967641, 170.959, 1794.21
413, 0, 0, 0, 0, 3.31873, 0.321447, 0, 0, 3.64017, 0, 26.4224, 99.99, 0.967611, 175.655, 1793.61
414, 0, 0, 0, 0, 3.38232, 0.329429, 0, 0, 3.71174, 0, 27.0835, 99.99, 0.967581, 178.831, 1792.19
415, 0, 0, 0, 0, 3.45666, 0.338535, 0, 0, 3.79519, 0, 27.8369, 99.99, 0.967549, 182.541, 1791.04
416, 0, 0, 0, 0, 3.49823, 0.344447, 0, 0, 3.84268, 0, 28.3275, 99.99, 0.96752, 184.534, 1789
417, 0, 0, 0, 0, 3.44591, 0.341097, 0, 0, 3.787, 0, 28.056, 99.99, 0.967492, 181.601, 1784.47
418, 0, 0, 0, 0, 3.37221, 0.33564, 0, 0, 3.70785, 0, 27.6105, 99.99, 0.967461, 177.554, 1779.36
419, 0, 0, 0, 0, 3.36193, 0.336457, 0, 0, 3.69839, 0, 27.6807, 99.99, 0.967431, 176.848, 1775.98
420, 0, 0, 0, 0, 3.38735, 0.340834, 0, 0, 3.72819, 0, 28.0433, 99.99, 0.967399, 178.02, 1773.58
421, 0, 0, 0, 0, 3.42061, 0.345997, 0, 0, 3.76661, 0, 28.4703, 99.99, 0.96737, 179.601, 1771.4
422, 0, 0, 0, 0, 3.39223, 0.344902, 0, 0, 3.73714, 0, 28.3821, 99.99, 0.967339, 177.953, 1767.57
423, 0, 0, 0, 0, 3.36033, 0.343502, 0, 0, 3.70383, 0, 28.2687, 99.99, 0.967311, 176.13, 1763.65
424, 0, 0, 0, 0, 3.40459, 0.349886, 0, 0, 3.75448, 0, 28.7953, 99.99, 0.96728, 178.304, 1761.81
425, 0, 0, 0, 0, 3.43466, 0.354788, 0, 0, 3.78945, 0, 29.1998, 99.99, 0.967252, 179.702, 1759.59
426, 0, 0, 0, 0, 3.39886, 0.352869, 0, 0, 3.75173, 0, 29.0425, 99.99, 0.967221, 177.641, 1755.62
427, 0, 0, 0, 0, 3.28108, 0.342362, 0, 0, 3.62346, 0, 28.1781, 99.99, 0.967188, 171.343, 1749.41
428, 0, 0, 0, 0, 3.11302, 0.326477, 0, 0, 3.43949, 0, 26.8707, 99.99, 0.967161, 162.433, 1741.67
429, 0, 0, 0, 0, 2.90435, 0.306125, 0, 0, 3.21048, 0, 25.1953, 99.99, 0.96713, 151.396, 1732.47
430, 0, 0, 0, 0, 2.72229, 0.288478, 0, 0, 3.01076, 0, 23.742, 99.99, 0.9671, 141.775, 1723.76
431, 0, 0, 0, 0, 2.819, 0.300467, 0, 0, 3.11947, 0, 24.7279, 99.99, 0.967072, 146.688, 1723.94
432, 0, 0, 0, 0, 3.16271, 0.338811, 0, 0, 3.50153, 0, 27.8822, 99.99, 0.967039, 164.443, 1731.32
433, 0, 0, 0, 0, 3.35441, 0.360988, 0, 0, 3.71539, 0, 29.7057, 99.99, 0.967011, 174.304, 1733.7
434, 0, 0, 0, 0, 3.35145, 0.362433, 0, 0, 3.71388, 0, 29.8225, 99.99, 0.966979, 174.063, 1730.72
435, 0, 0, 0, 0, 3.38525, 0.367983, 0, 0, 3.75324, 0, 30.2767, 99.99, 0.966951, 175.697, 1728.73
436, 0, 0, 0, 0, 3.5216, 0.384709, 0, 0, 3.9063, 0, 31.6499, 99.99, 0.96692, 182.592, 1729.41
437, 0, 0, 0, 0, 3.57935, 0.392832, 0, 0, 3.97219, 0, 32.3147, 99.99, 0.966889, 185.393, 1728.01
438, 0, 0, 0, 0, 3.48543, 0.384358, 0, 0, 3.86979, 0, 31.6142, 99.99, 0.966861, 180.41, 1722.73
439, 0, 0, 0, 0, 3.43397, 0.380628, 0, 0, 3.81459, 0, 31.3036, 99.99, 0.966829, 177.695, 1718.54
440, 0, 0, 0, 0, 3.49831, 0.389711, 0, 0, 3.88803, 0, 32.047, 99.99, 0.966801, 180.936, 1717.38
441, 0, 0, 0, 0, 3.60781, 0.403915, 0, 0, 4.01171, 0, 33.2116, 99.99, 0.966769, 186.47, 1717.33
442, 0, 0, 0, 0, 3.74454, 0.421298, 0, 0, 4.16583, 0, 34.6387, 99.99, 0.966741, 193.467, 1717.88
443, 0, 0, 0, 0, 3.80088, 0.429669, 0, 0, 4.23052, 0, 35.3234, 99.99, 0.96671, 196.349, 1716.42
444, 0, 0, 0, 0, 3.74097, 0.424897, 0, 0, 4.16585, 0, 34.9256, 99.99, 0.96668, 193.205, 1712.19
445, 0, 0, 0, 0, 3.66773, 0.418606, 0, 0, 4.08634, 0, 34.4023, 99.99, 0.96665, 189.347, 1707.61
446, 0, 0, 0, 0, 3.71487, 0.426094, 0, 0, 4.14096, 0, 35.0101, 99.99, 0.966621, 191.62, 1705.99
447, 0, 0, 0, 0, 3.8997, 0.449396, 0, 0, 4.34908, 0, 36.9154, 99.99, 0.96659, 200.952, 1707.62
448, 0, 0, 0, 0, 4.03381, 0.466914, 0, 0, 4.50072, 0, 38.3442, 99.99, 0.96656, 207.696, 1707.92
449, 0, 0, 0, 0, 4.0848, 0.474965, 0, 0, 4.55979, 0, 38.9943, 99.99, 0.96653, 210.114, 1706.31
450, 0, 0, 0, 0, 4.15936, 0.48585, 0, 0, 4.6452, 0, 39.8763, 99.99, 0.966501, 213.693, 1705.22
451, 0, 0, 0, 0, 4.19541, 0.49223, 0, 0, 4.68764, 0, 40.3892, 99.99, 0.96647, 215.338, 1703.27
