case index 0 = {
los index, 0
num freq, 9701
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
300, 1.51704e-12, 0, 0, 0, 4.3499e-05, 1.93009e-09, 0, 0, 4.3501e-05, 7.10878e-11, 2.26895e-08, 27.2143, 0.970999, 41.1048, 1482.06
301, 8.87023e-12, 0, 0, 0, 9.06322e-05, 8.86041e-09, 0, 0, 9.06411e-05, 4.39298e-10, 1.03226e-07, 25.4483, 0.970968, 42.439, 1512.24
302, 4.295e-11, 0, 0, 0, 0.000184534, 3.36246e-08, 0, 0, 0.000184568, 2.13438e-09, 3.88804e-07, 23.871, 0.970941, 45.5121, 1542.76
303, 1.77814e-10, 0, 0, 0, 0.000347263, 1.03689e-07, 0, 0, 0.000347366, 8.39486e-09, 1.19061e-06, 22.4503, 0.970909, 48.4225, 1570.68
304, 6.45724e-10, 0, 0, 0, 0.000605058, 2.82665e-07, 0, 0, 0.000605342, 2.9316e-08, 3.22224e-06, 21.1606, 0.970879, 48.3141, 1595.71
305, 2.02039e-09, 0, 0, 0, 0.0010561, 7.23523e-07, 0, 0, 0.00105683, 9.44213e-08, 8.19314e-06, 20.02, 0.970849, 46.2186, 1621.86
306, 5.70818e-09, 0, 0, 0, 0.0019447, 1.81054e-06, 0, 0, 0.00194651, 2.91813e-07, 2.03799e-05, 18.9814, 0.970819, 46.4391, 1652.2
307, 1.44017e-08, 0, 0, 0, 0.00367455, 4.28196e-06, 0, 0, 0.00367883, 8.18007e-07, 4.79734e-05, 18.0559, 0.970792, 50.6227, 1685.49
308, 3.25486e-08, 0, 0, 0, 0.0065897, 9.09132e-06, 0, 0, 0.00659878, 2.02019e-06, 0.000101474, 17.2405, 0.970759, 57.0563, 1717.12
309, 6.89838e-08, 0, 0, 0, 0.0111382, 1.77913e-05, 0, 0, 0.011156, 4.57906e-06, 0.00019788, 16.4894, 0.970729, 62.7023, 1746.32
310, 1.33049e-07, 0, 0, 0, 0.0182967, 3.3129e-05, 0, 0, 0.0183298, 9.70976e-06, 0.000367459, 15.8326, 0.970701, 68.0914, 1774.82
311, 2.39973e-07, 0, 0, 0, 0.0289908, 5.81077e-05, 0, 0, 0.0290489, 1.90912e-05, 0.000643152, 15.2427, 0.97067, 75.8509, 1801.96
