case index 0 = {
los index, 0
num freq, 9701
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
300, 7.05019e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27.9806, 0.970999, 41.1048, -99
301, 4.12224e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26.2146, 0.970968, 42.439, -99
302, 1.99597e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24.6373, 0.970941, 45.5121, -99
303, 8.26324e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23.2166, 0.970909, 48.4225, -99
304, 3.00071e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21.927, 0.970879, 48.3141, -99
305, 9.38863e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20.7864, 0.970849, 46.2186, -99
306, 2.6525e-09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19.7478, 0.970819, 46.4391, -99
307, 6.69207e-09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18.8223, 0.970792, 50.6227, -99
308, 1.51242e-08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18.007, 0.970759, 57.0563, -99
309, 3.20536e-08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17.2559, 0.970729, 62.7023, -99
310, 6.18204e-08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16.599, 0.970701, 68.0914, -99
311, 1.115e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16.0092, 0.97067, 75.8509, -99
312, 1.9283e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15.4615, 0.970641, 80.3884, -99
313, 3.11525e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14.9818, 0.970611, 79.3097, -99
314, 4.81937e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14.5455, 0.970581, 78.4523, -99
315, 7.09062e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14.1593, 0.970549, 79.5606, -99
316, 9.97236e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13.8183, 0.970521, 80.8559, -99
317, 1.36649e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13.5033, 0.970491, 83.2917, -99
318, 1.85097e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13.1998, 0.97046, 84.0991, -99
319, 2.42179e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.931, 0.970431, 83.8549, -99
320, 3.07661e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.6917, 0.970398, 86.7736, -99
321, 3.84652e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.4683, 0.970367, 89.1508, -99
322, 4.57854e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.2941, 0.97034, 86.5663, -99
323, 5.5239e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.1064, 0.970311, 84.2473, -99
324, 6.58649e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11.9305, 0.970281, 89.2789, -99
325, 7.50652e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11.7997, 0.970249, 98.697, -99
326, 8.71766e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11.6502, 0.970219, 105.753, -99
327, 9.9356e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11.5194, 0.97019, 106.835, -99
328, 1.10655e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11.4117, 0.970158, 104.496, -99
329, 1.26137e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11.2807, 0.97013, 104.436, -99
330, 1.40057e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11.176, 0.9701, 103.228, -99
331, 1.51977e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11.0944, 0.970069, 98.0217, -99
332, 1.68801e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.9894, 0.970042, 94.1452, -99
333, 1.85723e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.8938, 0.970012, 94.0677, -99
334, 2.01494e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.8123, 0.969979, 94.1629, -99
335, 2.2115e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.7193, 0.969949, 88.4806, -99
336, 2.39438e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.6398, 0.969918, 75.7978, -99
337, 2.54611e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.5784, 0.969889, 67.6334, -99
338, 2.7424e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.5041, 0.969858, 70.1369, -99
339, 2.9727e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.4235, 0.96983, 77.1243, -99
340, 3.18527e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.3544, 0.969799, 81.478, -99
341, 3.41301e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.2853, 0.969772, 80.0027, -99
342, 3.6626e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.2148, 0.969739, 80.9711, -99
343, 3.8949e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.1533, 0.969709, 85.3178, -99
344, 4.12836e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.095, 0.969681, 85.8346, -99
