case index 0 = {
los index, 0
num freq, 9701
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
300, 0, 0, 0, 0, 3.6398e-05, 1.42396e-09, 0, 0, 3.63994e-05, 0, 1.3099e-08, 99.99, 0.970999, 41.1048, 1473.94
301, 0, 0, 0, 0, 7.34927e-05, 7.76005e-09, 0, 0, 7.35003e-05, 0, 7.10198e-08, 99.99, 0.970968, 42.439, 1502.27
302, 0, 0, 0, 0, 0.000143932, 3.39426e-08, 0, 0, 0.000143966, 0, 3.09295e-07, 99.99, 0.970941, 45.5121, 1530.44
303, 0, 0, 0, 0, 0.000259861, 1.19985e-07, 0, 0, 0.000259981, 0, 1.08851e-06, 99.99, 0.970909, 48.4225, 1555.77
304, 0, 0, 0, 0, 0.000432633, 3.76228e-07, 0, 0, 0.000433009, 0, 3.39742e-06, 99.99, 0.970879, 48.3141, 1577.88
305, 0, 0, 0, 0, 0.000723065, 1.09621e-06, 0, 0, 0.000724162, 4.21791e-43, 9.85547e-06, 99.99, 0.970849, 46.2186, 1601.05
306, 1.30321e-43, 0, 0, 0, 0.0012911, 3.08939e-06, 0, 0, 0.00129419, 2.356e-41, 2.76602e-05, 98.7463, 0.970819, 46.4391, 1628.83
307, 1.65353e-41, 0, 0, 0, 0.00240424, 8.04089e-06, 0, 0, 0.00241228, 6.24843e-40, 7.17445e-05, 93.9031, 0.970792, 50.6227, 1660.29
308, 1.55588e-40, 0, 0, 0, 0.00431153, 1.85631e-05, 0, 0, 0.0043301, 9.05684e-39, 0.000165101, 91.6614, 0.970759, 57.0563, 1690.92
309, 1.20745e-39, 0, 0, 0, 0.00736857, 3.94011e-05, 0, 0, 0.00740795, 8.93585e-38, 0.000349322, 89.6123, 0.970729, 62.7023, 1719.9
310, 8.67772e-39, 0, 0, 0, 0.0123186, 7.88325e-05, 0, 0, 0.0123975, 7.02674e-37, 0.000696856, 87.6401, 0.970701, 68.0914, 1748.67
311, 5.35199e-38, 0, 0, 0, 0.0199445, 0.000147184, 0, 0, 0.0200917, 4.33132e-36, 0.00129764, 85.8208, 0.97067, 75.8509, 1776.45
