case index 0 = {
los index, 0
num freq, 9701
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
300, 2.48688e-09, 0, 0, 0, 9.22809e-05, 6.31882e-11, 0, 0, 9.22809e-05, 1.04338e-07, 4.64924e-31, 19.8122, 0.970999, 41.1048, 1517.34
301, 4.58864e-09, 0, 0, 0, 0.000179836, 1.3687e-10, 0, 0, 0.000179836, 2.04377e-07, 3.00974e-30, 19.1997, 0.970968, 42.439, 1545.75
302, 7.88234e-09, 0, 0, 0, 0.000338673, 2.80003e-10, 0, 0, 0.000338673, 3.76511e-07, 1.51757e-29, 18.6586, 0.970941, 45.5121, 1573.7
303, 1.26848e-08, 0, 0, 0, 0.000585978, 5.15817e-10, 0, 0, 0.000585979, 6.23556e-07, 6.19166e-29, 18.1829, 0.970909, 48.4225, 1598.34
304, 1.9297e-08, 0, 0, 0, 0.000925285, 8.58477e-10, 0, 0, 0.000925285, 9.14509e-07, 2.23842e-28, 17.7633, 0.970879, 48.3141, 1618.88
305, 2.80581e-08, 0, 0, 0, 0.00145139, 1.40808e-09, 0, 0, 0.00145139, 1.28191e-06, 7.42562e-28, 17.389, 0.970849, 46.2186, 1639.75
306, 3.89396e-08, 0, 0, 0, 0.0024282, 2.43064e-09, 0, 0, 0.0024282, 1.84495e-06, 2.35314e-27, 17.0613, 0.970819, 46.4391, 1665.14
307, 5.22465e-08, 0, 0, 0, 0.00428112, 4.35777e-09, 0, 0, 0.00428113, 2.74111e-06, 6.71292e-27, 16.7673, 0.970792, 50.6227, 1694.74
308, 6.74926e-08, 0, 0, 0, 0.00738264, 7.54927e-09, 0, 0, 0.00738265, 3.9649e-06, 1.68089e-26, 16.5112, 0.970759, 57.0563, 1724.23
309, 8.46858e-08, 0, 0, 0, 0.0122646, 1.24797e-08, 0, 0, 0.0122646, 5.40471e-06, 3.85545e-26, 16.2843, 0.970729, 62.7023, 1752.55
310, 1.03818e-07, 0, 0, 0, 0.0201455, 2.02831e-08, 0, 0, 0.0201456, 7.21008e-06, 8.23837e-26, 16.0806, 0.970701, 68.0914, 1781.26
311, 1.23739e-07, 0, 0, 0, 0.032414, 3.21573e-08, 0, 0, 0.0324141, 9.54166e-06, 1.62849e-25, 15.9051, 0.97067, 75.8509, 1809.69
312, 1.45329e-07, 0, 0, 0, 0.048214, 4.69739e-08, 0, 0, 0.0482141, 1.1714e-05, 2.86777e-25, 15.7443, 0.970641, 80.3884, 1833.53
313, 1.67512e-07, 0, 0, 0, 0.0658672, 6.29731e-08, 0, 0, 0.0658673, 1.32713e-05, 4.54099e-25, 15.6022, 0.970611, 79.3097, 1851.82
314, 1.89875e-07, 0, 0, 0, 0.0888804, 8.33237e-08, 0, 0, 0.0888805, 1.49246e-05, 6.99512e-25, 15.4769, 0.970581, 78.4523, 1869.7
315, 2.12405e-07, 0, 0, 0, 0.118167, 1.08857e-07, 0, 0, 0.118167, 1.69124e-05, 1.03702e-24, 15.3648, 0.970549, 79.5606, 1886.93
316, 2.3404e-07, 0, 0, 0, 0.152971, 1.38675e-07, 0, 0, 0.152972, 1.89496e-05, 1.48083e-24, 15.2678, 0.970521, 80.8559, 1902.5
317, 2.55479e-07, 0, 0, 0, 0.196198, 1.7523e-07, 0, 0, 0.196198, 2.13103e-05, 2.07187e-24, 15.1801, 0.970491, 83.2917, 1917.71
318, 2.77576e-07, 0, 0, 0, 0.243807, 2.14359e-07, 0, 0, 0.243808, 2.3307e-05, 2.78762e-24, 15.0972, 0.97046, 84.0991, 1930.69
319, 2.99162e-07, 0, 0, 0, 0.295863, 2.56545e-07, 0, 0, 0.295864, 2.51119e-05, 3.64686e-24, 15.0223, 0.970431, 83.8549, 1941.98
320, 3.18961e-07, 0, 0, 0, 0.36186, 3.10322e-07, 0, 0, 0.361861, 2.77891e-05, 4.78539e-24, 14.9582, 0.970398, 86.7736, 1954.17
321, 3.38861e-07, 0, 0, 0, 0.428332, 3.63999e-07, 0, 0, 0.428332, 3.02409e-05, 6.00869e-24, 14.8977, 0.970367, 89.1508, 1963.82
322, 3.54796e-07, 0, 0, 0, 0.457308, 3.87444e-07, 0, 0, 0.457308, 3.06563e-05, 6.79062e-24, 14.8517, 0.97034, 86.5663, 1964.69
323, 3.71932e-07, 0, 0, 0, 0.500611, 4.21651e-07, 0, 0, 0.500611, 3.1346e-05, 7.93926e-24, 14.8046, 0.970311, 84.2473, 1967.78
324, 3.89975e-07, 0, 0, 0, 0.595134, 4.98754e-07, 0, 0, 0.595134, 3.49401e-05, 1.00135e-23, 14.7572, 0.970281, 89.2789, 1978.18
325, 4.02993e-07, 0, 0, 0, 0.701658, 5.88561e-07, 0, 0, 0.701659, 3.99433e-05, 1.24617e-23, 14.7243, 0.970249, 98.697, 1988.04
326, 4.18186e-07, 0, 0, 0, 0.815488, 6.82211e-07, 0, 0, 0.815489, 4.4391e-05, 1.52452e-23, 14.6873, 0.970219, 105.753, 1996.8
327, 4.32385e-07, 0, 0, 0, 0.877765, 7.33984e-07, 0, 0, 0.877766, 4.62798e-05, 1.71898e-23, 14.6539, 0.97019, 106.835, 1998.74
328, 4.43241e-07, 0, 0, 0, 0.893741, 7.4988e-07, 0, 0, 0.893742, 4.6407e-05, 1.84361e-23, 14.6292, 0.970158, 104.496, 1995.67
329, 4.57534e-07, 0, 0, 0, 0.953783, 7.99801e-07, 0, 0, 0.953783, 4.789e-05, 2.07057e-23, 14.5974, 0.97013, 104.436, 1996.89
330, 4.6943e-07, 0, 0, 0, 0.980962, 8.24662e-07, 0, 0, 0.980963, 4.84912e-05, 2.22551e-23, 14.5717, 0.9701, 103.228, 1994.78
331, 4.77663e-07, 0, 0, 0, 0.942343, 7.97747e-07, 0, 0, 0.942343, 4.67842e-05, 2.2423e-23, 14.5544, 0.970069, 98.0217, 1986.48
332, 4.8927e-07, 0, 0, 0, 0.942251, 7.99919e-07, 0, 0, 0.942252, 4.60388e-05, 2.357e-23, 14.5304, 0.970042, 94.1452, 1981.86
333, 5.0029e-07, 0, 0, 0, 0.977374, 8.32006e-07, 0, 0, 0.977375, 4.70831e-05, 2.55925e-23, 14.5081, 0.970012, 94.0677, 1980.58
