case index 0 = {
los index, 0
num freq, 9701
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
300, 3.3885e-08, 0, 0, 0, 0.00336878, 9.30313e-05, 0, 0, 0.00346182, 1.47332e-06, 0.00240642, 17.2003, 0.970999, 41.1048, 1713.95
301, 9.85832e-08, 0, 0, 0, 0.00674254, 0.000188028, 0, 0, 0.00693059, 4.58918e-06, 0.00484628, 16.1324, 0.970968, 42.439, 1752.8
302, 2.55663e-07, 0, 0, 0, 0.0126599, 0.00035612, 0, 0, 0.013016, 1.25701e-05, 0.00915158, 15.1794, 0.970941, 45.5121, 1789.45
303, 5.93591e-07, 0, 0, 0, 0.0213016, 0.000603891, 0, 0, 0.0219055, 2.90141e-05, 0.0154827, 14.3371, 0.970909, 48.4225, 1820.27
304, 1.26455e-06, 0, 0, 0, 0.0317055, 0.000905998, 0, 0, 0.0326114, 5.87308e-05, 0.0231801, 13.5808, 0.970879, 48.3141, 1843.58
305, 2.48158e-06, 0, 0, 0, 0.0451142, 0.00130022, 0, 0, 0.0464144, 0.000113384, 0.0332005, 12.9066, 0.970849, 46.2186, 1864.37
306, 4.51089e-06, 0, 0, 0, 0.065816, 0.00191409, 0, 0, 0.0677302, 0.000219167, 0.0487934, 12.309, 0.970819, 46.4391, 1887.7
307, 7.74009e-06, 0, 0, 0, 0.0989168, 0.00290184, 0, 0, 0.101819, 0.000418937, 0.0738757, 11.7691, 0.970792, 50.6227, 1914.14
308, 1.2387e-05, 0, 0, 0, 0.144308, 0.00427002, 0, 0, 0.148579, 0.00074446, 0.108614, 11.2989, 0.970759, 57.0563, 1939.15
309, 1.89617e-05, 0, 0, 0, 0.198157, 0.00591517, 0, 0, 0.204072, 0.00122832, 0.150366, 10.8731, 0.970729, 62.7023, 1960.02
310, 2.77245e-05, 0, 0, 0, 0.266004, 0.00801783, 0, 0, 0.274023, 0.00196152, 0.203734, 10.4932, 0.970701, 68.0914, 1979.61
311, 3.8651e-05, 0, 0, 0, 0.353531, 0.0107606, 0, 0, 0.364292, 0.00302063, 0.273395, 10.1609, 0.97067, 75.8509, 1998.9
312, 5.26066e-05, 0, 0, 0, 0.435629, 0.0133781, 0, 0, 0.449006, 0.00424476, 0.339893, 9.85267, 0.970641, 80.3884, 2012.08
313, 6.90537e-05, 0, 0, 0, 0.494784, 0.0153482, 0, 0, 0.510129, 0.00546483, 0.390031, 9.58063, 0.970611, 79.3097, 2018.3
314, 8.81472e-05, 0, 0, 0, 0.557015, 0.0174786, 0, 0, 0.574494, 0.00693817, 0.444378, 9.3365, 0.970581, 78.4523, 2023.85
315, 0.000109699, 0, 0, 0, 0.631207, 0.0200356, 0, 0, 0.651242, 0.00873964, 0.509702, 9.11777, 0.970549, 79.5606, 2030.1
316, 0.000132894, 0, 0, 0, 0.706389, 0.0226958, 0, 0, 0.729087, 0.0107799, 0.577842, 8.92596, 0.970521, 80.8559, 2035.32
317, 0.000158422, 0, 0, 0, 0.792899, 0.0257893, 0, 0, 0.818688, 0.0132332, 0.657204, 8.75025, 0.970491, 83.2917, 2040.92
318, 0.000187421, 0, 0, 0, 0.865619, 0.0284848, 0, 0, 0.894106, 0.0157143, 0.726567, 8.58215, 0.97046, 84.0991, 2044.05
319, 0.000218116, 0, 0, 0, 0.930267, 0.0310003, 0, 0, 0.961267, 0.0183393, 0.791593, 8.43048, 0.970431, 83.8549, 2045.79
320, 0.000249162, 0, 0, 0, 1.02555, 0.034635, 0, 0, 1.06018, 0.0217994, 0.88552, 8.29741, 0.970398, 86.7736, 2049.97
321, 0.000282569, 0, 0, 0, 1.11197, 0.0380123, 0, 0, 1.14998, 0.025229, 0.973018, 8.17159, 0.970367, 89.1508, 2052.65
