case index 0 = {
los index, 0
num freq, 9788
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
212.5, 4.06959e-29, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 65.3714, 0.973626, 5.67054e-07, nan
213.5, 5.59474e-29, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 65.0531, 0.973596, 6.04189e-07, nan
214.5, 7.29551e-29, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 64.7877, 0.973565, 6.36592e-07, nan
215.5, 8.85241e-29, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 64.5943, 0.97353, 6.49661e-07, nan
216.5, 9.88681e-29, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 64.4838, 0.973503, 6.55724e-07, nan
217.5, 1.01376e-28, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 64.4587, 0.973476, 6.84914e-07, nan
218.5, 9.5005e-29, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 64.5236, 0.973448, 7.26494e-07, nan
219.5, 8.05084e-29, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 64.6892, 0.973413, 7.34628e-07, nan
220.5, 6.05061e-29, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 64.9748, 0.973385, 7.07649e-07, nan
221.5, 3.94449e-29, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 65.4026, 0.973352, 7.01731e-07, nan
222.5, 2.20999e-29, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 65.982, 0.973323, 7.54742e-07, nan
223.5, 1.06153e-29, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 66.7152, 0.973296, 8.16351e-07, nan
224.5, 4.34858e-30, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 67.6077, 0.973265, 8.17567e-07, nan
225.5, 1.51773e-30, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 68.6603, 0.973236, 7.75655e-07, nan
226.5, 4.53543e-31, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 69.8682, 0.973205, 7.57141e-07, nan
227.5, 1.156e-31, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 71.2352, 0.973176, 7.76831e-07, nan
228.5, 2.49626e-32, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 72.7679, 0.973144, 8.05559e-07, nan
229.5, 4.6243e-33, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 74.454, 0.973116, 8.17988e-07, nan
230.5, 7.49691e-34, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 76.2734, 0.973084, 8.0669e-07, nan
231.5, 1.06535e-34, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 78.2246, 0.973056, 7.72759e-07, nan
232.5, 1.31962e-35, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 80.3131, 0.973025, 7.52025e-07, nan
233.5, 1.39175e-36, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 82.5625, 0.972997, 7.65537e-07, nan
234.5, 1.23363e-37, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 84.9857, 0.972966, 8.12983e-07, nan
235.5, 9.63539e-39, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 87.5354, 0.972934, 8.79695e-07, nan
236.5, 6.77486e-40, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 90.1902, 0.972909, 9.00408e-07, nan
237.5, 4.10903e-41, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 92.9928, 0.972872, 8.74906e-07, nan
238.5, 2.99878e-43, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 97.913, 0.972847, 8.65032e-07, nan
239.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972816, 8.93417e-07, nan
240.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972789, 9.72654e-07, nan
241.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972757, 1.20418e-06, nan
242.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972721, 1.57173e-06, nan
243.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972694, 1.94409e-06, nan
244.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972663, 2.25827e-06, nan
245.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972634, 2.4675e-06, nan
246.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972601, 2.56206e-06, nan
247.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972574, 2.50931e-06, nan
248.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972544, 2.41217e-06, nan
249.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972515, 2.47721e-06, nan
250.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972484, 2.47039e-06, nan
251.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.97246, 2.2888e-06, nan
252.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972426, 2.3081e-06, nan
253.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972393, 2.62125e-06, nan
254.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972366, 3.00729e-06, nan
255.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972331, 3.35731e-06, nan
256.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972303, 3.59617e-06, nan
257.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972275, 3.68466e-06, nan
258.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972244, 3.54625e-06, nan
259.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972214, 3.25274e-06, nan
260.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972185, 2.97026e-06, nan
261.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972156, 2.96354e-06, nan
262.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972127, 3.56344e-06, nan
263.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972092, 4.92816e-06, nan
264.5, 0, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972065, 6.4132e-06, nan
265.5, 1.4013e-45, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 99.99, 0.972037, 7.23821e-06, nan
266.5, 2.55036e-43, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 98.0749, 0.972006, 7.60099e-06, nan
267.5, 2.82754e-41, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 93.3666, 0.971976, 7.92062e-06, nan
268.5, 3.55369e-39, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 88.5328, 0.971947, 8.27209e-06, nan
269.5, 2.66751e-37, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 84.2145, 0.971917, 8.56696e-06, nan
270.5, 1.51513e-35, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 80.175, 0.971885, 8.43021e-06, nan
271.5, 6.43047e-34, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 76.4268, 0.971852, 7.61836e-06, nan
272.5, 2.68152e-32, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 72.6963, 0.971824, 6.78684e-06, nan
273.5, 1.19201e-30, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 68.9019, 0.971799, 6.28561e-06, nan
274.5, 5.2095e-29, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 65.1245, 0.971765, 6.2843e-06, nan
275.5, 2.22635e-27, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 61.3694, 0.971733, 7.50834e-06, nan
276.5, 9.84404e-26, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 57.5803, 0.971703, 8.769e-06, nan
277.5, 3.59174e-24, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 53.9834, 0.971677, 8.16259e-06, nan
278.5, 9.31213e-23, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 50.7281, 0.971641, 6.41272e-06, nan
279.5, 1.6682e-21, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 47.8425, 0.971613, 5.43321e-06, nan
280.5, 2.61282e-20, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 45.0913, 0.971587, 6.4551e-06, nan
281.5, 4.24199e-19, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 42.3041, 0.971559, 9.29828e-06, nan
282.5, 5.90183e-18, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 39.6713, 0.971523, 1.19027e-05, nan
283.5, 6.33995e-17, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 37.2971, 0.971495, 1.25511e-05, nan
284.5, 6.02673e-16, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 35.0452, 0.971466, 1.15899e-05, nan
285.5, 5.53376e-15, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 32.8279, 0.971434, 1.16283e-05, nan
286.5, 4.28184e-14, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 30.7818, 0.971404, 1.36453e-05, nan
287.5, 2.59954e-13, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 28.9783, 0.971378, 1.53645e-05, nan
288.5, 1.32805e-12, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 27.3473, 0.971343, 1.68295e-05, nan
289.5, 6.26507e-12, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 25.796, 0.971314, 1.88458e-05, nan
290.5, 2.70033e-11, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 24.3351, 0.971287, 2.03347e-05, nan
291.5, 1.00843e-10, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 23.0175, 0.971257, 2.09803e-05, nan
292.5, 3.32142e-10, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 21.8255, 0.971223, 2.11774e-05, nan
293.5, 9.87101e-10, 0, 0, 0, nan, 0, 0, 0, nan, 0, 0, 20.7362, 0.971193, 2.1104e-05, nan
