case index 0 = {
los index, 0
num freq, 9701
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
300, 1.89992e-20, 0, 0, 0, 3.56335e-11, 9.95895e-15, 0, 0, 3.56434e-11, 4.30004e-25, 3.02966e-14, 45.4099, 0.970999, 2.06618e-05, 1034.04
301, 6.48e-20, 0, 0, 0, 6.89573e-11, 1.96113e-14, 0, 0, 6.89767e-11, 1.58963e-24, 5.96102e-14, 44.183, 0.970968, 2.16094e-05, 1045.88
302, 1.94487e-19, 0, 0, 0, 1.25933e-10, 3.64492e-14, 0, 0, 1.25969e-10, 5.05049e-24, 1.10709e-13, 43.0839, 0.970941, 2.35076e-05, 1056.73
303, 5.17534e-19, 0, 0, 0, 2.07392e-10, 6.10402e-14, 0, 0, 2.07453e-10, 1.33401e-23, 1.85281e-13, 42.1052, 0.970909, 2.53559e-05, 1065.43
304, 1.2585e-18, 0, 0, 0, 3.03411e-10, 9.09024e-14, 0, 0, 3.03501e-10, 3.11921e-23, 2.75743e-13, 41.2166, 0.970879, 2.56322e-05, 1071.48
305, 2.78355e-18, 0, 0, 0, 4.25335e-10, 1.29978e-13, 0, 0, 4.25465e-10, 6.95477e-23, 3.93999e-13, 40.4228, 0.970849, 2.48687e-05, 1076.6
306, 5.67419e-18, 0, 0, 0, 6.13464e-10, 1.9144e-13, 0, 0, 6.13656e-10, 1.54274e-22, 5.79895e-13, 39.7106, 0.970819, 2.53688e-05, 1082.54
307, 1.08251e-17, 0, 0, 0, 9.14835e-10, 2.91318e-13, 0, 0, 9.15127e-10, 3.32315e-22, 8.81863e-13, 39.0647, 0.970792, 2.80623e-05, 1089.46
308, 1.90903e-17, 0, 0, 0, 1.32944e-09, 4.31572e-13, 0, 0, 1.32988e-09, 6.55998e-22, 1.30565e-12, 38.4974, 0.970759, 3.20571e-05, 1095.86
309, 3.21574e-17, 0, 0, 0, 1.82346e-09, 6.03561e-13, 0, 0, 1.82407e-09, 1.20296e-21, 1.82491e-12, 37.9759, 0.970729, 3.56808e-05, 1100.9
310, 5.13127e-17, 0, 0, 0, 2.45181e-09, 8.28576e-13, 0, 0, 2.45263e-09, 2.12898e-21, 2.50374e-12, 37.5086, 0.970701, 3.92717e-05, 1105.51
311, 7.78374e-17, 0, 0, 0, 3.27258e-09, 1.12825e-12, 0, 0, 3.27371e-09, 3.5968e-21, 3.40739e-12, 37.0919, 0.97067, 4.43165e-05, 1110.02
312, 1.151e-16, 0, 0, 0, 4.05412e-09, 1.42372e-12, 0, 0, 4.05554e-09, 5.51573e-21, 4.29748e-12, 36.7007, 0.970641, 4.75138e-05, 1112.62
313, 1.63301e-16, 0, 0, 0, 4.6415e-09, 1.66293e-12, 0, 0, 4.64317e-09, 7.76049e-21, 5.01685e-12, 36.3509, 0.970611, 4.74462e-05, 1113.13
314, 2.24984e-16, 0, 0, 0, 5.28304e-09, 1.93463e-12, 0, 0, 5.28498e-09, 1.07875e-20, 5.83325e-12, 36.0305, 0.970581, 4.75433e-05, 1113.51
315, 3.00654e-16, 0, 0, 0, 6.05932e-09, 2.26657e-12, 0, 0, 6.06159e-09, 1.47644e-20, 6.83034e-12, 35.7406, 0.970549, 4.88182e-05, 1114.12
316, 3.8963e-16, 0, 0, 0, 6.87139e-09, 2.62674e-12, 0, 0, 6.874e-09, 1.9739e-20, 7.9115e-12, 35.4813, 0.970521, 5.02262e-05, 1114.44
317, 4.96256e-16, 0, 0, 0, 7.82114e-09, 3.05493e-12, 0, 0, 7.8242e-09, 2.61697e-20, 9.19624e-12, 35.2394, 0.970491, 5.23683e-05, 1114.9
318, 6.27793e-16, 0, 0, 0, 8.66166e-09, 3.45397e-12, 0, 0, 8.66513e-09, 3.35421e-20, 1.03923e-11, 35.0043, 0.97046, 5.34825e-05, 1114.62
319, 7.80117e-16, 0, 0, 0, 9.47039e-09, 3.8605e-12, 0, 0, 9.47424e-09, 4.24126e-20, 1.16093e-11, 34.7871, 0.970431, 5.39719e-05, 1114.01
320, 9.50492e-16, 0, 0, 0, 1.06392e-08, 4.43523e-12, 0, 0, 1.06437e-08, 5.44926e-20, 1.33307e-11, 34.5896, 0.970398, 5.65251e-05, 1114.16
321, 1.14471e-15, 0, 0, 0, 1.17277e-08, 4.98927e-12, 0, 0, 1.17327e-08, 6.74094e-20, 1.49888e-11, 34.4036, 0.970367, 5.87087e-05, 1113.81
322, 1.33577e-15, 0, 0, 0, 1.2035e-08, 5.23096e-12, 0, 0, 1.20403e-08, 7.656e-20, 1.57074e-11, 34.2493, 0.97034, 5.7624e-05, 1111.5
323, 1.57272e-15, 0, 0, 0, 1.24903e-08, 5.5615e-12, 0, 0, 1.24959e-08, 8.96676e-20, 1.66909e-11, 34.086, 0.970311, 5.67534e-05, 1109.51
324, 1.83988e-15, 0, 0, 0, 1.41316e-08, 6.44376e-12, 0, 0, 1.4138e-08, 1.13778e-19, 1.93285e-11, 33.9291, 0.970281, 6.08781e-05, 1109.93
325, 2.09113e-15, 0, 0, 0, 1.63718e-08, 7.63513e-12, 0, 0, 1.63794e-08, 1.44695e-19, 2.28912e-11, 33.8011, 0.970249, 6.80389e-05, 1111.03
326, 2.40524e-15, 0, 0, 0, 1.84398e-08, 8.78001e-12, 0, 0, 1.84485e-08, 1.7928e-19, 2.63114e-11, 33.6611, 0.970219, 7.36517e-05, 1111.38
327, 2.73234e-15, 0, 0, 0, 1.94691e-08, 9.461e-12, 0, 0, 1.94786e-08, 2.06154e-19, 2.83397e-11, 33.5336, 0.97019, 7.51553e-05, 1109.92
328, 3.05961e-15, 0, 0, 0, 1.97912e-08, 9.83952e-12, 0, 0, 1.9801e-08, 2.28435e-19, 2.9459e-11, 33.4205, 0.970158, 7.42966e-05, 1107.43
329, 3.47798e-15, 0, 0, 0, 2.07205e-08, 1.05345e-11, 0, 0, 2.07311e-08, 2.6271e-19, 3.15245e-11, 33.2923, 0.97013, 7.50562e-05, 1105.77
330, 3.88604e-15, 0, 0, 0, 2.12494e-08, 1.10309e-11, 0, 0, 2.12605e-08, 2.91082e-19, 3.29952e-11, 33.1814, 0.9701, 7.49281e-05, 1103.55
331, 4.28126e-15, 0, 0, 0, 2.07718e-08, 1.1026e-11, 0, 0, 2.07828e-08, 3.06313e-19, 3.29651e-11, 33.0845, 0.970069, 7.18674e-05, 1100
332, 4.78668e-15, 0, 0, 0, 2.07429e-08, 1.12663e-11, 0, 0, 2.07541e-08, 3.33705e-19, 3.36671e-11, 32.9729, 0.970042, 6.97633e-05, 1097.07
333, 5.31755e-15, 0, 0, 0, 2.15159e-08, 1.19483e-11, 0, 0, 2.15278e-08, 3.75579e-19, 3.5688e-11, 32.8678, 0.970012, 7.04346e-05, 1095.21
334, 5.86298e-15, 0, 0, 0, 2.22004e-08, 1.25963e-11, 0, 0, 2.2213e-08, 4.1707e-19, 3.76068e-11, 32.7701, 0.969979, 7.11908e-05, 1093.21
335, 6.52667e-15, 0, 0, 0, 2.15225e-08, 1.246e-11, 0, 0, 2.1535e-08, 4.34921e-19, 3.71854e-11, 32.6629, 0.969949, 6.74874e-05, 1089.51
336, 7.22128e-15, 0, 0, 0, 1.90036e-08, 1.12532e-11, 0, 0, 1.90149e-08, 4.14543e-19, 3.3571e-11, 32.5617, 0.969918, 5.83489e-05, 1083.26
337, 7.91922e-15, 0, 0, 0, 1.74773e-08, 1.06562e-11, 0, 0, 1.7488e-08, 4.1701e-19, 3.17763e-11, 32.4695, 0.969889, 5.26483e-05, 1078.16
338, 8.76752e-15, 0, 0, 0, 1.87324e-08, 1.17538e-11, 0, 0, 1.87441e-08, 4.90069e-19, 3.50343e-11, 32.3677, 0.969858, 5.51961e-05, 1077.27
339, 9.75426e-15, 0, 0, 0, 2.12512e-08, 1.36753e-11, 0, 0, 2.12649e-08, 6.04074e-19, 4.07472e-11, 32.2611, 0.96983, 6.12758e-05, 1077.93
340, 1.07965e-14, 0, 0, 0, 2.3029e-08, 1.51787e-11, 0, 0, 2.30442e-08, 7.05285e-19, 4.52134e-11, 32.1596, 0.969799, 6.52938e-05, 1077.37
341, 1.1978e-14, 0, 0, 0, 2.32348e-08, 1.57215e-11, 0, 0, 2.32506e-08, 7.72888e-19, 4.68163e-11, 32.0557, 0.969772, 6.46879e-05, 1074.86
