case index 0 = {
los index, 0
num freq, 9701
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
300, 2.35209e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.3809, 0.970999, 2.06618e-05, -99
301, 5.74224e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.4883, 0.970968, 2.16094e-05, -99
302, 1.27274e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29.6924, 0.970941, 2.35076e-05, -99
303, 2.5771e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28.9869, 0.970909, 2.53559e-05, -99
304, 4.85662e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28.3533, 0.970879, 2.56322e-05, -99
305, 8.57916e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27.7843, 0.970849, 2.48687e-05, -99
306, 1.42174e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27.2791, 0.970819, 2.53688e-05, -99
307, 2.24908e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26.8205, 0.970792, 2.80623e-05, -99
308, 3.3641e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26.4179, 0.970759, 3.20571e-05, -99
309, 4.84946e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26.0522, 0.970729, 3.56808e-05, -99
310, 6.74915e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25.7216, 0.970701, 3.92717e-05, -99
311, 9.03654e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25.4297, 0.97067, 4.43165e-05, -99
312, 1.18731e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25.1567, 0.970641, 4.75138e-05, -99
313, 1.51706e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24.9117, 0.970611, 4.74462e-05, -99
314, 1.89599e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24.6887, 0.970581, 4.75433e-05, -99
315, 2.32211e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24.486, 0.970549, 4.88182e-05, -99
316, 2.78165e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24.3054, 0.970521, 5.02262e-05, -99
317, 3.28958e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24.1377, 0.970491, 5.23683e-05, -99
318, 3.86947e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23.9753, 0.97046, 5.34825e-05, -99
319, 4.50055e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23.8242, 0.970431, 5.39719e-05, -99
320, 5.15873e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23.6877, 0.970398, 5.65251e-05, -99
321, 5.86959e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23.5587, 0.970367, 5.87087e-05, -99
322, 6.53234e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23.4517, 0.97034, 5.7624e-05, -99
323, 7.30453e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23.3399, 0.970311, 5.67534e-05, -99
324, 8.14886e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23.2306, 0.970281, 6.08781e-05, -99
325, 8.90297e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23.1421, 0.970249, 6.80389e-05, -99
326, 9.80071e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23.046, 0.970219, 7.36517e-05, -99
327, 1.07088e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22.9574, 0.97019, 7.51553e-05, -99
328, 1.15718e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22.8799, 0.970158, 7.42966e-05, -99
329, 1.26368e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22.7918, 0.97013, 7.50562e-05, -99
330, 1.36497e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22.7147, 0.9701, 7.49281e-05, -99
331, 1.4586e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22.6484, 0.970069, 7.18674e-05, -99
332, 1.57447e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22.5719, 0.970042, 6.97633e-05, -99
333, 1.69312e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22.4993, 0.970012, 7.04346e-05, -99
334, 1.81024e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22.4324, 0.969979, 7.11908e-05, -99
335, 1.94833e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22.3589, 0.969949, 6.74874e-05, -99
