case index 0 = {
los index, 0
num freq, 9701
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
300, 3.35903e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.6039, 0.970999, 2.06618e-05, -99
301, 7.92562e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11.7454, 0.970968, 2.16094e-05, -99
302, 1.69597e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.9847, 0.970941, 2.35076e-05, -99
303, 3.31423e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.3147, 0.970909, 2.53559e-05, -99
304, 6.02216e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.71748, 0.970879, 2.56322e-05, -99
305, 0.000102633, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.18435, 0.970849, 2.48687e-05, -99
306, 0.00016399, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.7157, 0.970819, 2.53688e-05, -99
307, 0.000250128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.29354, 0.970792, 2.80623e-05, -99
308, 0.000360782, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.92724, 0.970759, 3.20571e-05, -99
309, 0.000501068, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.59877, 0.970729, 3.56808e-05, -99
310, 0.000672558, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.30442, 0.970701, 3.92717e-05, -99
311, 0.000868128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.04917, 0.97067, 4.43165e-05, -99
312, 0.00109944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.81295, 0.970641, 4.75138e-05, -99
313, 0.00135472, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.60416, 0.970611, 4.74462e-05, -99
314, 0.00163201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.41794, 0.970581, 4.75433e-05, -99
315, 0.00192798, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.25128, 0.970549, 4.88182e-05, -99
316, 0.00222771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.10678, 0.970521, 5.02262e-05, -99
317, 0.00254086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.97525, 0.970491, 5.23683e-05, -99
318, 0.00288197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.84928, 0.97046, 5.34825e-05, -99
319, 0.00323456, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.73386, 0.970431, 5.39719e-05, -99
320, 0.00357664, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.63333, 0.970398, 5.65251e-05, -99
