case index 0 = {
los index, 0
num freq, 9701
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
300, 0.000231003, 0, 0, 0, 3.59208e-09, 1.16178e-09, 0, 0, 4.75385e-09, 4.90762e-09, 1.42662e-09, 8.37308, 0.970999, 2.06618e-05, 1156.07
301, 0.000416197, 0, 0, 0, 7.48031e-09, 2.41892e-09, 0, 0, 9.89926e-09, 9.50255e-09, 3.00277e-09, 7.78435, 0.970968, 2.16094e-05, 1173.45
302, 0.000699183, 0, 0, 0, 1.45194e-08, 4.69414e-09, 0, 0, 1.92135e-08, 1.73528e-08, 5.8847e-09, 7.2656, 0.970941, 2.35076e-05, 1189.43
303, 0.0011029, 0, 0, 0, 2.51089e-08, 8.11826e-09, 0, 0, 3.32272e-08, 2.85626e-08, 1.02658e-08, 6.80981, 0.970909, 2.53559e-05, 1202.45
304, 0.00164936, 0, 0, 0, 3.83914e-08, 1.24161e-08, 0, 0, 5.08076e-08, 4.17472e-08, 1.58376e-08, 6.40737, 0.970879, 2.56322e-05, 1212.04
305, 0.00236333, 0, 0, 0, 5.61892e-08, 1.818e-08, 0, 0, 7.43693e-08, 5.84422e-08, 2.34046e-08, 6.04769, 0.970849, 2.48687e-05, 1220.5
306, 0.00323808, 0, 0, 0, 8.41842e-08, 2.72636e-08, 0, 0, 1.11448e-07, 8.41506e-08, 3.54221e-08, 5.73278, 0.970819, 2.53688e-05, 1229.91
307, 0.00429528, 0, 0, 0, 1.2951e-07, 4.19931e-08, 0, 0, 1.71504e-07, 1.25256e-07, 5.5022e-08, 5.45024, 0.970792, 2.80623e-05, 1240.42
308, 0.00549337, 0, 0, 0, 1.92592e-07, 6.25674e-08, 0, 0, 2.55159e-07, 1.81704e-07, 8.25986e-08, 5.20421, 0.970759, 3.20571e-05, 1250.08
309, 0.00683318, 0, 0, 0, 2.69334e-07, 8.76939e-08, 0, 0, 3.57029e-07, 2.4875e-07, 1.16625e-07, 4.98596, 0.970729, 3.56808e-05, 1257.9
310, 0.00831745, 0, 0, 0, 3.68298e-07, 1.20266e-07, 0, 0, 4.88565e-07, 3.33812e-07, 1.61155e-07, 4.7894, 0.970701, 3.92717e-05, 1265.12
