case index 0 = {
num freq, 9788
num column, 38
Waveln,  combin,  H2O,  umix,  O3,  trace,  N2,  H2Ocnt,  molec,  aercld,  HNO3,  aercld,  CO2,  CO,  CH4,  N2O,  O2,  NH3,  NO,  NO2,  SO2,  cloud,  F11,  F12,  CCl3F,  CF4,  F22,  F113,  F114,  R115,  ClONO2,  HNO4,  CHCl2F,  CCl4,  N2O5,  H2-H2,  H2-HE,  H2-CH4,  CH4-CH4
  [nm],  trans,  trans,  trans,  trans,  trans,  trans,  trans,  scat,  trans,  trans,  abtrns,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans
212.5, 2.18402e-29, 1, 2.79978e-17, 0.000587808, 0.987779, 1, 1, 0.00327746, 1.28982e-06, 1, 0.972708, 1, 1, 1, 1, 2.79978e-17, 1, 1, 0.997333, 0.990426, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
213.5, 2.92326e-29, 1, 9.75947e-17, 0.000246626, 0.988756, 1, 1, 0.00372295, 1.2872e-06, 1, 0.973119, 1, 1, 1, 1, 9.75947e-17, 1, 1, 0.997379, 0.991361, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
214.5, 3.7146e-29, 1, 3.61434e-16, 9.4086e-05, 0.989901, 1, 1, 0.0042132, 1.28458e-06, 1, 0.973524, 1, 1, 1, 1, 3.61434e-16, 1, 1, 0.997476, 0.992404, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
215.5, 4.39574e-29, 1, 1.4041e-15, 3.24395e-05, 0.9909, 1, 1, 0.00475103, 1.28196e-06, 1, 0.973919, 1, 1, 1, 1, 1.4041e-15, 1, 1, 0.997445, 0.993439, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
216.5, 4.78977e-29, 1, 5.65341e-15, 1.0007e-05, 0.991603, 1, 1, 0.00533907, 1.27937e-06, 1, 0.97431, 1, 1, 1, 1, 5.65341e-15, 1, 1, 0.997354, 0.994234, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
217.5, 4.79231e-29, 1, 2.33296e-14, 2.74392e-06, 0.992367, 1, 1, 0.00597999, 1.27677e-06, 1, 0.9747, 1, 1, 1, 1, 2.33296e-14, 1, 1, 0.997398, 0.994954, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
218.5, 4.38343e-29, 1, 9.7654e-14, 6.6908e-07, 0.993206, 1, 1, 0.00667638, 1.27419e-06, 1, 0.975089, 1, 1, 1, 1, 9.7654e-14, 1, 1, 0.997573, 0.995622, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
219.5, 3.62742e-29, 1, 4.10715e-13, 1.45831e-07, 0.993733, 1, 1, 0.00743082, 1.27162e-06, 1, 0.975468, 1, 1, 1, 1, 4.10715e-13, 1, 1, 0.997672, 0.996057, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
220.5, 2.66469e-29, 1, 1.72078e-12, 2.84396e-08, 0.994048, 1, 1, 0.00824585, 1.26908e-06, 1, 0.975842, 1, 1, 1, 1, 1.72078e-12, 1, 1, 0.997597, 0.996442, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
221.5, 1.69921e-29, 1, 7.12638e-12, 4.93784e-09, 0.994604, 1, 1, 0.00912407, 1.26658e-06, 1, 0.976207, 1, 1, 1, 1, 7.12638e-12, 1, 1, 0.997561, 0.997037, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
222.5, 9.31438e-30, 1, 2.89713e-11, 7.51939e-10, 0.995404, 1, 1, 0.0100678, 1.26409e-06, 1, 0.976575, 1, 1, 1, 1, 2.89713e-11, 1, 1, 0.997725, 0.997672, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
223.5, 4.37794e-30, 1, 1.14909e-10, 9.89612e-11, 0.996103, 1, 1, 0.0110794, 1.26161e-06, 1, 0.976938, 1, 1, 1, 1, 1.14909e-10, 1, 1, 0.997961, 0.998141, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
224.5, 1.7552e-30, 1, 4.42282e-10, 1.12372e-11, 0.996484, 1, 1, 0.0121612, 1.25914e-06, 1, 0.977298, 1, 1, 1, 1, 4.42282e-10, 1, 1, 0.998053, 0.998426, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
225.5, 5.99521e-31, 1, 1.6443e-09, 1.10298e-12, 0.99663, 1, 1, 0.0133151, 1.25669e-06, 1, 0.977651, 1, 1, 1, 1, 1.6443e-09, 1, 1, 0.997986, 0.998641, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
226.5, 1.75345e-31, 1, 5.88134e-09, 9.35013e-14, 0.99687, 1, 1, 0.0145434, 1.25426e-06, 1, 0.978001, 1, 1, 1, 1, 5.88134e-09, 1, 1, 0.997983, 0.998884, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
227.5, 4.37617e-32, 1, 2.01717e-08, 6.88479e-15, 0.997353, 1, 1, 0.0158476, 1.25184e-06, 1, 0.97834, 1, 1, 1, 1, 2.01717e-08, 1, 1, 0.998197, 0.999159, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
228.5, 9.25433e-33, 1, 6.61598e-08, 4.4353e-16, 0.997851, 1, 1, 0.01723, 1.24942e-06, 1, 0.978683, 1, 1, 1, 1, 6.61598e-08, 1, 1, 0.998451, 0.999392, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
229.5, 1.67787e-33, 1, 2.07061e-07, 2.48973e-17, 0.998113, 1, 1, 0.0186922, 1.24702e-06, 1, 0.979024, 1, 1, 1, 1, 2.07061e-07, 1, 1, 0.998569, 0.999542, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
230.5, 2.66144e-34, 1, 6.17344e-07, 1.22007e-18, 0.9982, 1, 1, 0.0202356, 1.24463e-06, 1, 0.979356, 1, 1, 1, 1, 6.17344e-07, 1, 1, 0.998567, 0.99963, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
231.5, 3.70104e-35, 1, 1.75139e-06, 5.34309e-20, 0.998332, 1, 1, 0.0218617, 1.24226e-06, 1, 0.979686, 1, 1, 1, 1, 1.75139e-06, 1, 1, 0.998566, 0.999753, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
232.5, 4.48826e-36, 1, 4.7243e-06, 2.12602e-21, 0.998589, 1, 1, 0.0235717, 1.23991e-06, 1, 0.98001, 1, 1, 1, 1, 4.7243e-06, 1, 1, 0.998713, 0.999892, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
233.5, 4.6394e-37, 1, 1.21132e-05, 7.68016e-23, 0.998905, 1, 1, 0.0253668, 1.23756e-06, 1, 0.980332, 1, 1, 1, 1, 1.21132e-05, 1, 1, 0.998977, 0.999932, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
234.5, 4.02927e-38, 1, 2.95224e-05, 2.48261e-24, 0.99909, 1, 1, 0.0272479, 1.23522e-06, 1, 0.980651, 1, 1, 1, 1, 2.95224e-05, 1, 1, 0.999148, 0.999942, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
235.5, 3.07846e-39, 1, 6.84195e-05, 7.00326e-26, 0.999116, 1, 1, 0.029216, 1.2329e-06, 1, 0.980966, 1, 1, 1, 1, 6.84195e-05, 1, 1, 0.999184, 0.999952, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
236.5, 2.11412e-40, 1, 0.00015088, 1.77816e-27, 0.999124, 1, 1, 0.0312716, 1.23062e-06, 1, 0.981276, 1, 1, 1, 1, 0.00015088, 1, 1, 0.999189, 0.999948, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
237.5, 1.16742e-41, 1, 0.00031688, 4.24977e-29, 0.999175, 1, 1, 0.0334154, 1.22834e-06, 1, 0.981579, 1, 1, 1, 1, 0.00031688, 1, 1, 0.999234, 0.999943, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
238.5, 0, 1, 0.00063457, 9.31538e-31, 0.999287, 1, 1, 0.0356482, 1.22607e-06, 1, 0.981887, 1, 1, 1, 1, 0.00063457, 1, 1, 0.999356, 0.999939, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
239.5, 0, 1, 0.00121327, 1.8888e-32, 0.999421, 1, 1, 0.0379697, 1.22381e-06, 1, 0.982187, 1, 1, 1, 1, 0.00121327, 1, 1, 0.999508, 0.999919, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
240.5, 0, 1, 0.00221814, 3.70543e-34, 0.999544, 1, 1, 0.0403803, 1.22155e-06, 1, 0.982486, 1, 1, 1, 1, 0.00221814, 1, 1, 0.999618, 0.999916, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
241.5, 0, 1, 0.00388413, 1.65277e-35, 0.999555, 1, 1, 0.0428801, 1.21929e-06, 1, 0.982776, 1, 1, 1, 1, 0.00388413, 1, 1, 0.999622, 0.999912, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
242.5, 0, 1, 0.00652571, 1.01066e-35, 0.999497, 1, 1, 0.0454687, 1.21705e-06, 1, 0.983063, 1, 1, 1, 1, 0.00652571, 1, 1, 0.999588, 0.999898, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
243.5, 0, 1, 0.0105389, 1.00011e-35, 0.999529, 1, 1, 0.0481462, 1.21482e-06, 1, 0.983354, 1, 1, 1, 1, 0.0105389, 1, 1, 0.999657, 0.999881, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
244.5, 0, 1, 0.0163919, 9.99996e-36, 0.999568, 1, 1, 0.0509117, 1.21259e-06, 1, 0.983635, 1, 1, 1, 1, 0.0163919, 1, 1, 0.999732, 0.999857, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
245.5, 0, 1, 0.0246024, 1e-35, 0.999603, 1, 1, 0.0537651, 1.2104e-06, 1, 0.98392, 1, 1, 1, 1, 0.0246024, 1, 1, 0.999784, 0.999821, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
246.5, 0, 1, 0.0357015, 9.99997e-36, 0.999631, 1, 1, 0.0567057, 1.20823e-06, 1, 0.984191, 1, 1, 1, 1, 0.0357015, 1, 1, 0.999831, 0.99981, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
247.5, 0, 1, 0.0501922, 9.99998e-36, 0.999655, 1, 1, 0.0597328, 1.20609e-06, 1, 0.984467, 1, 1, 1, 1, 0.0501922, 1, 1, 0.999866, 0.999788, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
248.5, 0, 1, 0.0685029, 9.99998e-36, 0.999629, 1, 1, 0.0628448, 1.20395e-06, 1, 0.984741, 1, 1, 1, 1, 0.0685029, 1, 1, 0.999856, 0.999758, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
249.5, 0, 1, 0.0909648, 9.99998e-36, 0.99956, 1, 1, 0.066042, 1.2018e-06, 1, 0.985009, 1, 1, 1, 1, 0.0909648, 1, 1, 0.999842, 0.999728, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
250.5, 0, 1, 0.11778, 9.99995e-36, 0.999531, 1, 1, 0.0693227, 1.19968e-06, 1, 0.985277, 1, 1, 1, 1, 0.11778, 1, 1, 0.999852, 0.99967, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
251.5, 0, 1, 0.148949, 1e-35, 0.999533, 1, 1, 0.0726862, 1.19756e-06, 1, 0.98554, 1, 1, 1, 1, 0.148949, 1, 1, 0.99989, 0.999642, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
252.5, 0, 1, 0.184249, 1e-35, 0.999494, 1, 1, 0.07613, 1.19544e-06, 1, 0.985798, 1, 1, 1, 1, 0.184249, 1, 1, 0.999897, 0.999604, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
253.5, 0, 1, 0.223274, 9.99997e-36, 0.999444, 1, 1, 0.0796536, 1.19333e-06, 1, 0.986054, 1, 1, 1, 1, 0.223274, 1, 1, 0.999899, 0.999536, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
254.5, 0, 1, 0.265482, 1e-35, 0.999377, 1, 1, 0.0832561, 1.19123e-06, 1, 0.98631, 1, 1, 1, 1, 0.265482, 1, 1, 0.999899, 0.999469, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
255.5, 0, 1, 0.310224, 9.99994e-36, 0.999337, 1, 1, 0.0869347, 1.18915e-06, 1, 0.986563, 1, 1, 1, 1, 0.310224, 1, 1, 0.999898, 0.999441, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
256.5, 0, 1, 0.356777, 9.99996e-36, 0.99929, 1, 1, 0.090689, 1.18709e-06, 1, 0.986809, 1, 1, 1, 1, 0.356777, 1, 1, 0.999896, 0.999397, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
257.5, 0, 1, 0.404393, 1e-35, 0.999241, 1, 1, 0.0945167, 1.18505e-06, 1, 0.98706, 1, 1, 1, 1, 0.404393, 1, 1, 0.999897, 0.999353, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
258.5, 0, 1, 0.452336, 1e-35, 0.999173, 1, 1, 0.0984168, 1.18301e-06, 1, 0.987301, 1, 1, 1, 1, 0.452336, 1, 1, 0.999893, 0.999287, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
259.5, 0, 1, 0.499919, 9.99999e-36, 0.999099, 1, 1, 0.102387, 1.18098e-06, 1, 0.987541, 1, 1, 1, 1, 0.499919, 1, 1, 0.999884, 0.999217, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
260.5, 0, 1, 0.546525, 9.99998e-36, 0.999023, 1, 1, 0.106425, 1.17896e-06, 1, 0.98778, 1, 1, 1, 1, 0.546525, 1, 1, 0.999884, 0.999145, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
261.5, 0, 1, 0.591636, 1e-35, 0.99897, 1, 1, 0.11053, 1.17694e-06, 1, 0.988017, 1, 1, 1, 1, 0.591636, 1, 1, 0.999879, 0.999093, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
