case index 0 = {
num freq, 9788
num column, 38
Waveln,  combin,  H2O,  umix,  O3,  trace,  N2,  H2Ocnt,  molec,  aercld,  HNO3,  aercld,  CO2,  CO,  CH4,  N2O,  O2,  NH3,  NO,  NO2,  SO2,  cloud,  F11,  F12,  CCl3F,  CF4,  F22,  F113,  F114,  R115,  ClONO2,  HNO4,  CHCl2F,  CCl4,  N2O5,  H2-H2,  H2-HE,  H2-CH4,  CH4-CH4
  [nm],  trans,  trans,  trans,  trans,  trans,  trans,  trans,  scat,  trans,  trans,  abtrns,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans
212.5, 1.04338e-30, 1, 2.79978e-17, 0.000587808, 0.987779, 1, 1, 0.00327746, 6.08566e-08, 1, 0.0047388, 1, 1, 1, 1, 2.79978e-17, 1, 1, 0.997333, 0.990426, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
213.5, 1.44445e-30, 1, 9.75947e-17, 0.000246626, 0.988756, 1, 1, 0.00372295, 6.29222e-08, 1, 0.0048484, 1, 1, 1, 1, 9.75947e-17, 1, 1, 0.997379, 0.991361, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
214.5, 1.89625e-30, 1, 3.61434e-16, 9.4086e-05, 0.989901, 1, 1, 0.0042132, 6.50418e-08, 1, 0.00495946, 1, 1, 1, 1, 3.61434e-16, 1, 1, 0.997476, 0.992404, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
215.5, 2.31598e-30, 1, 1.4041e-15, 3.24395e-05, 0.9909, 1, 1, 0.00475103, 6.72045e-08, 1, 0.0050712, 1, 1, 1, 1, 1.4041e-15, 1, 1, 0.997445, 0.993439, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
216.5, 2.60323e-30, 1, 5.65341e-15, 1.0007e-05, 0.991603, 1, 1, 0.00533907, 6.94154e-08, 1, 0.00518378, 1, 1, 1, 1, 5.65341e-15, 1, 1, 0.997354, 0.994234, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
217.5, 2.68638e-30, 1, 2.33296e-14, 2.74392e-06, 0.992367, 1, 1, 0.00597999, 7.16889e-08, 1, 0.00529818, 1, 1, 1, 1, 2.33296e-14, 1, 1, 0.997398, 0.994954, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
218.5, 2.53346e-30, 1, 9.7654e-14, 6.6908e-07, 0.993206, 1, 1, 0.00667638, 7.4031e-08, 1, 0.0054147, 1, 1, 1, 1, 9.7654e-14, 1, 1, 0.997573, 0.995622, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
219.5, 2.16016e-30, 1, 4.10715e-13, 1.45831e-07, 0.993733, 1, 1, 0.00743082, 7.64358e-08, 1, 0.00553267, 1, 1, 1, 1, 4.10715e-13, 1, 1, 0.997672, 0.996057, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
220.5, 1.63313e-30, 1, 1.72078e-12, 2.84396e-08, 0.994048, 1, 1, 0.00824585, 7.88922e-08, 1, 0.00565111, 1, 1, 1, 1, 1.72078e-12, 1, 1, 0.997597, 0.996442, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
221.5, 1.07079e-30, 1, 7.12638e-12, 4.93784e-09, 0.994604, 1, 1, 0.00912407, 8.14049e-08, 1, 0.00577032, 1, 1, 1, 1, 7.12638e-12, 1, 1, 0.997561, 0.997037, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
222.5, 6.03353e-31, 1, 2.89713e-11, 7.51939e-10, 0.995404, 1, 1, 0.0100678, 8.39887e-08, 1, 0.00589131, 1, 1, 1, 1, 2.89713e-11, 1, 1, 0.997725, 0.997672, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
223.5, 2.91455e-31, 1, 1.14909e-10, 9.89612e-11, 0.996103, 1, 1, 0.0110794, 8.66497e-08, 1, 0.00601448, 1, 1, 1, 1, 1.14909e-10, 1, 1, 0.997961, 0.998141, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
224.5, 1.20064e-31, 1, 4.42282e-10, 1.12372e-11, 0.996484, 1, 1, 0.0121612, 8.93801e-08, 1, 0.00613918, 1, 1, 1, 1, 4.42282e-10, 1, 1, 0.998053, 0.998426, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
225.5, 4.21403e-32, 1, 1.6443e-09, 1.10298e-12, 0.99663, 1, 1, 0.0133151, 9.21684e-08, 1, 0.00626439, 1, 1, 1, 1, 1.6443e-09, 1, 1, 0.997986, 0.998641, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
226.5, 1.26633e-32, 1, 5.88134e-09, 9.35013e-14, 0.99687, 1, 1, 0.0145434, 9.50162e-08, 1, 0.00639025, 1, 1, 1, 1, 5.88134e-09, 1, 1, 0.997983, 0.998884, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
227.5, 3.24532e-33, 1, 2.01717e-08, 6.88479e-15, 0.997353, 1, 1, 0.0158476, 9.79408e-08, 1, 0.00651777, 1, 1, 1, 1, 2.01717e-08, 1, 1, 0.998197, 0.999159, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
