case_index,geom_index,location_index,location_label,lat,lon,alt_m,utc,source,clouds,visib_km,aerosol_model,strato_model,atmos_model,name,los_zen_deg,los_az_deg,rel_az_deg,rel_zen_deg,body_topo_az_deg,body_topo_zen_deg,csv
1,1,1,Goldstone,35.4267,-116.89,950,21-Jun-2026 01:00:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi0,0,0,86.0167296767178,33.1412718875614,176.016729676718,33.1412718875614,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi0.csv
2,1,1,Goldstone,35.4267,-116.89,950,21-Jun-2026 01:00:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi30,0,30,86.0167296767178,33.1412718875614,176.016729676718,33.1412718875614,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi30.csv
3,1,1,Goldstone,35.4267,-116.89,950,21-Jun-2026 01:00:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi60,0,60,86.0167296767178,33.1412718875614,176.016729676718,33.1412718875614,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi60.csv
4,1,1,Goldstone,35.4267,-116.89,950,21-Jun-2026 01:00:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi90,0,90,86.0167296767178,33.1412718875614,176.016729676718,33.1412718875614,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi90.csv
5,1,1,Goldstone,35.4267,-116.89,950,21-Jun-2026 01:00:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi120,0,120,86.0167296767178,33.1412718875614,176.016729676718,33.1412718875614,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi120.csv
6,1,1,Goldstone,35.4267,-116.89,950,21-Jun-2026 01:00:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi150,0,150,86.0167296767178,33.1412718875614,176.016729676718,33.1412718875614,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi150.csv
7,1,1,Goldstone,35.4267,-116.89,950,21-Jun-2026 01:00:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi180,0,180,86.0167296767178,33.1412718875614,176.016729676718,33.1412718875614,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi180.csv
8,1,1,Goldstone,35.4267,-116.89,950,21-Jun-2026 01:00:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi210,0,210,86.0167296767178,33.1412718875614,176.016729676718,33.1412718875614,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi210.csv
9,1,1,Goldstone,35.4267,-116.89,950,21-Jun-2026 01:00:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi240,0,240,86.0167296767178,33.1412718875614,176.016729676718,33.1412718875614,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi240.csv
10,1,1,Goldstone,35.4267,-116.89,950,21-Jun-2026 01:00:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi270,0,270,86.0167296767178,33.1412718875614,176.016729676718,33.1412718875614,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi270.csv
