case_index,geom_index,location_index,location_label,lat,lon,alt_m,utc,source,clouds,visib_km,aerosol_model,strato_model,atmos_model,name,los_zen_deg,los_az_deg,rel_az_deg,rel_zen_deg,body_topo_az_deg,body_topo_zen_deg,csv
1,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi0,0,0,75.4105238270472,65.3016995421348,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi0.csv
2,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi30,0,30,75.4105238270472,65.3016995421348,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi30.csv
3,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi60,0,60,75.4105238270472,65.3016995421348,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi60.csv
4,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi90,0,90,75.4105238270472,65.3016995421348,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi90.csv
5,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi120,0,120,75.4105238270472,65.3016995421348,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi120.csv
6,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi150,0,150,75.4105238270472,65.3016995421348,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi150.csv
7,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi180,0,180,75.4105238270472,65.3016995421348,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi180.csv
8,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi210,0,210,75.4105238270472,65.3016995421348,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi210.csv
9,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi240,0,240,75.4105238270472,65.3016995421348,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi240.csv
10,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi270,0,270,75.4105238270472,65.3016995421348,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi270.csv
11,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi300,0,300,75.4105238270472,65.3016995421348,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi300.csv
12,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi330,0,330,75.4105238270472,65.3016995421348,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen0_azi330.csv
13,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi0,10,0,346.295088171529,75.0001659532966,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi0.csv
14,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi30,10,30,318.055632213485,72.5940115305913,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi30.csv
15,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi60,10,60,289.509098517953,68.3109399197163,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi60.csv
16,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi90,10,90,260.140140030721,63.1772860545483,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi90.csv
17,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi120,10,120,229.348866458186,58.517017936104,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi120.csv
18,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi150,10,150,196.993303507837,55.6960482846051,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi150.csv
19,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi180,10,180,163.90858655484,55.6554544950219,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi180.csv
20,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi210,10,210,131.517206321691,58.4095547829698,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi210.csv
21,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi240,10,240,100.68132692586,63.036998286692,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi240.csv
22,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi270,10,270,71.2808443357155,68.1762279287556,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi270.csv
23,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi300,10,300,42.7198037166039,72.497999556343,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi300.csv
24,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi330,10,330,14.4763891699387,74.9654557597016,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen10_azi330.csv
25,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen20_azi0,20,0,346.713415763355,84.7254455098189,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen20_azi0.csv
26,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen20_azi30,20,30,319.655914725445,80.1335812790654,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen20_azi30.csv
27,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen20_azi60,20,60,292.888787061939,71.9365879420279,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen20_azi60.csv
28,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen20_azi90,20,90,265.309567671903,61.9064775080454,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen20_azi90.csv
29,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen20_azi120,20,120,234.799159438038,52.3539102162575,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen20_azi120.csv
30,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen20_azi150,20,150,199.543320884887,46.195350796758,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen20_azi150.csv
31,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen20_azi180,20,180,161.483235134939,46.1037875202153,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen20_azi180.csv
32,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen20_azi210,20,210,126.099145637466,52.1257236089802,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen20_azi210.csv
33,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen20_azi240,20,240,95.4753250250676,61.6267690592928,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen20_azi240.csv
34,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen20_azi270,20,270,67.8473985251859,71.6771895644581,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen20_azi270.csv
35,1,1,Goldstone,35.4267,-116.89,950,06-May-2026 10:25:00,moon,none,23,desert,background,ATM_MIDLAT_SUMMER,Rad_Goldstone_23kmvis_none_desert_background_zen20_azi300,20,300,41.078247414664,79.9504220483643,165.410523827047,65.3016995421348,Rad_Goldstone_23kmvis_none_desert_background_zen20_azi300.csv
