case_index,geom_index,location_index,location_label,lat,lon,alt_m,utc,source,clouds,visib_km,aerosol_model,strato_model,atmos_model,name,los_zen_deg,los_az_deg,rel_az_deg,rel_zen_deg,body_topo_az_deg,body_topo_zen_deg,csv
1,1,1,HOGS,55.9145011901855,-3.31660008430481,100,03-Jan-2026 04:00:00,moon,none,5,urban,background,ATM_MIDLAT_WINTER,Rad_HOGS_5kmvis_none_urban_background_zen0_azi0,0,0,171.157603835799,51.09352346263,261.157603835799,51.09352346263,Rad_HOGS_5kmvis_none_urban_background_zen0_azi0.csv
2,1,1,HOGS,55.9145011901855,-3.31660008430481,100,03-Jan-2026 04:00:00,moon,none,5,urban,background,ATM_MIDLAT_WINTER,Rad_HOGS_5kmvis_none_urban_background_zen0_azi30,0,30,171.157603835799,51.09352346263,261.157603835799,51.09352346263,Rad_HOGS_5kmvis_none_urban_background_zen0_azi30.csv
3,1,1,HOGS,55.9145011901855,-3.31660008430481,100,03-Jan-2026 04:00:00,moon,none,5,urban,background,ATM_MIDLAT_WINTER,Rad_HOGS_5kmvis_none_urban_background_zen0_azi60,0,60,171.157603835799,51.09352346263,261.157603835799,51.09352346263,Rad_HOGS_5kmvis_none_urban_background_zen0_azi60.csv
4,1,1,HOGS,55.9145011901855,-3.31660008430481,100,03-Jan-2026 04:00:00,moon,none,5,urban,background,ATM_MIDLAT_WINTER,Rad_HOGS_5kmvis_none_urban_background_zen0_azi90,0,90,171.157603835799,51.09352346263,261.157603835799,51.09352346263,Rad_HOGS_5kmvis_none_urban_background_zen0_azi90.csv
5,1,1,HOGS,55.9145011901855,-3.31660008430481,100,03-Jan-2026 04:00:00,moon,none,5,urban,background,ATM_MIDLAT_WINTER,Rad_HOGS_5kmvis_none_urban_background_zen0_azi120,0,120,171.157603835799,51.09352346263,261.157603835799,51.09352346263,Rad_HOGS_5kmvis_none_urban_background_zen0_azi120.csv
6,1,1,HOGS,55.9145011901855,-3.31660008430481,100,03-Jan-2026 04:00:00,moon,none,5,urban,background,ATM_MIDLAT_WINTER,Rad_HOGS_5kmvis_none_urban_background_zen0_azi150,0,150,171.157603835799,51.09352346263,261.157603835799,51.09352346263,Rad_HOGS_5kmvis_none_urban_background_zen0_azi150.csv
7,1,1,HOGS,55.9145011901855,-3.31660008430481,100,03-Jan-2026 04:00:00,moon,none,5,urban,background,ATM_MIDLAT_WINTER,Rad_HOGS_5kmvis_none_urban_background_zen0_azi180,0,180,171.157603835799,51.09352346263,261.157603835799,51.09352346263,Rad_HOGS_5kmvis_none_urban_background_zen0_azi180.csv
8,1,1,HOGS,55.9145011901855,-3.31660008430481,100,03-Jan-2026 04:00:00,moon,none,5,urban,background,ATM_MIDLAT_WINTER,Rad_HOGS_5kmvis_none_urban_background_zen0_azi210,0,210,171.157603835799,51.09352346263,261.157603835799,51.09352346263,Rad_HOGS_5kmvis_none_urban_background_zen0_azi210.csv
9,1,1,HOGS,55.9145011901855,-3.31660008430481,100,03-Jan-2026 04:00:00,moon,none,5,urban,background,ATM_MIDLAT_WINTER,Rad_HOGS_5kmvis_none_urban_background_zen0_azi240,0,240,171.157603835799,51.09352346263,261.157603835799,51.09352346263,Rad_HOGS_5kmvis_none_urban_background_zen0_azi240.csv
10,1,1,HOGS,55.9145011901855,-3.31660008430481,100,03-Jan-2026 04:00:00,moon,none,5,urban,background,ATM_MIDLAT_WINTER,Rad_HOGS_5kmvis_none_urban_background_zen0_azi270,0,270,171.157603835799,51.09352346263,261.157603835799,51.09352346263,Rad_HOGS_5kmvis_none_urban_background_zen0_azi270.csv
