case_index,geom_index,location_index,location_label,lat,lon,alt_m,utc,source,clouds,visib_km,aerosol_model,strato_model,atmos_model,name,los_zen_deg,los_az_deg,rel_az_deg,rel_zen_deg,body_topo_az_deg,body_topo_zen_deg,csv
1,1,1,HOGS,55.9145011901855,-3.31660008430481,100,03-Jan-2026 01:00:00,none,none,0.5,urban,background,ATM_MIDLAT_WINTER,Transm_HOGS_500mvis_none_urban_background_zen0_azi0,0,0,NaN,NaN,NaN,NaN,Transm_HOGS_500mvis_none_urban_background_zen0_azi0.csv
1,1,1,HOGS,55.9145011901855,-3.31660008430481,100,03-Jan-2026 01:00:00,none,none,1,urban,background,ATM_MIDLAT_WINTER,Transm_HOGS_1kmvis_none_urban_background_zen0_azi0,0,0,NaN,NaN,NaN,NaN,Transm_HOGS_1kmvis_none_urban_background_zen0_azi0.csv
1,1,1,HOGS,55.9145011901855,-3.31660008430481,100,03-Jan-2026 01:00:00,none,none,2,urban,background,ATM_MIDLAT_WINTER,Transm_HOGS_2kmvis_none_urban_background_zen0_azi0,0,0,NaN,NaN,NaN,NaN,Transm_HOGS_2kmvis_none_urban_background_zen0_azi0.csv
1,1,1,HOGS,55.9145011901855,-3.31660008430481,100,03-Jan-2026 01:00:00,none,none,3,urban,background,ATM_MIDLAT_WINTER,Transm_HOGS_3kmvis_none_urban_background_zen0_azi0,0,0,NaN,NaN,NaN,NaN,Transm_HOGS_3kmvis_none_urban_background_zen0_azi0.csv
1,1,1,HOGS,55.9145011901855,-3.31660008430481,100,03-Jan-2026 01:00:00,none,none,4,urban,background,ATM_MIDLAT_WINTER,Transm_HOGS_4kmvis_none_urban_background_zen0_azi0,0,0,NaN,NaN,NaN,NaN,Transm_HOGS_4kmvis_none_urban_background_zen0_azi0.csv
1,1,1,HOGS,55.9145011901855,-3.31660008430481,100,03-Jan-2026 01:00:00,none,none,5,urban,background,ATM_MIDLAT_WINTER,Transm_HOGS_5kmvis_none_urban_background_zen0_azi0,0,0,NaN,NaN,NaN,NaN,Transm_HOGS_5kmvis_none_urban_background_zen0_azi0.csv
1,1,1,HOGS,55.9145011901855,-3.31660008430481,100,03-Jan-2026 01:00:00,none,none,7,urban,background,ATM_MIDLAT_WINTER,Transm_HOGS_7kmvis_none_urban_background_zen0_azi0,0,0,NaN,NaN,NaN,NaN,Transm_HOGS_7kmvis_none_urban_background_zen0_azi0.csv
1,1,1,HOGS,55.9145011901855,-3.31660008430481,100,03-Jan-2026 01:00:00,none,none,10,urban,background,ATM_MIDLAT_WINTER,Transm_HOGS_10kmvis_none_urban_background_zen0_azi0,0,0,NaN,NaN,NaN,NaN,Transm_HOGS_10kmvis_none_urban_background_zen0_azi0.csv
1,1,1,HOGS,55.9145011901855,-3.31660008430481,100,03-Jan-2026 01:00:00,none,none,15,urban,background,ATM_MIDLAT_WINTER,Transm_HOGS_15kmvis_none_urban_background_zen0_azi0,0,0,NaN,NaN,NaN,NaN,Transm_HOGS_15kmvis_none_urban_background_zen0_azi0.csv
1,1,1,HOGS,55.9145011901855,-3.31660008430481,100,03-Jan-2026 01:00:00,none,none,23,urban,background,ATM_MIDLAT_WINTER,Transm_HOGS_23kmvis_none_urban_background_zen0_azi0,0,0,NaN,NaN,NaN,NaN,Transm_HOGS_23kmvis_none_urban_background_zen0_azi0.csv
