case_index,geom_index,location_index,location_label,lat,lon,alt_m,utc,source,clouds,visib_km,aerosol_model,strato_model,atmos_model,name,los_zen_deg,los_az_deg,rel_az_deg,rel_zen_deg,body_topo_az_deg,body_topo_zen_deg,csv
1,1,1,HOGS,55.9145011901855,-3.31660008430481,100,21-Jun-2026 13:00:00,sun,none,5,urban,background,ATM_MIDLAT_SUMMER,Rad_HOGS_5kmvis_none_urban_background_zen0_azi0,0,0,108.868511196548,33.5123475905193,198.868511196548,33.5123475905192,Rad_HOGS_5kmvis_none_urban_background_zen0_azi0.csv
2,1,1,HOGS,55.9145011901855,-3.31660008430481,100,21-Jun-2026 13:00:00,sun,none,5,urban,background,ATM_MIDLAT_SUMMER,Rad_HOGS_5kmvis_none_urban_background_zen0_azi30,0,30,108.868511196548,33.5123475905193,198.868511196548,33.5123475905192,Rad_HOGS_5kmvis_none_urban_background_zen0_azi30.csv
3,1,1,HOGS,55.9145011901855,-3.31660008430481,100,21-Jun-2026 13:00:00,sun,none,5,urban,background,ATM_MIDLAT_SUMMER,Rad_HOGS_5kmvis_none_urban_background_zen0_azi60,0,60,108.868511196548,33.5123475905193,198.868511196548,33.5123475905192,Rad_HOGS_5kmvis_none_urban_background_zen0_azi60.csv
4,1,1,HOGS,55.9145011901855,-3.31660008430481,100,21-Jun-2026 13:00:00,sun,none,5,urban,background,ATM_MIDLAT_SUMMER,Rad_HOGS_5kmvis_none_urban_background_zen0_azi90,0,90,108.868511196548,33.5123475905193,198.868511196548,33.5123475905192,Rad_HOGS_5kmvis_none_urban_background_zen0_azi90.csv
5,1,1,HOGS,55.9145011901855,-3.31660008430481,100,21-Jun-2026 13:00:00,sun,none,5,urban,background,ATM_MIDLAT_SUMMER,Rad_HOGS_5kmvis_none_urban_background_zen0_azi120,0,120,108.868511196548,33.5123475905193,198.868511196548,33.5123475905192,Rad_HOGS_5kmvis_none_urban_background_zen0_azi120.csv
6,1,1,HOGS,55.9145011901855,-3.31660008430481,100,21-Jun-2026 13:00:00,sun,none,5,urban,background,ATM_MIDLAT_SUMMER,Rad_HOGS_5kmvis_none_urban_background_zen0_azi150,0,150,108.868511196548,33.5123475905193,198.868511196548,33.5123475905192,Rad_HOGS_5kmvis_none_urban_background_zen0_azi150.csv
7,1,1,HOGS,55.9145011901855,-3.31660008430481,100,21-Jun-2026 13:00:00,sun,none,5,urban,background,ATM_MIDLAT_SUMMER,Rad_HOGS_5kmvis_none_urban_background_zen0_azi180,0,180,108.868511196548,33.5123475905193,198.868511196548,33.5123475905192,Rad_HOGS_5kmvis_none_urban_background_zen0_azi180.csv
8,1,1,HOGS,55.9145011901855,-3.31660008430481,100,21-Jun-2026 13:00:00,sun,none,5,urban,background,ATM_MIDLAT_SUMMER,Rad_HOGS_5kmvis_none_urban_background_zen0_azi210,0,210,108.868511196548,33.5123475905193,198.868511196548,33.5123475905192,Rad_HOGS_5kmvis_none_urban_background_zen0_azi210.csv
9,1,1,HOGS,55.9145011901855,-3.31660008430481,100,21-Jun-2026 13:00:00,sun,none,5,urban,background,ATM_MIDLAT_SUMMER,Rad_HOGS_5kmvis_none_urban_background_zen0_azi240,0,240,108.868511196548,33.5123475905193,198.868511196548,33.5123475905192,Rad_HOGS_5kmvis_none_urban_background_zen0_azi240.csv
10,1,1,HOGS,55.9145011901855,-3.31660008430481,100,21-Jun-2026 13:00:00,sun,none,5,urban,background,ATM_MIDLAT_SUMMER,Rad_HOGS_5kmvis_none_urban_background_zen0_azi270,0,270,108.868511196548,33.5123475905193,198.868511196548,33.5123475905192,Rad_HOGS_5kmvis_none_urban_background_zen0_azi270.csv
11,1,1,HOGS,55.9145011901855,-3.31660008430481,100,21-Jun-2026 13:00:00,sun,none,5,urban,background,ATM_MIDLAT_SUMMER,Rad_HOGS_5kmvis_none_urban_background_zen0_azi300,0,300,108.868511196548,33.5123475905193,198.868511196548,33.5123475905192,Rad_HOGS_5kmvis_none_urban_background_zen0_azi300.csv
12,1,1,HOGS,55.9145011901855,-3.31660008430481,100,21-Jun-2026 13:00:00,sun,none,5,urban,background,ATM_MIDLAT_SUMMER,Rad_HOGS_5kmvis_none_urban_background_zen0_azi330,0,330,108.868511196548,33.5123475905193,198.868511196548,33.5123475905192,Rad_HOGS_5kmvis_none_urban_background_zen0_azi330.csv
13,1,1,HOGS,55.9145011901855,-3.31660008430481,100,21-Jun-2026 13:00:00,sun,none,5,urban,background,ATM_MIDLAT_SUMMER,Rad_HOGS_5kmvis_none_urban_background_zen10_azi0,10,0,15.1536373221435,43.0819099339426,198.868511196548,33.5123475905192,Rad_HOGS_5kmvis_none_urban_background_zen10_azi0.csv
14,1,1,HOGS,55.9145011901855,-3.31660008430481,100,21-Jun-2026 13:00:00,sun,none,5,urban,background,ATM_MIDLAT_SUMMER,Rad_HOGS_5kmvis_none_urban_background_zen10_azi30,10,30,351.068978826503,43.3620407870278,198.868511196548,33.5123475905192,Rad_HOGS_5kmvis_none_urban_background_zen10_azi30.csv
15,1,1,HOGS,55.9145011901855,-3.31660008430481,100,21-Jun-2026 13:00:00,sun,none,5,urban,background,ATM_MIDLAT_SUMMER,Rad_HOGS_5kmvis_none_urban_background_zen10_azi60,10,60,326.768183172843,41.5058955784521,198.868511196548,33.5123475905192,Rad_HOGS_5kmvis_none_urban_background_zen10_azi60.csv
16,1,1,HOGS,55.9145011901855,-3.31660008430481,100,21-Jun-2026 13:00:00,sun,none,5,urban,background,ATM_MIDLAT_SUMMER,Rad_HOGS_5kmvis_none_urban_background_zen10_azi90,10,90,301.537155116139,37.8056430848115,198.868511196548,33.5123475905192,Rad_HOGS_5kmvis_none_urban_background_zen10_azi90.csv
17,1,1,HOGS,55.9145011901855,-3.31660008430481,100,21-Jun-2026 13:00:00,sun,none,5,urban,background,ATM_MIDLAT_SUMMER,Rad_HOGS_5kmvis_none_urban_background_zen10_azi120,10,120,274.202841417566,32.9010796771113,198.868511196548,33.5123475905192,Rad_HOGS_5kmvis_none_urban_background_zen10_azi120.csv
18,1,1,HOGS,55.9145011901855,-3.31660008430481,100,21-Jun-2026 13:00:00,sun,none,5,urban,background,ATM_MIDLAT_SUMMER,Rad_HOGS_5kmvis_none_urban_background_zen10_azi150,10,150,242.892037972615,27.8510605644332,198.868511196548,33.5123475905192,Rad_HOGS_5kmvis_none_urban_background_zen10_azi150.csv
19,1,1,HOGS,55.9145011901855,-3.31660008430481,100,21-Jun-2026 13:00:00,sun,none,5,urban,background,ATM_MIDLAT_SUMMER,Rad_HOGS_5kmvis_none_urban_background_zen10_azi180,10,180,205.7773080651,24.2416125042618,198.868511196548,33.5123475905192,Rad_HOGS_5kmvis_none_urban_background_zen10_azi180.csv
