case index 0 = {
los index, 0
num freq, 2201
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
800, 0.00256676, 1.80332e-22, 3.22368e-22, 0, 1.1624e-06, 1.05064e-07, 0, 0, 1.26746e-06, 8.58613e-07, 1.0285e-10, 5.96511, 0.897668, 0.000334517, 580.384
801, 0.00258046, 1.94863e-22, 3.47707e-22, 0, 1.15674e-06, 1.05207e-07, 0, 0, 1.26194e-06, 8.62175e-07, 1.04213e-10, 5.95979, 0.897534, 0.000334128, 579.695
802, 0.00260224, 2.104e-22, 3.7498e-22, 0, 1.15452e-06, 1.05658e-07, 0, 0, 1.26018e-06, 8.66899e-07, 1.06053e-10, 5.95138, 0.8974, 0.000333161, 579.062
803, 0.00262906, 2.27062e-22, 4.04319e-22, 0, 1.15466e-06, 1.06318e-07, 0, 0, 1.26098e-06, 8.72251e-07, 1.0829e-10, 5.94113, 0.897266, 0.000331807, 578.47
804, 0.00266182, 2.44907e-22, 4.35876e-22, 0, 1.16144e-06, 1.07586e-07, 0, 0, 1.26903e-06, 8.81141e-07, 1.11418e-10, 5.92875, 0.897134, 0.000331053, 577.985
805, 0.0027014, 2.63997e-22, 4.69814e-22, 0, 1.17576e-06, 1.09551e-07, 0, 0, 1.28531e-06, 8.94321e-07, 1.15533e-10, 5.91399, 0.897, 0.000331068, 577.621
806, 0.00273842, 2.84585e-22, 5.06289e-22, 0, 1.18643e-06, 1.11191e-07, 0, 0, 1.29763e-06, 9.05499e-07, 1.19275e-10, 5.90038, 0.896867, 0.000330678, 577.198
807, 0.00276507, 3.06925e-22, 5.45468e-22, 0, 1.18735e-06, 1.11945e-07, 0, 0, 1.29929e-06, 9.11744e-07, 1.21819e-10, 5.89069, 0.896733, 0.000329749, 576.622
808, 0.0027831, 3.31134e-22, 5.87548e-22, 0, 1.1819e-06, 1.12113e-07, 0, 0, 1.29402e-06, 9.15108e-07, 1.23502e-10, 5.88419, 0.8966, 0.000328824, 575.948
809, 0.0027944, 3.57343e-22, 6.32734e-22, 0, 1.17168e-06, 1.11833e-07, 0, 0, 1.28351e-06, 9.16161e-07, 1.24495e-10, 5.88014, 0.896466, 0.000327878, 575.2
810, 0.00280012, 3.85718e-22, 6.81241e-22, 0, 1.15976e-06, 1.11385e-07, 0, 0, 1.27115e-06, 9.16704e-07, 1.25144e-10, 5.87809, 0.896333, 0.000327402, 574.424
811, 0.00279467, 4.16661e-22, 7.33266e-22, 0, 1.14313e-06, 1.10467e-07, 0, 0, 1.2536e-06, 9.14925e-07, 1.25001e-10, 5.88004, 0.8962, 0.000327396, 573.573
812, 0.00276537, 4.51027e-22, 7.88921e-22, 0, 1.11287e-06, 1.08208e-07, 0, 0, 1.22108e-06, 9.04626e-07, 1.22927e-10, 5.89058, 0.896067, 0.000327135, 572.494
813, 0.00269898, 4.89985e-22, 8.48246e-22, 0, 1.06429e-06, 1.04124e-07, 0, 0, 1.16841e-06, 8.81952e-07, 1.18305e-10, 5.91488, 0.895933, 0.000326766, 571.09
814, 0.00260851, 5.33787e-22, 9.11393e-22, 0, 1.00549e-06, 9.89786e-08, 0, 0, 1.10447e-06, 8.51199e-07, 1.12264e-10, 5.94898, 0.895799, 0.000326296, 569.467
815, 0.00251846, 5.82824e-22, 9.78287e-22, 0, 9.50113e-07, 9.40964e-08, 0, 0, 1.04421e-06, 8.20188e-07, 1.06748e-10, 5.98411, 0.895666, 0.000325653, 567.854
