case index 0 = {
los index, 0
num freq, 2201
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
800, 0.0417852, 1.55834e-22, 2.28369e-22, 0, 0.639786, 0.0506952, 0, 0, 0.690482, 4.93608, 0.00426173, 3.17521, 0.897668, 118.131, 1011.57
801, 0.0419004, 1.68384e-22, 2.46284e-22, 0, 0.635861, 0.0506281, 0, 0, 0.68649, 4.9409, 0.00429448, 3.17246, 0.897534, 117.922, 1010.33
802, 0.0420908, 1.81788e-22, 2.65519e-22, 0, 0.633315, 0.0506438, 0, 0, 0.683958, 4.94636, 0.00434071, 3.16792, 0.8974, 117.521, 1009.21
803, 0.0423242, 1.96155e-22, 2.86179e-22, 0, 0.631584, 0.0507036, 0, 0, 0.682288, 4.95116, 0.00439629, 3.1624, 0.897266, 116.989, 1008.17
804, 0.0426059, 2.1153e-22, 3.08359e-22, 0, 0.632811, 0.0509752, 0, 0, 0.683787, 4.97052, 0.00447791, 3.15576, 0.897134, 116.667, 1007.4
805, 0.0429453, 2.27962e-22, 3.32159e-22, 0, 0.637504, 0.0515012, 0, 0, 0.689005, 5.00809, 0.00458958, 3.14783, 0.897, 116.618, 1006.93
806, 0.0432611, 2.45686e-22, 3.57745e-22, 0, 0.640508, 0.0519036, 0, 0, 0.692411, 5.0366, 0.00468841, 3.1405, 0.896867, 116.426, 1006.31
807, 0.0434859, 2.64937e-22, 3.85291e-22, 0, 0.63924, 0.0520026, 0, 0, 0.691242, 5.0462, 0.00475063, 3.13532, 0.896733, 116.045, 1005.32
808, 0.0436359, 2.85814e-22, 4.14936e-22, 0, 0.635367, 0.0519225, 0, 0, 0.687291, 5.047, 0.00478843, 3.13187, 0.8966, 115.665, 1004.1
809, 0.0437276, 3.08431e-22, 4.46818e-22, 0, 0.629535, 0.0517046, 0, 0, 0.68124, 5.04065, 0.00480676, 3.12978, 0.896466, 115.278, 1002.71
810, 0.04377, 3.32934e-22, 4.81096e-22, 0, 0.623193, 0.0514586, 0, 0, 0.674651, 5.03584, 0.0048169, 3.12881, 0.896333, 115.056, 1001.27
811, 0.0437094, 3.59697e-22, 5.17998e-22, 0, 0.614986, 0.0510814, 0, 0, 0.666067, 5.02649, 0.00480505, 3.13019, 0.8962, 115, 999.663
812, 0.0434121, 3.89531e-22, 5.57839e-22, 0, 0.600527, 0.0502269, 0, 0, 0.650755, 4.98607, 0.00473207, 3.13702, 0.896067, 114.855, 997.471
813, 0.0427237, 4.23552e-22, 6.0098e-22, 0, 0.577379, 0.0486935, 0, 0, 0.626073, 4.89934, 0.00457476, 3.153, 0.895933, 114.672, 994.424
814, 0.0417517, 4.61992e-22, 6.47501e-22, 0, 0.54907, 0.0467286, 0, 0, 0.595798, 4.77889, 0.00436747, 3.17602, 0.895799, 114.454, 990.785
815, 0.0407004, 5.05225e-22, 6.97248e-22, 0, 0.521696, 0.0447774, 0, 0, 0.566474, 4.64719, 0.00417096, 3.20152, 0.895666, 114.175, 987.116
816, 0.0398241, 5.52356e-22, 7.50092e-22, 0, 0.500729, 0.0432725, 0, 0, 0.544001, 4.53257, 0.00403854, 3.22328, 0.895533, 113.82, 984.016
817, 0.0396527, 5.98072e-22, 8.06193e-22, 0, 0.492398, 0.042744, 0, 0, 0.535141, 4.48488, 0.00402655, 3.2276, 0.8954, 113.152, 982.248
818, 0.0401959, 6.40908e-22, 8.66029e-22, 0, 0.494118, 0.0429976, 0, 0, 0.537116, 4.49166, 0.00411324, 3.21399, 0.895266, 111.88, 981.583
819, 0.0411348, 6.83441e-22, 9.29831e-22, 0, 0.503829, 0.0438804, 0, 0, 0.54771, 4.54173, 0.00428449, 3.1909, 0.895133, 110.62, 981.79
820, 0.0424497, 7.25012e-22, 9.97906e-22, 0, 0.524803, 0.0456861, 0, 0, 0.570489, 4.66838, 0.00457194, 3.15944, 0.895, 110.165, 983.167
821, 0.0433822, 7.73159e-22, 1.07148e-21, 0, 0.540123, 0.0470669, 0, 0, 0.58719, 4.77361, 0.00479802, 3.13771, 0.894867, 110.184, 983.896
822, 0.0424529, 8.44226e-22, 1.1524e-21, 0, 0.521165, 0.0457416, 0, 0, 0.566907, 4.69385, 0.00465712, 3.15936, 0.894733, 110.722, 981.098
823, 0.0411344, 9.23117e-22, 1.23926e-21, 0, 0.496483, 0.0439823, 0, 0, 0.540465, 4.58647, 0.00445633, 3.19091, 0.8946, 111.601, 977.621
824, 0.0422822, 9.79138e-22, 1.32897e-21, 0, 0.517077, 0.0458313, 0, 0, 0.562909, 4.72436, 0.00475182, 3.16339, 0.894467, 111.786, 978.995
825, 0.0442687, 1.03098e-21, 1.42395e-21, 0, 0.551994, 0.0488025, 0, 0, 0.600797, 4.93407, 0.00520823, 3.11748, 0.894333, 111.489, 981.728
