case index 0 = {
los index, 0
num freq, 9788
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
212.5, 7.9045e-40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90.036, 0.973626, 2.72158, -99
213.5, 1.20382e-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89.6153, 0.973596, 2.85388, -99
214.5, 1.70834e-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89.2653, 0.973565, 2.96174, -99
215.5, 2.20789e-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89.0088, 0.97353, 2.9779, -99
216.5, 2.56721e-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88.858, 0.973503, 2.95986, -99
217.5, 2.67906e-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88.8154, 0.973476, 3.04369, -99
218.5, 2.49549e-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88.8863, 0.973448, 3.18234, -99
219.5, 2.04943e-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89.0833, 0.973413, 3.1749, -99
220.5, 1.45118e-39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89.4284, 0.973385, 3.0159, -99
221.5, 8.62327e-40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89.9489, 0.973352, 2.94539, -99
222.5, 4.24638e-40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90.6573, 0.973323, 3.12121, -99
223.5, 1.72655e-40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91.5573, 0.973296, 3.33251, -99
224.5, 5.75766e-41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92.6555, 0.973265, 3.29696, -99
225.5, 1.45791e-41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94.029, 0.973236, 3.08705, -99
226.5, 2.32756e-42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95.8638, 0.973205, 2.97155, -99
227.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.973176, 3.00797, -99
228.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.973144, 3.07991, -99
229.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.973116, 3.08925, -99
230.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.973084, 3.01012, -99
231.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.973056, 2.84867, -99
232.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.973025, 2.73709, -99
233.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972997, 2.75131, -99
234.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972966, 2.8856, -99
235.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972934, 3.08669, -99
236.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972909, 3.12579, -99
237.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972872, 3.00333, -99
238.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972847, 2.9342, -99
239.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972816, 2.99532, -99
240.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972789, 3.22126, -99
241.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972757, 3.93839, -99
242.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972721, 5.08627, -99
243.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972694, 6.229, -99
244.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972663, 7.16461, -99
245.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972634, 7.75182, -99
246.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972601, 7.97011, -99
247.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972574, 7.73124, -99
248.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972544, 7.35331, -99
249.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972515, 7.47152, -99
250.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972484, 7.3845, -99
