case index 42 = {
los index, 0
num freq, 2401
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
600, 0.472153, 0, 0, 0, 4.66895e-06, 7.45496e-06, 0, 0, 1.21239e-05, 0.000233018, 0.000196629, 0.750452, 0.950334, 0.000493534, 794.864
601, 0.47339, 0, 0, 0, 4.62293e-06, 7.39592e-06, 0, 0, 1.20189e-05, 0.000231744, 0.000195669, 0.747836, 0.950201, 0.000489558, 793.531
602, 0.474485, 0, 0, 0, 4.57727e-06, 7.3391e-06, 0, 0, 1.19164e-05, 0.000230541, 0.000194755, 0.745525, 0.950066, 0.000485881, 792.207
603, 0.475531, 0, 0, 0, 4.58251e-06, 7.36498e-06, 0, 0, 1.19475e-05, 0.000231938, 0.000196031, 0.743323, 0.949933, 0.00048773, 791.179
604, 0.476573, 0, 0, 0, 4.61217e-06, 7.43068e-06, 0, 0, 1.20429e-05, 0.000234582, 0.000198361, 0.741134, 0.949799, 0.000492217, 790.295
605, 0.477607, 0, 0, 0, 4.60303e-06, 7.4344e-06, 0, 0, 1.20374e-05, 0.000235266, 0.000199035, 0.738968, 0.949666, 0.000492597, 789.193
606, 0.478662, 0, 0, 0, 4.57056e-06, 7.40074e-06, 0, 0, 1.19713e-05, 0.000234766, 0.00019871, 0.73676, 0.949534, 0.000490466, 787.963
607, 0.479763, 0, 0, 0, 4.55163e-06, 7.38881e-06, 0, 0, 1.19405e-05, 0.000234948, 0.000198966, 0.734463, 0.9494, 0.000489717, 786.813
608, 0.480901, 0, 0, 0, 4.53231e-06, 7.37599e-06, 0, 0, 1.19083e-05, 0.000235091, 0.000199191, 0.732094, 0.949268, 0.00048886, 785.663
609, 0.482061, 0, 0, 0, 4.4961e-06, 7.33546e-06, 0, 0, 1.18316e-05, 0.000234343, 0.000198664, 0.729685, 0.949132, 0.000486137, 784.419
610, 0.483225, 0, 0, 0, 4.45704e-06, 7.29004e-06, 0, 0, 1.17471e-05, 0.000233435, 0.000198002, 0.727274, 0.948999, 0.000483084, 783.16
611, 0.484364, 0, 0, 0, 4.43559e-06, 7.27327e-06, 0, 0, 1.17089e-05, 0.00023344, 0.000198111, 0.724918, 0.948866, 0.000481952, 782.006
612, 0.485471, 0, 0, 0, 4.41988e-06, 7.26583e-06, 0, 0, 1.16857e-05, 0.000233743, 0.00019847, 0.722636, 0.948732, 0.000481479, 780.889
613, 0.486558, 0, 0, 0, 4.39788e-06, 7.24813e-06, 0, 0, 1.1646e-05, 0.000233717, 0.000198548, 0.720399, 0.948599, 0.00048035, 779.739
614, 0.487623, 0, 0, 0, 4.38142e-06, 7.23957e-06, 0, 0, 1.1621e-05, 0.000233986, 0.000198875, 0.718213, 0.948465, 0.000479851, 778.624
615, 0.488652, 0, 0, 0, 4.34376e-06, 7.19553e-06, 0, 0, 1.15393e-05, 0.0002331, 0.000198215, 0.716104, 0.948333, 0.000477041, 777.386
616, 0.489633, 0, 0, 0, 4.24393e-06, 7.04816e-06, 0, 0, 1.12921e-05, 0.000228858, 0.000194695, 0.714098, 0.9482, 0.000467428, 775.775
617, 0.49057, 0, 0, 0, 4.2034e-06, 6.99961e-06, 0, 0, 1.1203e-05, 0.000227837, 0.000193913, 0.712187, 0.948066, 0.000464422, 774.523
618, 0.491459, 0, 0, 0, 4.28388e-06, 7.15263e-06, 0, 0, 1.14365e-05, 0.000233377, 0.000198711, 0.710376, 0.947931, 0.000474841, 774.008
619, 0.492283, 0, 0, 0, 4.34653e-06, 7.27619e-06, 0, 0, 1.16227e-05, 0.000237966, 0.000202694, 0.708701, 0.947799, 0.000483382, 773.381
620, 0.493031, 0, 0, 0, 4.35581e-06, 7.31125e-06, 0, 0, 1.16671e-05, 0.000239682, 0.000204225, 0.707182, 0.947666, 0.000486136, 772.439
621, 0.493716, 0, 0, 0, 4.34042e-06, 7.30533e-06, 0, 0, 1.16458e-05, 0.000240062, 0.000204612, 0.705794, 0.947534, 0.000486237, 771.355
622, 0.494345, 0, 0, 0, 4.30708e-06, 7.26953e-06, 0, 0, 1.15766e-05, 0.000239464, 0.000204161, 0.704521, 0.9474, 0.000484409, 770.169
623, 0.494919, 0, 0, 0, 4.27453e-06, 7.23503e-06, 0, 0, 1.15096e-05, 0.000238909, 0.000203743, 0.703361, 0.947267, 0.000482727, 768.99
624, 0.495438, 0, 0, 0, 4.22956e-06, 7.17911e-06, 0, 0, 1.14087e-05, 0.00023764, 0.000202709, 0.702313, 0.947134, 0.000479662, 767.737
625, 0.495769, 0, 0, 0, 4.15776e-06, 7.07806e-06, 0, 0, 1.12358e-05, 0.000234881, 0.000200387, 0.701645, 0.946999, 0.000473779, 766.324
626, 0.494965, 0, 0, 0, 4.11333e-06, 7.02764e-06, 0, 0, 1.1141e-05, 0.000233891, 0.000199468, 0.703268, 0.946868, 0.000472585, 765.087
627, 0.491229, 0, 0, 0, 4.10696e-06, 7.0517e-06, 0, 0, 1.11587e-05, 0.000235612, 0.000200587, 0.710846, 0.946734, 0.000479768, 764.11
628, 0.486872, 0, 0, 0, 4.08809e-06, 7.05569e-06, 0, 0, 1.11438e-05, 0.000236722, 0.000201123, 0.719754, 0.946599, 0.000486333, 763.062
629, 0.487209, 0, 0, 0, 4.08551e-06, 7.07097e-06, 0, 0, 1.11565e-05, 0.000237831, 0.000202098, 0.719063, 0.946467, 0.000488242, 762.08
630, 0.490808, 0, 0, 0, 4.10065e-06, 7.10501e-06, 0, 0, 1.12057e-05, 0.000239293, 0.000203683, 0.711702, 0.946334, 0.000487636, 761.184
631, 0.494847, 0, 0, 0, 4.10528e-06, 7.12053e-06, 0, 0, 1.12258e-05, 0.00024009, 0.000204743, 0.703507, 0.9462, 0.000485269, 760.224
632, 0.498507, 0, 0, 0, 4.0991e-06, 7.1184e-06, 0, 0, 1.12175e-05, 0.000240323, 0.000205288, 0.696137, 0.946067, 0.000482154, 759.203
633, 0.501456, 0, 0, 0, 4.09203e-06, 7.11429e-06, 0, 0, 1.12063e-05, 0.000240558, 0.000205767, 0.690239, 0.945933, 0.000479757, 758.178
634, 0.503721, 0, 0, 0, 4.09017e-06, 7.12008e-06, 0, 0, 1.12103e-05, 0.000241195, 0.000206523, 0.685732, 0.945801, 0.00047883, 757.19
635, 0.505552, 0, 0, 0, 4.11e-06, 7.16546e-06, 0, 0, 1.12755e-05, 0.000243214, 0.000208423, 0.682105, 0.945667, 0.000481067, 756.343
