case index 592 = {
los index, 0
num freq, 1001
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
2050, 0.19022, 8.53751e-07, 1.97134e-07, 0, 6.68063e-08, 1.82683e-07, 0, 0, 1.30037e-06, 1.25804e-05, 2.46655e-05, 1.65958, 0.9383, 6.61153e-05, 267.302
2050.1, 0.186594, 8.63385e-07, 1.96836e-07, 0, 6.57105e-08, 1.80054e-07, 0, 0, 1.30599e-06, 1.23388e-05, 2.43493e-05, 1.67882, 0.938306, 6.61056e-05, 267.335
2050.2, 0.183108, 8.72765e-07, 1.96539e-07, 0, 6.46558e-08, 1.77515e-07, 0, 0, 1.31147e-06, 1.21064e-05, 2.40432e-05, 1.69768, 0.938313, 6.6096e-05, 267.367
2050.3, 0.179744, 8.81921e-07, 1.96243e-07, 0, 6.36379e-08, 1.75054e-07, 0, 0, 1.31686e-06, 1.18822e-05, 2.37458e-05, 1.71622, 0.93832, 6.60864e-05, 267.398
2050.4, 0.176519, 8.90796e-07, 1.95952e-07, 0, 6.26619e-08, 1.72686e-07, 0, 0, 1.3221e-06, 1.16672e-05, 2.34583e-05, 1.73433, 0.938327, 6.60768e-05, 267.428
2050.5, 0.173414, 8.99429e-07, 1.95664e-07, 0, 6.17224e-08, 1.70395e-07, 0, 0, 1.32721e-06, 1.14602e-05, 2.31794e-05, 1.75207, 0.938333, 6.60671e-05, 267.457
2050.6, 0.170433, 9.07796e-07, 1.95383e-07, 0, 6.08207e-08, 1.68185e-07, 0, 0, 1.33218e-06, 1.12615e-05, 2.29093e-05, 1.76941, 0.938339, 6.60574e-05, 267.485
2050.7, 0.167576, 9.15883e-07, 1.95108e-07, 0, 5.99573e-08, 1.66058e-07, 0, 0, 1.33701e-06, 1.10711e-05, 2.26482e-05, 1.78632, 0.938347, 6.60477e-05, 267.511
2050.8, 0.164822, 9.23737e-07, 1.9484e-07, 0, 5.91258e-08, 1.63999e-07, 0, 0, 1.3417e-06, 1.08874e-05, 2.23944e-05, 1.80289, 0.938353, 6.6038e-05, 267.536
