case index 0 = {
los index, 0
num freq, 2501
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
500, 0.442542, 0, 0, 0, 7.01686e-06, 1.95289e-05, 0, 0, 2.65457e-05, 0.000141307, 0.00012346, 0.815221, 0.964979, 0.000319314, 949.796
501, 0.443009, 0, 0, 0, 6.92035e-06, 1.93421e-05, 0, 0, 2.62625e-05, 0.000140262, 0.000122569, 0.814164, 0.964916, 0.000316617, 947.878
502, 0.443301, 0, 0, 0, 6.93894e-06, 1.94801e-05, 0, 0, 2.64191e-05, 0.000141581, 0.000123737, 0.813506, 0.964841, 0.000319389, 946.487
503, 0.443443, 0, 0, 0, 7.09967e-06, 2.00208e-05, 0, 0, 2.71206e-05, 0.000145836, 0.000127463, 0.813187, 0.964759, 0.000328889, 945.735
504, 0.443795, 0, 0, 0, 7.20353e-06, 2.03991e-05, 0, 0, 2.76027e-05, 0.000148904, 0.000130163, 0.812393, 0.964681, 0.000335544, 944.719
505, 0.444681, 0, 0, 0, 7.2239e-06, 2.05351e-05, 0, 0, 2.77591e-05, 0.000150195, 0.000131336, 0.810397, 0.964601, 0.000337761, 943.334
506, 0.445806, 0, 0, 0, 7.23157e-06, 2.06325e-05, 0, 0, 2.78641e-05, 0.000151194, 0.000132266, 0.807871, 0.964519, 0.000339131, 941.896
507, 0.446944, 0, 0, 0, 7.19588e-06, 2.06071e-05, 0, 0, 2.7803e-05, 0.000151291, 0.000132406, 0.805321, 0.964441, 0.000338477, 940.278
508, 0.448165, 0, 0, 0, 7.17278e-06, 2.06173e-05, 0, 0, 2.77901e-05, 0.000151651, 0.00013278, 0.802593, 0.96436, 0.000338363, 938.719
509, 0.449451, 0, 0, 0, 7.20314e-06, 2.07792e-05, 0, 0, 2.79823e-05, 0.000153126, 0.000134134, 0.799729, 0.96428, 0.000340688, 937.395
