case index 40 = {
los index, 0
num freq, 1001
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
2000, 0.345077, 4.44802e-07, 1.81322e-08, 0, 1.00747e-08, 2.22907e-07, 0, 0, 6.95915e-07, 1.93406e-05, 1.56135e-05, 1.06399, 0.934994, 5.60153e-05, 266.389
2001, 0.272351, 5.25426e-07, 1.90084e-08, 0, 7.52809e-09, 1.67775e-07, 0, 0, 7.19737e-07, 1.52403e-05, 1.16183e-05, 1.30066, 0.935065, 5.59066e-05, 266.613
2002, 0.210783, 6.01342e-07, 1.97004e-08, 0, 5.45971e-09, 1.22461e-07, 0, 0, 7.48964e-07, 1.17761e-05, 8.34456e-06, 1.55692, 0.935132, 5.58199e-05, 266.898
2003, 0.179234, 6.43964e-07, 2.00123e-08, 0, 4.42238e-09, 9.9073e-08, 0, 0, 7.67472e-07, 9.99567e-06, 6.66606e-06, 1.71906, 0.935198, 5.57476e-05, 267.032
2004, 0.172721, 6.53701e-07, 2.01734e-08, 0, 4.1882e-09, 9.30876e-08, 0, 0, 7.7115e-07, 9.61572e-06, 6.23829e-06, 1.75608, 0.935264, 5.56592e-05, 266.971
2005, 0.176169, 6.49859e-07, 2.05153e-08, 0, 4.2884e-09, 9.45772e-08, 0, 0, 7.6924e-07, 9.79147e-06, 6.34738e-06, 1.73631, 0.935331, 5.55687e-05, 266.838
2006, 0.206224, 6.1476e-07, 2.0642e-08, 0, 5.26193e-09, 1.14696e-07, 0, 0, 7.5536e-07, 1.14439e-05, 7.79932e-06, 1.57879, 0.935396, 5.5502e-05, 266.549
2007, 0.275126, 5.32396e-07, 2.01208e-08, 0, 7.49893e-09, 1.61341e-07, 0, 0, 7.21357e-07, 1.52461e-05, 1.11709e-05, 1.29053, 0.935462, 5.54381e-05, 265.985
2008, 0.360252, 4.3055e-07, 1.92265e-08, 0, 1.03274e-08, 2.20044e-07, 0, 0, 6.80148e-07, 1.99377e-05, 1.54445e-05, 1.02095, 0.935528, 5.53627e-05, 265.298
2009, 0.407306, 3.79348e-07, 1.87851e-08, 0, 1.19382e-08, 2.53265e-07, 0, 0, 6.63337e-07, 2.25161e-05, 1.78859e-05, 0.89819, 0.935594, 5.52825e-05, 264.945
2010, 0.376476, 4.18677e-07, 1.94324e-08, 0, 1.08504e-08, 2.30564e-07, 0, 0, 6.79524e-07, 2.0787e-05, 1.62353e-05, 0.976902, 0.93566, 5.52015e-05, 265.074
2011, 0.320823, 4.88967e-07, 2.02978e-08, 0, 8.87172e-09, 1.89647e-07, 0, 0, 7.07784e-07, 1.76879e-05, 1.32435e-05, 1.13687, 0.935726, 5.512e-05, 265.367
2012, 0.292112, 5.37616e-07, 2.06761e-08, 0, 7.85729e-09, 1.69172e-07, 0, 0, 7.35321e-07, 1.60791e-05, 1.17513e-05, 1.23062, 0.935792, 5.50335e-05, 265.636
2013, 0.286008, 5.63846e-07, 2.08023e-08, 0, 7.63956e-09, 1.65671e-07, 0, 0, 7.57959e-07, 1.57188e-05, 1.1501e-05, 1.25173, 0.935858, 5.49413e-05, 265.828
2014, 0.294341, 5.68414e-07, 2.08264e-08, 0, 7.88878e-09, 1.72149e-07, 0, 0, 7.69279e-07, 1.61526e-05, 1.19781e-05, 1.22302, 0.935924, 5.48598e-05, 265.867
2015, 0.30808, 5.61097e-07, 2.08903e-08, 0, 8.30334e-09, 1.82207e-07, 0, 0, 7.72497e-07, 1.68824e-05, 1.27183e-05, 1.1774, 0.93599, 5.4792e-05, 265.801
2016, 0.315643, 5.59532e-07, 2.12017e-08, 0, 8.50401e-09, 1.87958e-07, 0, 0, 7.77196e-07, 1.72717e-05, 1.31388e-05, 1.15314, 0.936056, 5.47197e-05, 265.754
2017, 0.328739, 5.50876e-07, 2.13941e-08, 0, 8.92675e-09, 1.97973e-07, 0, 0, 7.79169e-07, 1.796e-05, 1.38889e-05, 1.11249, 0.936122, 5.46407e-05, 265.672
2018, 0.362559, 5.16598e-07, 2.11032e-08, 0, 1.00862e-08, 2.2297e-07, 0, 0, 7.70757e-07, 1.97775e-05, 1.57661e-05, 1.01457, 0.936188, 5.45614e-05, 265.457
2019, 0.406454, 4.72558e-07, 2.06613e-08, 0, 1.15692e-08, 2.55243e-07, 0, 0, 7.60032e-07, 2.21405e-05, 1.81761e-05, 0.900285, 0.936254, 5.44824e-05, 265.212
2020, 0.448821, 4.33208e-07, 2.02644e-08, 0, 1.30158e-08, 2.86665e-07, 0, 0, 7.53152e-07, 2.44137e-05, 2.0521e-05, 0.801132, 0.93632, 5.4403e-05, 265.015
2021, 0.493483, 3.91399e-07, 1.9681e-08, 0, 1.46501e-08, 3.20295e-07, 0, 0, 7.46026e-07, 2.68046e-05, 2.3062e-05, 0.706266, 0.936386, 5.43251e-05, 264.815
2022, 0.544519, 3.44086e-07, 1.88358e-08, 0, 1.65806e-08, 3.5909e-07, 0, 0, 7.38593e-07, 2.95355e-05, 2.60158e-05, 0.607852, 0.936452, 5.42488e-05, 264.61
2023, 0.589243, 3.04959e-07, 1.8134e-08, 0, 1.82151e-08, 3.92767e-07, 0, 0, 7.34076e-07, 3.19171e-05, 2.85685e-05, 0.528917, 0.936518, 5.41722e-05, 264.443
2024, 0.630939, 2.66816e-07, 1.74056e-08, 0, 1.97248e-08, 4.23629e-07, 0, 0, 7.27576e-07, 3.41266e-05, 3.09138e-05, 0.460545, 0.936584, 5.40948e-05, 264.249
2025, 0.677118, 2.2354e-07, 1.64031e-08, 0, 2.14852e-08, 4.57974e-07, 0, 0, 7.19402e-07, 3.65717e-05, 3.35494e-05, 0.38991, 0.936651, 5.40168e-05, 264.032
2026, 0.717534, 1.88574e-07, 1.54866e-08, 0, 2.30689e-08, 4.88074e-07, 0, 0, 7.15204e-07, 3.86998e-05, 3.58665e-05, 0.331935, 0.936716, 5.39383e-05, 263.868
