case index 14 = {
los index, 0
num freq, 2201
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
800, 0.648525, 3.86e-23, 2.77318e-23, 0, 2.79279e-06, 1.59018e-05, 0, 0, 1.86945e-05, 0.000216942, 0.000192083, 0.433055, 0.897668, 0.000334517, 635.586
801, 0.647683, 4.20353e-23, 2.9877e-23, 0, 2.77205e-06, 1.5825e-05, 0, 0, 1.85971e-05, 0.000216407, 0.000191543, 0.434355, 0.897534, 0.000334128, 634.815
802, 0.647956, 4.53978e-23, 3.2169e-23, 0, 2.75359e-06, 1.57528e-05, 0, 0, 1.85064e-05, 0.000215869, 0.000191083, 0.433932, 0.8974, 0.000333161, 634.054
803, 0.64885, 4.8815e-23, 3.46244e-23, 0, 2.73624e-06, 1.56801e-05, 0, 0, 1.84163e-05, 0.000215285, 0.000190635, 0.432554, 0.897266, 0.000331807, 633.295
804, 0.650429, 5.22101e-23, 3.72508e-23, 0, 2.72867e-06, 1.56553e-05, 0, 0, 1.8384e-05, 0.000215319, 0.000190793, 0.430123, 0.897134, 0.000331053, 632.607
805, 0.652828, 5.55063e-23, 4.0056e-23, 0, 2.73292e-06, 1.56904e-05, 0, 0, 1.84233e-05, 0.000216127, 0.000191704, 0.426442, 0.897, 0.000331068, 632.008
806, 0.654875, 5.91892e-23, 4.30708e-23, 0, 2.73147e-06, 1.56961e-05, 0, 0, 1.84276e-05, 0.000216551, 0.000192244, 0.423311, 0.896867, 0.000330678, 631.367
807, 0.655596, 6.37139e-23, 4.63284e-23, 0, 2.71694e-06, 1.5639e-05, 0, 0, 1.83559e-05, 0.000216181, 0.000191975, 0.422211, 0.896733, 0.000329749, 630.636
808, 0.655232, 6.91086e-23, 4.98494e-23, 0, 2.69549e-06, 1.55516e-05, 0, 0, 1.82471e-05, 0.000215453, 0.000191301, 0.422766, 0.8966, 0.000328824, 629.861
809, 0.654032, 7.54148e-23, 5.36411e-23, 0, 2.66872e-06, 1.54407e-05, 0, 0, 1.81094e-05, 0.000214438, 0.000190307, 0.424599, 0.896466, 0.000327878, 629.052
810, 0.652141, 8.27552e-23, 5.77217e-23, 0, 2.6418e-06, 1.53336e-05, 0, 0, 1.79753e-05, 0.000213505, 0.000189333, 0.427495, 0.896333, 0.000327402, 628.247
811, 0.648802, 9.19006e-23, 6.21462e-23, 0, 2.61078e-06, 1.52105e-05, 0, 0, 1.78213e-05, 0.000212411, 0.000188116, 0.432627, 0.8962, 0.000327396, 627.419
812, 0.642119, 1.04835e-22, 6.70246e-23, 0, 2.56028e-06, 1.49881e-05, 0, 0, 1.75484e-05, 0.000210058, 0.000185581, 0.442982, 0.896067, 0.000327135, 626.441
813, 0.629906, 1.2432e-22, 7.25125e-23, 0, 2.48172e-06, 1.46185e-05, 0, 0, 1.71003e-05, 0.000205836, 0.000181097, 0.462185, 0.895933, 0.000326766, 625.234
814, 0.613707, 1.50326e-22, 7.86041e-23, 0, 2.38491e-06, 1.41462e-05, 0, 0, 1.65311e-05, 0.00020026, 0.000175263, 0.488237, 0.895799, 0.000326296, 623.856
815, 0.596406, 1.82588e-22, 8.52289e-23, 0, 2.28676e-06, 1.36494e-05, 0, 0, 1.59361e-05, 0.000194231, 0.000169144, 0.516833, 0.895666, 0.000325653, 622.42
816, 0.581577, 2.17756e-22, 9.22369e-23, 0, 2.20451e-06, 1.32188e-05, 0, 0, 1.54233e-05, 0.000188886, 0.000163945, 0.542011, 0.895533, 0.000324792, 621.075
