case index 0 = {
los index, 0
num freq, 2501
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
500, 0.442542, 0, 0, 0, 1.20918, 0.726132, 0, 0, 1.93531, 87.6693, 2.64481, 0.815221, 0.964979, 198.109, 1506.68
501, 0.443009, 0, 0, 0, 1.18407, 0.714138, 0, 0, 1.89821, 86.7728, 2.63055, 0.814164, 0.964916, 195.875, 1502.93
502, 0.443301, 0, 0, 0, 1.17761, 0.713678, 0, 0, 1.89129, 87.3245, 2.65572, 0.813506, 0.964841, 196.992, 1500.43
503, 0.443443, 0, 0, 0, 1.19499, 0.727945, 0, 0, 1.92293, 89.6799, 2.73202, 0.813187, 0.964759, 202.246, 1499.54
504, 0.443795, 0, 0, 0, 1.20436, 0.736965, 0, 0, 1.94133, 91.3003, 2.79183, 0.812393, 0.964681, 205.739, 1498.09
505, 0.444681, 0, 0, 0, 1.20276, 0.73836, 0, 0, 1.94113, 91.8205, 2.83279, 0.810397, 0.964601, 206.49, 1495.89
506, 0.445806, 0, 0, 0, 1.20129, 0.739443, 0, 0, 1.94073, 92.16, 2.87469, 0.807871, 0.964519, 206.719, 1493.69
507, 0.446944, 0, 0, 0, 1.19346, 0.73666, 0, 0, 1.93012, 91.9499, 2.89943, 0.805321, 0.964441, 205.718, 1491.09
508, 0.448165, 0, 0, 0, 1.18801, 0.735265, 0, 0, 1.92328, 91.8963, 2.93113, 0.802593, 0.96436, 205.04, 1488.65
509, 0.449451, 0, 0, 0, 1.19149, 0.739227, 0, 0, 1.93072, 92.5183, 2.98642, 0.799729, 0.96428, 205.844, 1486.8
510, 0.450697, 0, 0, 0, 1.18851, 0.739177, 0, 0, 1.9277, 92.6556, 3.02559, 0.796961, 0.964201, 205.588, 1484.52
511, 0.451852, 0, 0, 0, 1.1756, 0.73306, 0, 0, 1.90866, 92.0603, 3.03892, 0.794402, 0.964118, 203.745, 1481.61
512, 0.452895, 0, 0, 0, 1.1579, 0.724077, 0, 0, 1.88197, 91.1475, 3.03839, 0.792095, 0.964041, 201.261, 1478.38
513, 0.453851, 0, 0, 0, 1.13885, 0.714345, 0, 0, 1.8532, 90.177, 3.0334, 0.789986, 0.963961, 198.696, 1475.06
514, 0.454752, 0, 0, 0, 1.13229, 0.712488, 0, 0, 1.84478, 90.2186, 3.0609, 0.788002, 0.96388, 198.389, 1472.59
515, 0.455606, 0, 0, 0, 1.11985, 0.706874, 0, 0, 1.82672, 89.7877, 3.07025, 0.786126, 0.963799, 197.081, 1469.72
516, 0.456437, 0, 0, 0, 1.06794, 0.676202, 0, 0, 1.74414, 86.1617, 2.96833, 0.784305, 0.963719, 188.794, 1464.06
517, 0.457243, 0, 0, 0, 1.00085, 0.635834, 0, 0, 1.63669, 81.3013, 2.82276, 0.782541, 0.963639, 177.823, 1457.1
518, 0.458003, 0, 0, 0, 0.989321, 0.630765, 0, 0, 1.62008, 80.9759, 2.83354, 0.780879, 0.963561, 176.792, 1454.25
519, 0.458735, 0, 0, 0, 1.03527, 0.662356, 0, 0, 1.69763, 85.372, 3.00896, 0.779282, 0.96348, 186.081, 1455.75
520, 0.459462, 0, 0, 0, 1.0858, 0.696968, 0, 0, 1.78277, 90.174, 3.19958, 0.777699, 0.9634, 196.245, 1457.43
521, 0.460151, 0, 0, 0, 1.11237, 0.716422, 0, 0, 1.82879, 93.0583, 3.32304, 0.7762, 0.963321, 202.227, 1457.33
522, 0.460757, 0, 0, 0, 1.12341, 0.726091, 0, 0, 1.8495, 94.7355, 3.40229, 0.774885, 0.963241, 205.605, 1456.14
523, 0.461247, 0, 0, 0, 1.12003, 0.72663, 0, 0, 1.84667, 95.294, 3.43857, 0.773821, 0.96316, 206.6, 1453.97
524, 0.461635, 0, 0, 0, 1.10884, 0.7222, 0, 0, 1.83104, 95.2663, 3.45094, 0.772982, 0.963064, 206.367, 1451.28
525, 0.461981, 0, 0, 0, 1.08775, 0.711203, 0, 0, 1.79896, 94.3991, 3.4315, 0.772231, 0.962932, 204.337, 1447.89
526, 0.462346, 0, 0, 0, 1.04998, 0.689103, 0, 0, 1.73908, 92.0333, 3.35777, 0.771441, 0.962743, 199.06, 1443.28
527, 0.462746, 0, 0, 0, 1.02264, 0.673788, 0, 0, 1.69643, 90.5382, 3.31686, 0.770577, 0.962517, 195.652, 1439.38
528, 0.463171, 0, 0, 0, 1.03304, 0.683261, 0, 0, 1.7163, 92.3426, 3.39761, 0.76966, 0.962281, 199.363, 1438.25
529, 0.46362, 0, 0, 0, 1.04909, 0.696388, 0, 0, 1.74548, 94.6158, 3.49639, 0.768689, 0.962039, 204.076, 1437.53
530, 0.464107, 0, 0, 0, 1.0501, 0.699525, 0, 0, 1.74963, 95.5177, 3.54614, 0.76764, 0.9618, 205.809, 1435.72
531, 0.464651, 0, 0, 0, 1.04303, 0.697179, 0, 0, 1.74021, 95.6356, 3.56878, 0.766469, 0.961561, 205.825, 1433.32
532, 0.465285, 0, 0, 0, 1.02253, 0.685651, 0, 0, 1.70818, 94.4262, 3.54446, 0.765105, 0.96132, 202.949, 1429.93
533, 0.466047, 0, 0, 0, 1.00366, 0.675044, 0, 0, 1.6787, 93.262, 3.52611, 0.76347, 0.96108, 200.113, 1426.64
534, 0.466943, 0, 0, 0, 1.00884, 0.680406, 0, 0, 1.68925, 94.2169, 3.59226, 0.761549, 0.960839, 201.766, 1425.15
535, 0.467929, 0, 0, 0, 1.01972, 0.689455, 0, 0, 1.70918, 95.6185, 3.67826, 0.759439, 0.960599, 204.342, 1424.07
536, 0.468917, 0, 0, 0, 1.0088, 0.683722, 0, 0, 1.69252, 94.9593, 3.68498, 0.757329, 0.960359, 202.518, 1421.38
537, 0.469825, 0, 0, 0, 0.983405, 0.668278, 0, 0, 1.65168, 92.9941, 3.63889, 0.755394, 0.960121, 197.942, 1417.6
538, 0.470611, 0, 0, 0, 0.974787, 0.664358, 0, 0, 1.63914, 92.6945, 3.6541, 0.753723, 0.959881, 196.966, 1415.09
539, 0.471273, 0, 0, 0, 0.969405, 0.662721, 0, 0, 1.63213, 92.7567, 3.6788, 0.752319, 0.95964, 196.822, 1412.84
540, 0.471797, 0, 0, 0, 0.952581, 0.653431, 0, 0, 1.60602, 91.7887, 3.65826, 0.751207, 0.959401, 194.552, 1409.71
541, 0.472217, 0, 0, 0, 0.941631, 0.648287, 0, 0, 1.58992, 91.4561, 3.65978, 0.750316, 0.959161, 193.673, 1407.04
542, 0.472698, 0, 0, 0, 0.940407, 0.649637, 0, 0, 1.59005, 92.0544, 3.70054, 0.749298, 0.958921, 194.743, 1405.14
543, 0.47329, 0, 0, 0, 0.937303, 0.649469, 0, 0, 1.58677, 92.4134, 3.73565, 0.748048, 0.95868, 195.258, 1403.08
544, 0.473904, 0, 0, 0, 0.938463, 0.652263, 0, 0, 1.59073, 93.1762, 3.78832, 0.746751, 0.958439, 196.611, 1401.37
545, 0.47451, 0, 0, 0, 0.947231, 0.660386, 0, 0, 1.60762, 94.6841, 3.87129, 0.745472, 0.9582, 199.537, 1400.27
