case index 68 = {
los index, 0
num freq, 2201
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
800, 0.515341, 5.52782e-23, 5.42041e-23, 0, 0.73075, 0.901216, 0, 0, 1.63196, 60.8774, 58.2795, 0.662926, 0.897668, 118.131, 1063
801, 0.51435, 6.01808e-23, 5.8391e-23, 0, 0.723887, 0.896076, 0, 0, 1.61996, 60.6526, 58.0569, 0.664852, 0.897534, 117.922, 1061.6
802, 0.514652, 6.50012e-23, 6.28858e-23, 0, 0.71855, 0.891822, 0, 0, 1.61037, 60.4808, 57.8939, 0.664264, 0.8974, 117.521, 1060.29
803, 0.515706, 6.99101e-23, 6.77141e-23, 0, 0.714194, 0.887917, 0, 0, 1.60211, 60.3283, 57.7554, 0.662218, 0.897266, 116.989, 1059.04
804, 0.517607, 7.48005e-23, 7.29011e-23, 0, 0.713255, 0.887145, 0, 0, 1.6004, 60.3847, 57.8235, 0.658539, 0.897134, 116.667, 1058.05
805, 0.520499, 7.95704e-23, 7.847e-23, 0, 0.71625, 0.890209, 0, 0, 1.60646, 60.698, 58.1446, 0.652968, 0.897, 116.618, 1057.36
806, 0.522967, 8.48911e-23, 8.44467e-23, 0, 0.717369, 0.891416, 0, 0, 1.60879, 60.886, 58.3424, 0.648237, 0.896867, 116.426, 1056.52
807, 0.52384, 9.13918e-23, 9.08622e-23, 0, 0.71373, 0.888339, 0, 0, 1.60207, 60.7881, 58.2552, 0.646569, 0.896733, 116.045, 1055.34
808, 0.523404, 9.91132e-23, 9.77503e-23, 0, 0.707199, 0.882973, 0, 0, 1.59017, 60.5384, 58.0129, 0.647402, 0.8966, 115.665, 1053.96
809, 0.521966, 1.08113e-22, 1.05144e-22, 0, 0.69848, 0.875831, 0, 0, 1.57431, 60.1691, 57.6494, 0.650153, 0.896466, 115.278, 1052.41
810, 0.519712, 1.18558e-22, 1.13085e-22, 0, 0.689181, 0.868577, 0, 0, 1.55776, 59.7934, 57.2742, 0.65448, 0.896333, 115.056, 1050.84
811, 0.515806, 1.31483e-22, 1.21625e-22, 0, 0.677909, 0.859803, 0, 0, 1.53771, 59.3163, 56.7912, 0.662024, 0.8962, 115, 1049.12
812, 0.508264, 1.49479e-22, 1.30843e-22, 0, 0.659992, 0.844215, 0, 0, 1.50421, 58.3768, 55.8458, 0.676754, 0.896067, 114.855, 1046.85
813, 0.494955, 1.7608e-22, 1.40841e-22, 0, 0.632881, 0.818675, 0, 0, 1.45156, 56.7598, 54.2246, 0.703289, 0.895933, 114.672, 1043.74
814, 0.477813, 2.10991e-22, 1.5162e-22, 0, 0.600453, 0.7866, 0, 0, 1.38705, 54.6918, 52.1582, 0.738537, 0.895799, 114.454, 1040.05
815, 0.460447, 2.532e-22, 1.63068e-22, 0, 0.569194, 0.754052, 0, 0, 1.32324, 52.5755, 50.0583, 0.775558, 0.895666, 114.175, 1036.28
816, 0.446596, 2.98184e-22, 1.7511e-22, 0, 0.544759, 0.727199, 0, 0, 1.27196, 50.8299, 48.344, 0.806101, 0.895533, 113.82, 1032.98
817, 0.442668, 3.30111e-22, 1.87913e-22, 0, 0.533883, 0.714825, 0, 0, 1.24871, 50.0661, 47.6077, 0.814935, 0.8954, 113.152, 1030.97
818, 0.448359, 3.45348e-22, 2.01672e-22, 0, 0.533756, 0.714066, 0, 0, 1.24782, 50.093, 47.6588, 0.802161, 0.895266, 111.88, 1030.04
819, 0.459634, 3.50397e-22, 2.1638e-22, 0, 0.542104, 0.722204, 0, 0, 1.26431, 50.7291, 48.3178, 0.777325, 0.895133, 110.62, 1029.94
820, 0.475991, 3.42829e-22, 2.32144e-22, 0, 0.562703, 0.744164, 0, 0, 1.30687, 52.3237, 49.9175, 0.742357, 0.895, 110.165, 1031.06
821, 0.486761, 3.47448e-22, 2.49194e-22, 0, 0.577457, 0.760543, 0, 0, 1.338, 53.5399, 51.1313, 0.719982, 0.894867, 110.184, 1031.6
822, 0.471666, 4.16611e-22, 2.67764e-22, 0, 0.555846, 0.738678, 0, 0, 1.29452, 52.1269, 49.7207, 0.751485, 0.894733, 110.722, 1028.71
823, 0.451208, 4.99199e-22, 2.8762e-22, 0, 0.52801, 0.710643, 0, 0, 1.23865, 50.295, 47.8875, 0.795828, 0.8946, 111.601, 1025.17
824, 0.464874, 4.92609e-22, 3.08272e-22, 0, 0.547592, 0.732968, 0, 0, 1.28056, 51.9369, 49.5195, 0.765988, 0.894467, 111.786, 1026.29
825, 0.490238, 4.57573e-22, 3.30141e-22, 0, 0.582219, 0.770691, 0, 0, 1.35291, 54.6377, 52.2133, 0.712865, 0.894333, 111.489, 1028.74
826, 0.497803, 4.72852e-22, 3.53925e-22, 0, 0.59061, 0.780699, 0, 0, 1.37131, 55.4254, 52.9989, 0.697551, 0.894199, 111.357, 1028.68
827, 0.492359, 5.29665e-22, 3.79706e-22, 0, 0.579857, 0.770536, 0, 0, 1.35039, 54.8174, 52.3912, 0.708548, 0.894065, 111.339, 1026.87
828, 0.483944, 6.01369e-22, 4.07306e-22, 0, 0.564229, 0.754703, 0, 0, 1.31893, 53.811, 51.3923, 0.725786, 0.893933, 111.191, 1024.57
829, 0.483846, 6.45598e-22, 4.36563e-22, 0, 0.560751, 0.751524, 0, 0, 1.31228, 53.6828, 51.2724, 0.725988, 0.8938, 110.953, 1023.39
830, 0.4909, 6.6331e-22, 4.67674e-22, 0, 0.567448, 0.75936, 0, 0, 1.32681, 54.3219, 51.9169, 0.711514, 0.893667, 110.665, 1023.19
831, 0.497304, 6.86203e-22, 5.0089e-22, 0, 0.571714, 0.764321, 0, 0, 1.33603, 54.7561, 52.3631, 0.698553, 0.893534, 110.126, 1022.74
832, 0.50162, 7.19279e-22, 5.36359e-22, 0, 0.569827, 0.761676, 0, 0, 1.3315, 54.6508, 52.285, 0.689912, 0.893399, 108.998, 1021.67
833, 0.508313, 7.38893e-22, 5.74008e-22, 0, 0.571143, 0.762767, 0, 0, 1.33391, 54.8112, 52.4693, 0.676659, 0.893267, 107.881, 1020.91
834, 0.517034, 7.48284e-22, 6.14014e-22, 0, 0.581123, 0.774549, 0, 0, 1.35567, 55.7361, 53.3946, 0.659646, 0.893134, 107.821, 1021.03
835, 0.52438, 7.67173e-22, 6.56755e-22, 0, 0.59205, 0.787403, 0, 0, 1.37945, 56.74, 54.3944, 0.645539, 0.893001, 108.219, 1021.22
836, 0.528801, 8.02491e-22, 7.0259e-22, 0, 0.596692, 0.792935, 0, 0, 1.38963, 57.2254, 54.8849, 0.637143, 0.892868, 108.231, 1020.8
837, 0.532183, 8.44531e-22, 7.51571e-22, 0, 0.597679, 0.793901, 0, 0, 1.39158, 57.385, 55.0586, 0.630768, 0.892733, 107.832, 1020.03
838, 0.535563, 8.88535e-22, 8.03791e-22, 0, 0.596443, 0.791857, 0, 0, 1.3883, 57.3269, 55.0234, 0.624436, 0.892599, 107.024, 1019.03
839, 0.538587, 9.37294e-22, 8.59535e-22, 0, 0.595119, 0.789772, 0, 0, 1.38489, 57.2671, 54.9848, 0.618807, 0.892467, 106.298, 1018.03
840, 0.540419, 9.96594e-22, 9.19175e-22, 0, 0.595723, 0.791038, 0, 0, 1.38676, 57.4543, 55.1757, 0.615411, 0.892334, 106.3, 1017.26
841, 0.541375, 1.06455e-21, 9.8292e-22, 0, 0.594443, 0.790423, 0, 0, 1.38487, 57.5076, 55.2324, 0.613643, 0.892201, 106.234, 1016.32
842, 0.54297, 1.13226e-21, 1.05085e-21, 0, 0.592389, 0.78814, 0, 0, 1.38053, 57.4368, 55.1745, 0.610701, 0.892067, 105.797, 1015.29
843, 0.544636, 1.20436e-21, 1.12328e-21, 0, 0.589728, 0.784969, 0, 0, 1.3747, 57.2999, 55.0538, 0.607638, 0.891933, 105.216, 1014.18
844, 0.545876, 1.2838e-21, 1.20055e-21, 0, 0.587242, 0.782409, 0, 0, 1.36965, 57.2099, 54.9755, 0.605363, 0.8918, 104.804, 1013.12
845, 0.547496, 1.36503e-21, 1.28283e-21, 0, 0.588963, 0.785089, 0, 0, 1.37405, 57.5009, 55.2656, 0.6024, 0.891666, 105.023, 1012.47
846, 0.548979, 1.45282e-21, 1.37055e-21, 0, 0.58778, 0.783995, 0, 0, 1.37177, 57.5148, 55.2882, 0.599696, 0.891533, 104.77, 1011.53
847, 0.549848, 1.55163e-21, 1.46415e-21, 0, 0.583187, 0.778915, 0, 0, 1.3621, 57.239, 55.0283, 0.598113, 0.8914, 104.105, 1010.26
848, 0.55019, 1.6618e-21, 1.56399e-21, 0, 0.579624, 0.775663, 0, 0, 1.35529, 57.0979, 54.8947, 0.597491, 0.891265, 103.784, 1009.12
849, 0.550416, 1.78032e-21, 1.67036e-21, 0, 0.566524, 0.759671, 0, 0, 1.3262, 56.0151, 53.8547, 0.59708, 0.891119, 101.779, 1006.99
850, 0.550636, 1.9073e-21, 1.78363e-21, 0, 0.550256, 0.739388, 0, 0, 1.28964, 54.6155, 52.5102, 0.596681, 0.890938, 99.2012, 1004.49
851, 0.550645, 2.04535e-21, 1.9043e-21, 0, 0.552777, 0.744444, 0, 0, 1.29722, 55.0874, 52.9642, 0.596665, 0.890706, 100.055, 1004.01
852, 0.551063, 2.18706e-21, 2.03267e-21, 0, 0.559322, 0.754455, 0, 0, 1.31378, 55.9203, 53.7679, 0.595907, 0.890439, 101.486, 1003.93
853, 0.552008, 2.33187e-21, 2.16918e-21, 0, 0.541032, 0.730465, 0, 0, 1.2715, 54.2262, 52.1445, 0.594193, 0.89016, 98.2427, 1001.16
854, 0.552847, 2.48816e-21, 2.31446e-21, 0, 0.505757, 0.683655, 0, 0, 1.18941, 50.837, 48.8904, 0.592675, 0.88988, 91.9565, 996.387
855, 0.553736, 2.6536e-21, 2.46904e-21, 0, 0.506058, 0.684959, 0, 0, 1.19102, 51.0283, 49.0797, 0.591067, 0.8896, 92.1418, 995.646
856, 0.554719, 2.8283e-21, 2.63359e-21, 0, 0.54055, 0.732424, 0, 0, 1.27297, 54.655, 52.5739, 0.589293, 0.88932, 98.5161, 998.76
857, 0.555574, 3.01659e-21, 2.80869e-21, 0, 0.561866, 0.762175, 0, 0, 1.32404, 56.9639, 54.8002, 0.587753, 0.889039, 102.528, 1000.28
858, 0.556373, 3.21787e-21, 2.99487e-21, 0, 0.564544, 0.76675, 0, 0, 1.33129, 57.3976, 55.2225, 0.586316, 0.888759, 103.164, 999.787
859, 0.557195, 3.43175e-21, 3.19294e-21, 0, 0.559142, 0.760339, 0, 0, 1.31948, 57.0101, 54.855, 0.58484, 0.88848, 102.319, 998.439
860, 0.557985, 3.66011e-21, 3.40373e-21, 0, 0.552581, 0.752379, 0, 0, 1.30496, 56.5059, 54.3751, 0.583424, 0.8882, 101.27, 996.966
861, 0.558708, 3.90456e-21, 3.62798e-21, 0, 0.55094, 0.751177, 0, 0, 1.30212, 56.5085, 54.3828, 0.582128, 0.88792, 101.142, 996.024
862, 0.559354, 4.1664e-21, 3.86633e-21, 0, 0.552504, 0.754409, 0, 0, 1.30691, 56.8442, 54.711, 0.580972, 0.88764, 101.624, 995.431
863, 0.559988, 4.44547e-21, 4.1196e-21, 0, 0.552481, 0.755472, 0, 0, 1.30796, 57.0172, 54.8817, 0.579841, 0.88736, 101.819, 994.669
864, 0.560641, 4.74225e-21, 4.38887e-21, 0, 0.546104, 0.747799, 0, 0, 1.2939, 56.529, 54.4153, 0.578675, 0.88708, 100.832, 993.22
865, 0.561266, 5.0588e-21, 4.67508e-21, 0, 0.523417, 0.717733, 0, 0, 1.24115, 54.3411, 52.3127, 0.577561, 0.8868, 96.8259, 989.956
866, 0.56185, 5.39644e-21, 4.97924e-21, 0, 0.489544, 0.672299, 0, 0, 1.16184, 50.985, 49.0853, 0.576521, 0.88652, 90.7505, 985.279
867, 0.562419, 5.75596e-21, 5.30241e-21, 0, 0.484303, 0.666189, 0, 0, 1.15049, 50.6115, 48.7293, 0.575508, 0.886239, 89.9855, 983.907
868, 0.562975, 6.13858e-21, 5.64561e-21, 0, 0.506833, 0.69824, 0, 0, 1.20507, 53.1336, 51.1611, 0.57452, 0.88596, 94.3749, 985.819
869, 0.563507, 6.54587e-21, 6.00994e-21, 0, 0.521961, 0.720141, 0, 0, 1.2421, 54.8866, 52.8525, 0.573575, 0.885679, 97.3989, 986.799
870, 0.564037, 6.97931e-21, 6.39695e-21, 0, 0.529606, 0.731791, 0, 0, 1.2614, 55.8646, 53.7973, 0.572635, 0.885401, 99.0423, 986.91
871, 0.564577, 7.4402e-21, 6.80811e-21, 0, 0.533805, 0.738686, 0, 0, 1.27249, 56.4818, 54.3945, 0.571679, 0.885119, 100.042, 986.63
872, 0.565119, 7.93034e-21, 7.24444e-21, 0, 0.533358, 0.739158, 0, 0, 1.27252, 56.6087, 54.5197, 0.57072, 0.884839, 100.172, 985.838
873, 0.565635, 8.45261e-21, 7.70732e-21, 0, 0.529955, 0.73555, 0, 0, 1.26551, 56.4229, 54.3435, 0.569807, 0.884562, 99.7521, 984.721
874, 0.566123, 9.00891e-21, 8.19875e-21, 0, 0.523127, 0.727201, 0, 0, 1.25033, 55.8717, 53.8156, 0.568945, 0.884296, 98.6933, 983.221
875, 0.566597, 9.6005e-21, 8.72083e-21, 0, 0.514541, 0.716428, 0, 0, 1.23097, 55.1327, 53.1069, 0.568107, 0.884067, 97.3063, 981.518
876, 0.567046, 1.02307e-20, 9.27548e-21, 0, 0.511273, 0.713118, 0, 0, 1.22439, 54.9674, 52.9504, 0.567316, 0.883896, 96.9366, 980.419
877, 0.567428, 1.09051e-20, 9.86422e-21, 0, 0.512212, 0.715743, 0, 0, 1.22796, 55.2587, 53.2334, 0.566642, 0.883763, 97.3847, 979.804
878, 0.567729, 1.16272e-20, 1.04884e-20, 0, 0.512701, 0.717824, 0, 0, 1.23052, 55.5085, 53.4758, 0.56611, 0.88364, 97.7731, 979.144
879, 0.568054, 1.23916e-20, 1.115e-20, 0, 0.511046, 0.716862, 0, 0, 1.22791, 55.522, 53.4911, 0.565539, 0.88352, 97.7421, 978.238
880, 0.568336, 1.32058e-20, 1.18508e-20, 0, 0.503577, 0.707743, 0, 0, 1.21132, 54.902, 52.8963, 0.565043, 0.883401, 96.6045, 976.664
881, 0.568451, 1.40825e-20, 1.25937e-20, 0, 0.497158, 0.700231, 0, 0, 1.19739, 54.4069, 52.4218, 0.56484, 0.88328, 95.7146, 975.213
