case index 2 = {
los index, 0
num freq, 9788
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
212.5, 2.90332e-35, 0, 0, 0, 5.83015e-34, 0, 0, 0, 5.83015e-34, 8.05151e-35, 0, 79.5246, 0.973626, 2.72158, 672.544
213.5, 4.10115e-35, 0, 0, 0, 7.93735e-34, 0, 0, 0, 7.93735e-34, 1.19119e-34, 0, 79.1792, 0.973596, 2.85388, 671.62
214.5, 5.4898e-35, 0, 0, 0, 1.00665e-33, 0, 0, 0, 1.00665e-33, 1.63685e-34, 0, 78.8876, 0.973565, 2.96174, 670.244
215.5, 6.83262e-35, 0, 0, 0, 1.15129e-33, 0, 0, 0, 1.15129e-33, 2.03239e-34, 0, 78.6688, 0.97353, 2.9779, 668.194
216.5, 7.82394e-35, 0, 0, 0, 1.19813e-33, 0, 0, 0, 1.19813e-33, 2.31255e-34, 0, 78.5333, 0.973503, 2.95986, 665.535
217.5, 8.22426e-35, 0, 0, 0, 1.17839e-33, 0, 0, 0, 1.17839e-33, 2.50171e-34, 0, 78.4834, 0.973476, 3.04369, 662.524
218.5, 7.89891e-35, 0, 0, 0, 1.08086e-33, 0, 0, 0, 1.08086e-33, 2.51488e-34, 0, 78.5238, 0.973448, 3.18234, 659.079
219.5, 6.85635e-35, 0, 0, 0, 8.65829e-34, 0, 0, 0, 8.65829e-34, 2.20132e-34, 0, 78.6653, 0.973413, 3.1749, 654.775
220.5, 5.27318e-35, 0, 0, 0, 5.83401e-34, 0, 0, 0, 5.83401e-34, 1.62601e-34, 0, 78.9278, 0.973385, 3.0159, 649.393
221.5, 3.51536e-35, 0, 0, 0, 3.32897e-34, 0, 0, 0, 3.32897e-34, 1.03028e-34, 0, 79.3333, 0.973352, 2.94539, 643.014
222.5, 2.01364e-35, 0, 0, 0, 1.69798e-34, 0, 0, 0, 1.69798e-34, 5.93071e-35, 0, 79.8905, 0.973323, 3.12121, 636.024
223.5, 9.88725e-36, 0, 0, 0, 7.87675e-35, 0, 0, 0, 7.87675e-35, 3.11366e-35, 0, 80.6018, 0.973296, 3.33251, 628.564
224.5, 4.1396e-36, 0, 0, 0, 3.1186e-35, 0, 0, 0, 3.1186e-35, 1.38836e-35, 0, 81.4725, 0.973265, 3.29696, 620.281
225.5, 1.47672e-36, 0, 0, 0, 9.87752e-36, 0, 0, 0, 9.87752e-36, 4.96178e-36, 0, 82.5032, 0.973236, 3.08705, 610.856
226.5, 4.50993e-37, 0, 0, 0, 2.48535e-36, 0, 0, 0, 2.48535e-36, 1.42823e-36, 0, 83.6894, 0.973205, 2.97155, 600.345
227.5, 1.17421e-37, 0, 0, 0, 5.11725e-37, 0, 0, 0, 5.11725e-37, 3.39589e-37, 0, 85.0351, 0.973176, 3.00797, 589.013
228.5, 2.58979e-38, 0, 0, 0, 8.30196e-38, 0, 0, 0, 8.30196e-38, 6.18843e-38, 0, 86.5467, 0.973144, 3.07991, 576.749
229.5, 4.90299e-39, 0, 0, 0, 9.04084e-39, 0, 0, 0, 9.04084e-39, 7.15784e-39, 0, 88.211, 0.973116, 3.08925, 562.549
230.5, 8.12166e-40, 0, 0, 0, 5.47356e-40, 0, 0, 0, 5.47356e-40, 4.39052e-40, 0, 90.0089, 0.973084, 3.01012, -99
231.5, 1.17391e-40, 0, 0, 0, 1.59145e-41, 0, 0, 0, 1.59145e-41, 1.26355e-41, 0, 91.9431, 0.973056, 2.84867, -99
232.5, 1.37832e-41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94.0851, 0.973025, 2.73709, -99
233.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972997, 2.75131, -99
234.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972966, 2.8856, -99
235.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972934, 3.08669, -99
236.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972909, 3.12579, -99
237.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972872, 3.00333, -99
238.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972847, 2.9342, -99
239.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972816, 2.99532, -99
240.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972789, 3.22126, -99
241.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972757, 3.93839, -99
242.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972721, 5.08627, -99
243.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972694, 6.229, -99
244.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972663, 7.16461, -99
245.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972634, 7.75182, -99
246.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972601, 7.97011, -99
247.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972574, 7.73124, -99
248.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972544, 7.35331, -99
249.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972515, 7.47152, -99
250.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972484, 7.3845, -99
