case index 19 = {
los index, 0
num freq, 9788
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
212.5, 1.22914e-23, 0, 0, 0, 8.44684e-27, 2.64581e-26, 0, 0, 3.49056e-26, 3.39906e-23, 0, 52.7531, 0.973626, 2.72158, 818.438
213.5, 1.64941e-23, 0, 0, 0, 1.02685e-26, 3.45247e-26, 0, 0, 4.47932e-26, 4.77881e-23, 0, 52.459, 0.973596, 2.85388, 817.312
214.5, 2.10112e-23, 0, 0, 0, 1.1689e-26, 4.2137e-26, 0, 0, 5.38258e-26, 6.26032e-23, 0, 52.217, 0.973565, 2.96174, 815.56
215.5, 2.49246e-23, 0, 0, 0, 1.20192e-26, 4.65531e-26, 0, 0, 5.85722e-26, 7.41871e-23, 0, 52.0462, 0.97353, 2.9779, 812.849
216.5, 2.72239e-23, 0, 0, 0, 1.12077e-26, 4.69368e-26, 0, 0, 5.81433e-26, 8.04403e-23, 0, 51.9579, 0.973503, 2.95986, 809.257
217.5, 2.73037e-23, 0, 0, 0, 9.842e-27, 4.48638e-26, 0, 0, 5.47058e-26, 8.28299e-23, 0, 51.955, 0.973476, 3.04369, 805.17
218.5, 2.50338e-23, 0, 0, 0, 8.12456e-27, 4.02339e-26, 0, 0, 4.83584e-26, 7.95419e-23, 0, 52.0418, 0.973448, 3.18234, 800.512
219.5, 2.07645e-23, 0, 0, 0, 5.91508e-27, 3.17134e-26, 0, 0, 3.76289e-26, 6.6731e-23, 0, 52.2288, 0.973413, 3.1749, 794.664
220.5, 1.52876e-23, 0, 0, 0, 3.6405e-27, 2.11599e-26, 0, 0, 2.48007e-26, 4.72906e-23, 0, 52.535, 0.973385, 3.0159, 787.297
221.5, 9.76961e-24, 0, 0, 0, 1.89666e-27, 1.20517e-26, 0, 0, 1.39483e-26, 2.86881e-23, 0, 52.9828, 0.973352, 2.94539, 778.545
222.5, 5.36672e-24, 0, 0, 0, 8.80953e-28, 6.19485e-27, 0, 0, 7.07577e-27, 1.57693e-23, 0, 53.5818, 0.973323, 3.12121, 768.993
