case index 0 = {
los index, 0
num freq, 1001
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
2000, 0, 1.973e-07, 8.12131e-07, 0, 2.66255e-24, 0, 0, 0, 1.00943e-06, 0, 0, 99.99, 0.934994, 5.60153e-05, 270.109
2001, 0, 2.37543e-07, 7.87003e-07, 0, 2.50794e-24, 0, 0, 0, 1.02455e-06, 0, 0, 99.99, 0.935065, 5.59066e-05, 270.15
2002, 0, 2.78896e-07, 7.61096e-07, 0, 2.29533e-24, 0, 0, 0, 1.03999e-06, 0, 0, 99.99, 0.935132, 5.58199e-05, 270.192
2003, 0, 3.05533e-07, 7.48766e-07, 0, 2.45471e-24, 0, 0, 0, 1.0543e-06, 0, 0, 99.99, 0.935198, 5.57476e-05, 270.221
2004, 0, 3.12842e-07, 7.53902e-07, 0, 3.01142e-24, 0, 0, 0, 1.06674e-06, 0, 0, 99.99, 0.935264, 5.56592e-05, 270.231
2005, 0, 3.05112e-07, 7.72138e-07, 0, 4.02026e-24, 0, 0, 0, 1.07725e-06, 0, 0, 99.99, 0.935331, 5.55687e-05, 270.222
2006, 0, 2.78252e-07, 8.07517e-07, 0, 6.71734e-24, 0, 0, 0, 1.08577e-06, 0, 0, 99.99, 0.935396, 5.5502e-05, 270.192
2007, 0, 2.33047e-07, 8.60067e-07, 0, 1.24843e-23, 0, 0, 0, 1.09311e-06, 0, 0, 99.99, 0.935462, 5.54381e-05, 270.152
2008, 0, 1.83332e-07, 9.1728e-07, 0, 2.12265e-23, 0, 0, 0, 1.10061e-06, 0, 0, 99.99, 0.935528, 5.53627e-05, 270.112
2009, 0, 1.58684e-07, 9.51868e-07, 0, 2.90436e-23, 0, 0, 0, 1.11055e-06, 0, 0, 99.99, 0.935594, 5.52825e-05, 270.095
2010, 0, 1.74444e-07, 9.49617e-07, 0, 3.15461e-23, 0, 0, 0, 1.12406e-06, 0, 0, 99.99, 0.93566, 5.52015e-05, 270.109
2011, 0, 2.07806e-07, 9.31582e-07, 0, 3.24272e-23, 0, 0, 0, 1.13939e-06, 0, 0, 99.99, 0.935726, 5.512e-05, 270.138
2012, 0, 2.36148e-07, 9.18472e-07, 0, 3.6425e-23, 0, 0, 0, 1.15462e-06, 0, 0, 99.99, 0.935792, 5.50335e-05, 270.164
2013, 0, 2.54259e-07, 9.14799e-07, 0, 4.42006e-23, 0, 0, 0, 1.16906e-06, 0, 0, 99.99, 0.935858, 5.49413e-05, 270.182
2014, 0, 2.59796e-07, 9.2265e-07, 0, 5.68891e-23, 0, 0, 0, 1.18245e-06, 0, 0, 99.99, 0.935924, 5.48598e-05, 270.19
2015, 0, 2.56209e-07, 9.38787e-07, 0, 7.35679e-23, 0, 0, 0, 1.195e-06, 0, 0, 99.99, 0.93599, 5.4792e-05, 270.189
2016, 0, 2.51178e-07, 9.56048e-07, 0, 9.22075e-23, 0, 0, 0, 1.20722e-06, 0, 0, 99.99, 0.936056, 5.47197e-05, 270.184
2017, 0, 2.42715e-07, 9.76553e-07, 0, 1.22132e-22, 0, 0, 0, 1.21927e-06, 0, 0, 99.99, 0.936122, 5.46407e-05, 270.177
2018, 0, 2.25148e-07, 1.00578e-06, 0, 1.72698e-22, 0, 0, 0, 1.23093e-06, 0, 0, 99.99, 0.936188, 5.45614e-05, 270.166
2019, 0, 2.03575e-07, 1.03883e-06, 0, 2.386e-22, 0, 0, 0, 1.2424e-06, 0, 0, 99.99, 0.936254, 5.44824e-05, 270.153
2020, 0, 1.84448e-07, 1.06973e-06, 0, 3.19318e-22, 0, 0, 0, 1.25417e-06, 0, 0, 99.99, 0.93632, 5.4403e-05, 270.141
2021, 0, 1.66602e-07, 1.09976e-06, 0, 4.32419e-22, 0, 0, 0, 1.26636e-06, 0, 0, 99.99, 0.936386, 5.43251e-05, 270.132
2022, 0, 1.49286e-07, 1.12965e-06, 0, 5.85092e-22, 0, 0, 0, 1.27894e-06, 0, 0, 99.99, 0.936452, 5.42488e-05, 270.125
2023, 0, 1.35999e-07, 1.15597e-06, 0, 7.60926e-22, 0, 0, 0, 1.29197e-06, 0, 0, 99.99, 0.936518, 5.41722e-05, 270.121
2024, 0, 1.24022e-07, 1.18131e-06, 0, 9.86568e-22, 0, 0, 0, 1.30533e-06, 0, 0, 99.99, 0.936584, 5.40948e-05, 270.118
2025, 0, 1.11898e-07, 1.20707e-06, 0, 1.29184e-21, 0, 0, 0, 1.31897e-06, 0, 0, 99.99, 0.936651, 5.40168e-05, 270.117
2026, 0, 1.03202e-07, 1.22976e-06, 0, 1.64562e-21, 0, 0, 0, 1.33296e-06, 0, 0, 99.99, 0.936716, 5.39383e-05, 270.117
2027, 0, 1.0154e-07, 1.24575e-06, 0, 1.9626e-21, 0, 0, 0, 1.34729e-06, 0, 0, 99.99, 0.936782, 5.38581e-05, 270.119
2028, 0, 1.04401e-07, 1.25745e-06, 0, 2.26054e-21, 0, 0, 0, 1.36185e-06, 0, 0, 99.99, 0.936848, 5.37767e-05, 270.122
2029, 0, 1.02069e-07, 1.27434e-06, 0, 2.71735e-21, 0, 0, 0, 1.37641e-06, 0, 0, 99.99, 0.936914, 5.36973e-05, 270.123
2030, 0, 9.52538e-08, 1.29571e-06, 0, 3.31161e-21, 0, 0, 0, 1.39097e-06, 0, 0, 99.99, 0.93698, 5.36218e-05, 270.124
2031, 0, 9.10413e-08, 1.31467e-06, 0, 3.90813e-21, 0, 0, 0, 1.40571e-06, 0, 0, 99.99, 0.937046, 5.35474e-05, 270.125
2032, 0, 9.07353e-08, 1.32994e-06, 0, 4.46725e-21, 0, 0, 0, 1.42067e-06, 0, 0, 99.99, 0.937112, 5.34718e-05, 270.126
2033, 0, 9.23555e-08, 1.34345e-06, 0, 5.04327e-21, 0, 0, 0, 1.4358e-06, 0, 0, 99.99, 0.937178, 5.33953e-05, 270.128
2034, 0, 9.05952e-08, 1.36044e-06, 0, 5.86134e-21, 0, 0, 0, 1.45104e-06, 0, 0, 99.99, 0.937244, 5.33183e-05, 270.129
2035, 0, 8.6915e-08, 1.37948e-06, 0, 6.87368e-21, 0, 0, 0, 1.46639e-06, 0, 0, 99.99, 0.93731, 5.32418e-05, 270.13
2036, 0, 8.55288e-08, 1.39639e-06, 0, 7.90034e-21, 0, 0, 0, 1.48192e-06, 0, 0, 99.99, 0.937376, 5.31662e-05, 270.132
2037, 0, 8.65456e-08, 1.41108e-06, 0, 8.91228e-21, 0, 0, 0, 1.49762e-06, 0, 0, 99.99, 0.937442, 5.30903e-05, 270.133
2038, 0, 8.94505e-08, 1.42404e-06, 0, 9.89706e-21, 0, 0, 0, 1.51349e-06, 0, 0, 99.99, 0.937508, 5.30141e-05, 270.135
2039, 0, 9.39371e-08, 1.43559e-06, 0, 1.08367e-20, 0, 0, 0, 1.52953e-06, 0, 0, 99.99, 0.937574, 5.2938e-05, 270.137
2040, 0, 9.78657e-08, 1.44786e-06, 0, 1.19734e-20, 0, 0, 0, 1.54573e-06, 0, 0, 99.99, 0.93764, 5.2862e-05, 270.139
2041, 0, 9.62774e-08, 1.46579e-06, 0, 1.39388e-20, 0, 0, 0, 1.56207e-06, 0, 0, 99.99, 0.937706, 5.2786e-05, 270.141
2042, 0, 9.28488e-08, 1.48574e-06, 0, 1.64574e-20, 0, 0, 0, 1.57859e-06, 0, 0, 99.99, 0.937772, 5.27103e-05, 270.143
2043, 0, 9.34903e-08, 1.50185e-06, 0, 1.89802e-20, 0, 0, 0, 1.59534e-06, 0, 0, 99.99, 0.937838, 5.26349e-05, 270.145
2044, 0, 9.52058e-08, 1.51711e-06, 0, 2.21033e-20, 0, 0, 0, 1.61232e-06, 0, 0, 99.99, 0.937904, 5.25595e-05, 270.148
2045, 0, 9.42117e-08, 1.53529e-06, 0, 2.64769e-20, 0, 0, 0, 1.6295e-06, 0, 0, 99.99, 0.93797, 5.24841e-05, 270.151
2046, 0, 9.32991e-08, 1.55357e-06, 0, 3.12992e-20, 0, 0, 0, 1.64687e-06, 0, 0, 99.99, 0.938036, 5.24085e-05, 270.154
