case index 1 = {
los index, 0
num freq, 1001
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
2000, 4.14967e-19, 1.14769e-07, 9.77133e-07, 0, 8.1518e-09, 2.1714e-23, 0, 0, 1.10005e-06, 2.32576e-23, 2.12438e-26, 42.3261, 0.934994, 5.60153e-05, 270.983
2001, 3.26941e-19, 1.35575e-07, 9.68185e-07, 0, 6.36241e-09, 1.66436e-23, 0, 0, 1.11012e-06, 1.82952e-23, 1.61136e-26, 42.5645, 0.935065, 5.59066e-05, 270.967
2002, 2.5138e-19, 1.57752e-07, 9.58028e-07, 0, 4.78104e-09, 1.23577e-23, 0, 0, 1.12056e-06, 1.40443e-23, 1.17935e-26, 42.8273, 0.935132, 5.58199e-05, 270.952
2003, 2.13012e-19, 1.72883e-07, 9.55207e-07, 0, 4.05246e-09, 1.01533e-23, 0, 0, 1.13214e-06, 1.18794e-23, 9.57402e-27, 42.9929, 0.935198, 5.57476e-05, 270.948
2004, 2.05222e-19, 1.77694e-07, 9.62895e-07, 0, 4.01771e-09, 9.61916e-24, 0, 0, 1.14461e-06, 1.14251e-23, 9.01997e-27, 43.0302, 0.935264, 5.56592e-05, 270.95
2005, 2.08456e-19, 1.72924e-07, 9.80065e-07, 0, 4.27045e-09, 9.7366e-24, 0, 0, 1.15726e-06, 1.1586e-23, 9.111e-27, 43.0146, 0.935331, 5.55687e-05, 270.953
2006, 2.43335e-19, 1.5711e-07, 1.00834e-06, 0, 5.48021e-09, 1.16018e-23, 0, 0, 1.17093e-06, 1.35033e-23, 1.09241e-26, 42.8598, 0.935396, 5.5502e-05, 270.963
2007, 3.25082e-19, 1.32861e-07, 1.04545e-06, 0, 8.15963e-09, 1.60015e-23, 0, 0, 1.18647e-06, 1.80143e-23, 1.52347e-26, 42.5702, 0.935462, 5.54381e-05, 270.989
2008, 4.25901e-19, 1.07513e-07, 1.08401e-06, 0, 1.16182e-08, 2.14974e-23, 0, 0, 1.20314e-06, 2.3571e-23, 2.06423e-26, 42.3001, 0.935528, 5.53627e-05, 271.022
2009, 4.8102e-19, 9.50282e-08, 1.10968e-06, 0, 1.37748e-08, 2.4559e-23, 0, 0, 1.21848e-06, 2.65912e-23, 2.3657e-26, 42.1784, 0.935594, 5.52825e-05, 271.043
2010, 4.442e-19, 1.02603e-07, 1.11507e-06, 0, 1.29098e-08, 2.24795e-23, 0, 0, 1.23059e-06, 2.45265e-23, 2.15712e-26, 42.258, 0.93566, 5.52015e-05, 271.035
2011, 3.78161e-19, 1.19414e-07, 1.11128e-06, 0, 1.10145e-08, 1.87489e-23, 0, 0, 1.24171e-06, 2.08492e-23, 1.78448e-26, 42.419, 0.935726, 5.512e-05, 271.018
2012, 3.43116e-19, 1.34407e-07, 1.10954e-06, 0, 1.01435e-08, 1.68355e-23, 0, 0, 1.25409e-06, 1.88867e-23, 1.59273e-26, 42.5162, 0.935792, 5.50335e-05, 271.01
2013, 3.33857e-19, 1.44456e-07, 1.11295e-06, 0, 1.01505e-08, 1.64245e-23, 0, 0, 1.26755e-06, 1.83487e-23, 1.54971e-26, 42.5436, 0.935858, 5.49413e-05, 271.011
2014, 3.41705e-19, 1.47934e-07, 1.12313e-06, 0, 1.07836e-08, 1.69504e-23, 0, 0, 1.28185e-06, 1.87519e-23, 1.59866e-26, 42.5203, 0.935924, 5.48598e-05, 271.017
