case index 1 = {
los index, 0
num freq, 2501
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
500, 2.16351e-34, 0, 0, 0, 1.09513e-05, 0, 0, 0, 1.09513e-05, 0, 0, 77.5162, 0.964979, 0.000330112, 922.824
501, 2.14613e-34, 0, 0, 0, 1.08336e-05, 0, 0, 0, 1.08336e-05, 0, 0, 77.5242, 0.964916, 0.000327323, 920.958
502, 2.14605e-34, 0, 0, 0, 1.0892e-05, 0, 0, 0, 1.0892e-05, 0, 0, 77.5243, 0.964841, 0.000330187, 919.576
503, 2.15077e-34, 0, 0, 0, 1.11658e-05, 0, 0, 0, 1.11658e-05, 0, 0, 77.5221, 0.964759, 0.00034001, 918.773
504, 2.15714e-34, 0, 0, 0, 1.13576e-05, 0, 0, 0, 1.13576e-05, 0, 0, 77.5191, 0.964681, 0.000346888, 917.745
505, 2.16576e-34, 0, 0, 0, 1.14415e-05, 0, 0, 0, 1.14415e-05, 0, 0, 77.5151, 0.964601, 0.000349182, 916.437
506, 2.17478e-34, 0, 0, 0, 1.15121e-05, 0, 0, 0, 1.15121e-05, 0, 0, 77.511, 0.964519, 0.000350596, 915.099
507, 2.18338e-34, 0, 0, 0, 1.15098e-05, 0, 0, 0, 1.15098e-05, 0, 0, 77.507, 0.964441, 0.000349921, 913.578
508, 2.19228e-34, 0, 0, 0, 1.153e-05, 0, 0, 0, 1.153e-05, 0, 0, 77.503, 0.96436, 0.000349803, 912.121
509, 2.20098e-34, 0, 0, 0, 1.16402e-05, 0, 0, 0, 1.16402e-05, 0, 0, 77.499, 0.96428, 0.000352207, 910.897
510, 2.20677e-34, 0, 0, 0, 1.16886e-05, 0, 0, 0, 1.16886e-05, 0, 0, 77.4964, 0.964201, 0.000352782, 909.52
511, 2.20623e-34, 0, 0, 0, 1.16391e-05, 0, 0, 0, 1.16391e-05, 0, 0, 77.4966, 0.964118, 0.000350634, 907.903
512, 2.19925e-34, 0, 0, 0, 1.15426e-05, 0, 0, 0, 1.15426e-05, 0, 0, 77.4998, 0.964041, 0.000347361, 906.172
513, 2.18913e-34, 0, 0, 0, 1.14348e-05, 0, 0, 0, 1.14348e-05, 0, 0, 77.5044, 0.963961, 0.000343935, 904.417
514, 2.17836e-34, 0, 0, 0, 1.14534e-05, 0, 0, 0, 1.14534e-05, 0, 0, 77.5093, 0.96388, 0.000344407, 902.988
515, 2.16797e-34, 0, 0, 0, 1.14108e-05, 0, 0, 0, 1.14108e-05, 0, 0, 77.5141, 0.963799, 0.000343094, 901.409
516, 2.15856e-34, 0, 0, 0, 1.09617e-05, 0, 0, 0, 1.09617e-05, 0, 0, 77.5184, 0.963719, 0.000329568, 898.779
517, 2.14994e-34, 0, 0, 0, 1.0356e-05, 0, 0, 0, 1.0356e-05, 0, 0, 77.5225, 0.963639, 0.000311325, 895.679
518, 2.14186e-34, 0, 0, 0, 1.0328e-05, 0, 0, 0, 1.0328e-05, 0, 0, 77.5262, 0.963561, 0.000310476, 894.15
519, 2.13663e-34, 0, 0, 0, 1.09032e-05, 0, 0, 0, 1.09032e-05, 0, 0, 77.5287, 0.96348, 0.000327752, 894.266
520, 2.14065e-34, 0, 0, 0, 1.15344e-05, 0, 0, 0, 1.15344e-05, 0, 0, 77.5268, 0.9634, 0.000346612, 894.448
521, 2.15815e-34, 0, 0, 0, 1.19266e-05, 0, 0, 0, 1.19266e-05, 0, 0, 77.5186, 0.963321, 0.000358166, 893.975
522, 2.18464e-34, 0, 0, 0, 1.21673e-05, 0, 0, 0, 1.21673e-05, 0, 0, 77.5064, 0.963241, 0.000365163, 893.117
523, 2.21234e-34, 0, 0, 0, 1.2263e-05, 0, 0, 0, 1.2263e-05, 0, 0, 77.4938, 0.96316, 0.000367953, 891.913
524, 2.23149e-34, 0, 0, 0, 1.22789e-05, 0, 0, 0, 1.22789e-05, 0, 0, 77.4852, 0.963064, 0.000368565, 890.524
525, 2.22685e-34, 0, 0, 0, 1.21782e-05, 0, 0, 0, 1.21782e-05, 0, 0, 77.4873, 0.962932, 0.000365944, 888.866
526, 2.19272e-34, 0, 0, 0, 1.18734e-05, 0, 0, 0, 1.18734e-05, 0, 0, 77.5028, 0.962743, 0.000357475, 886.72
527, 2.14227e-34, 0, 0, 0, 1.1673e-05, 0, 0, 0, 1.1673e-05, 0, 0, 77.526, 0.962517, 0.000352367, 884.822
528, 2.08973e-34, 0, 0, 0, 1.18966e-05, 0, 0, 0, 1.18966e-05, 0, 0, 77.5509, 0.962281, 0.000360077, 883.962
529, 2.04469e-34, 0, 0, 0, 1.21837e-05, 0, 0, 0, 1.21837e-05, 0, 0, 77.5726, 0.962039, 0.000369594, 883.245
530, 2.01759e-34, 0, 0, 0, 1.23028e-05, 0, 0, 0, 1.23028e-05, 0, 0, 77.586, 0.9618, 0.000373748, 882.128
531, 2.01088e-34, 0, 0, 0, 1.23314e-05, 0, 0, 0, 1.23314e-05, 0, 0, 77.5893, 0.961561, 0.000374794, 880.803
532, 2.0153e-34, 0, 0, 0, 1.21955e-05, 0, 0, 0, 1.21955e-05, 0, 0, 77.5871, 0.96132, 0.000370556, 879.1
533, 2.02232e-34, 0, 0, 0, 1.20684e-05, 0, 0, 0, 1.20684e-05, 0, 0, 77.5836, 0.96108, 0.000366396, 877.42
534, 2.02696e-34, 0, 0, 0, 1.22159e-05, 0, 0, 0, 1.22159e-05, 0, 0, 77.5814, 0.960839, 0.000370453, 876.39
535, 2.02436e-34, 0, 0, 0, 1.24189e-05, 0, 0, 0, 1.24189e-05, 0, 0, 77.5826, 0.960599, 0.000376191, 875.488
536, 2.01355e-34, 0, 0, 0, 1.23502e-05, 0, 0, 0, 1.23502e-05, 0, 0, 77.588, 0.960359, 0.000373816, 873.962
537, 1.99839e-34, 0, 0, 0, 1.21083e-05, 0, 0, 0, 1.21083e-05, 0, 0, 77.5956, 0.960121, 0.000366363, 872.038
