case index 0 = {
los index, 0
num freq, 2501
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
500, 0.385544, 0, 0, 0, 9.38112e-06, 1.93125e-05, 0, 0, 2.86936e-05, 0.000127269, 0.000108689, 0.9531, 0.964979, 0.000330112, 952.242
501, 0.385951, 0, 0, 0, 9.26045e-06, 1.91318e-05, 0, 0, 2.83923e-05, 0.000126328, 0.000107905, 0.952046, 0.964916, 0.000327323, 950.324
502, 0.386205, 0, 0, 0, 9.29392e-06, 1.92724e-05, 0, 0, 2.85663e-05, 0.000127517, 0.000108933, 0.951387, 0.964841, 0.000330187, 948.936
503, 0.386328, 0, 0, 0, 9.51796e-06, 1.98115e-05, 0, 0, 2.93295e-05, 0.000131349, 0.000112214, 0.951068, 0.964759, 0.00034001, 948.19
504, 0.386633, 0, 0, 0, 9.66567e-06, 2.01898e-05, 0, 0, 2.98556e-05, 0.000134112, 0.00011459, 0.950279, 0.964681, 0.000346888, 947.178
505, 0.387407, 0, 0, 0, 9.70107e-06, 2.03284e-05, 0, 0, 3.00295e-05, 0.000135274, 0.000115623, 0.948281, 0.964601, 0.000349182, 945.796
506, 0.388386, 0, 0, 0, 9.71918e-06, 2.04287e-05, 0, 0, 3.01479e-05, 0.000136173, 0.000116441, 0.945755, 0.964519, 0.000350596, 944.361
507, 0.389376, 0, 0, 0, 9.67907e-06, 2.04075e-05, 0, 0, 3.00866e-05, 0.00013626, 0.000116565, 0.943209, 0.964441, 0.000349921, 942.744
508, 0.390439, 0, 0, 0, 9.65583e-06, 2.04217e-05, 0, 0, 3.00776e-05, 0.000136584, 0.000116894, 0.940483, 0.96436, 0.000349803, 941.187
509, 0.391558, 0, 0, 0, 9.70439e-06, 2.0586e-05, 0, 0, 3.02904e-05, 0.000137913, 0.000118085, 0.937622, 0.96428, 0.000352207, 939.865
510, 0.392642, 0, 0, 0, 9.70226e-06, 2.0642e-05, 0, 0, 3.03443e-05, 0.000138516, 0.000118655, 0.934856, 0.964201, 0.000352782, 938.384
511, 0.393649, 0, 0, 0, 9.62297e-06, 2.05347e-05, 0, 0, 3.01577e-05, 0.000138025, 0.000118283, 0.932296, 0.964118, 0.000350634, 936.661
512, 0.394557, 0, 0, 0, 9.51028e-06, 2.03556e-05, 0, 0, 2.98659e-05, 0.000137051, 0.000117493, 0.929991, 0.964041, 0.000347361, 934.833
513, 0.39539, 0, 0, 0, 9.39118e-06, 2.0163e-05, 0, 0, 2.95542e-05, 0.000135987, 0.000116621, 0.927882, 0.963961, 0.000343935, 932.988
514, 0.396175, 0, 0, 0, 9.37731e-06, 2.01961e-05, 0, 0, 2.95735e-05, 0.000136447, 0.000117053, 0.925898, 0.96388, 0.000344407, 931.495
515, 0.39692, 0, 0, 0, 9.31495e-06, 2.01223e-05, 0, 0, 2.94373e-05, 0.000136176, 0.000116856, 0.92402, 0.963799, 0.000343094, 929.845
516, 0.397645, 0, 0, 0, 8.92233e-06, 1.93311e-05, 0, 0, 2.82534e-05, 0.000131035, 0.000112476, 0.922196, 0.963719, 0.000329568, 927.075
517, 0.398349, 0, 0, 0, 8.40249e-06, 1.82621e-05, 0, 0, 2.66646e-05, 0.000124006, 0.000106474, 0.920427, 0.963639, 0.000311325, 923.802
518, 0.399014, 0, 0, 0, 8.35138e-06, 1.82114e-05, 0, 0, 2.65628e-05, 0.000123892, 0.000106408, 0.918759, 0.963561, 0.000310476, 922.197
519, 0.399654, 0, 0, 0, 8.78714e-06, 1.92224e-05, 0, 0, 2.80095e-05, 0.000131003, 0.000112546, 0.917157, 0.96348, 0.000327752, 922.34
520, 0.400286, 0, 0, 0, 9.26392e-06, 2.03257e-05, 0, 0, 2.95897e-05, 0.000138756, 0.000119237, 0.915576, 0.9634, 0.000346612, 922.547
521, 0.400885, 0, 0, 0, 9.54223e-06, 2.09986e-05, 0, 0, 3.05407e-05, 0.00014359, 0.00012342, 0.91408, 0.963321, 0.000358166, 922.044
522, 0.401409, 0, 0, 0, 9.69536e-06, 2.13997e-05, 0, 0, 3.1095e-05, 0.000146583, 0.00012602, 0.912775, 0.963241, 0.000365163, 921.126
523, 0.401832, 0, 0, 0, 9.73301e-06, 2.1548e-05, 0, 0, 3.12809e-05, 0.000147856, 0.000127138, 0.911722, 0.96316, 0.000367953, 919.842
524, 0.402165, 0, 0, 0, 9.71012e-06, 2.15632e-05, 0, 0, 3.12734e-05, 0.000148224, 0.000127473, 0.910893, 0.963064, 0.000368565, 918.373
525, 0.402465, 0, 0, 0, 9.60235e-06, 2.13876e-05, 0, 0, 3.09899e-05, 0.000147278, 0.000126675, 0.910148, 0.962932, 0.000365944, 916.637
526, 0.402782, 0, 0, 0, 9.34329e-06, 2.08717e-05, 0, 0, 3.0215e-05, 0.000143982, 0.000123855, 0.909361, 0.962743, 0.000357475, 914.411
527, 0.403128, 0, 0, 0, 9.17296e-06, 2.05538e-05, 0, 0, 2.97268e-05, 0.000142051, 0.000122213, 0.908501, 0.962517, 0.000352367, 912.469
528, 0.403499, 0, 0, 0, 9.33721e-06, 2.0985e-05, 0, 0, 3.03222e-05, 0.000145297, 0.000125025, 0.907581, 0.962281, 0.000360077, 911.634
529, 0.403891, 0, 0, 0, 9.54917e-06, 2.15229e-05, 0, 0, 3.10721e-05, 0.000149279, 0.000128472, 0.906611, 0.962039, 0.000369594, 910.943
530, 0.404314, 0, 0, 0, 9.62258e-06, 2.175e-05, 0, 0, 3.13726e-05, 0.000151113, 0.000130073, 0.905563, 0.9618, 0.000373748, 909.806
531, 0.404787, 0, 0, 0, 9.61729e-06, 2.17993e-05, 0, 0, 3.14165e-05, 0.000151711, 0.000130612, 0.904395, 0.961561, 0.000374794, 908.422
532, 0.405339, 0, 0, 0, 9.47945e-06, 2.15463e-05, 0, 0, 3.10257e-05, 0.000150197, 0.000129338, 0.903032, 0.96132, 0.000370556, 906.62
533, 0.406002, 0, 0, 0, 9.34688e-06, 2.13045e-05, 0, 0, 3.06514e-05, 0.000148758, 0.000128134, 0.901398, 0.96108, 0.000366396, 904.836
534, 0.406782, 0, 0, 0, 9.42762e-06, 2.15477e-05, 0, 0, 3.09753e-05, 0.0001507, 0.000129849, 0.899477, 0.960839, 0.000370453, 903.744
535, 0.407647, 0, 0, 0, 9.55374e-06, 2.18931e-05, 0, 0, 3.14468e-05, 0.000153356, 0.000132183, 0.897353, 0.960599, 0.000376191, 902.796
536, 0.408518, 0, 0, 0, 9.4737e-06, 2.17663e-05, 0, 0, 3.12399e-05, 0.000152703, 0.000131666, 0.89522, 0.960359, 0.000373816, 901.194
537, 0.409322, 0, 0, 0, 9.26262e-06, 2.13395e-05, 0, 0, 3.06022e-05, 0.000149955, 0.000129339, 0.893253, 0.960121, 0.000366363, 899.175
538, 0.410017, 0, 0, 0, 9.21694e-06, 2.1294e-05, 0, 0, 3.0511e-05, 0.000149888, 0.00012932, 0.891556, 0.959881, 0.000365563, 897.694
539, 0.410601, 0, 0, 0, 9.20749e-06, 2.13305e-05, 0, 0, 3.0538e-05, 0.00015039, 0.000129784, 0.890132, 0.95964, 0.000366269, 896.335
