case index 0 = {
los index, 0
num freq, 2501
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
500, 0.440082, 0, 0, 0, 7.10655e-06, 1.952e-05, 0, 0, 2.66266e-05, 0.000140521, 0.00012266, 0.820795, 0.964979, 0.000319314, 949.892
501, 0.440547, 0, 0, 0, 7.00917e-06, 1.93335e-05, 0, 0, 2.63426e-05, 0.000139482, 0.000121776, 0.819739, 0.964916, 0.000316617, 947.973
502, 0.440838, 0, 0, 0, 7.02824e-06, 1.94714e-05, 0, 0, 2.64998e-05, 0.000140795, 0.000122936, 0.819078, 0.964841, 0.000319389, 946.582
503, 0.440979, 0, 0, 0, 7.19125e-06, 2.00119e-05, 0, 0, 2.72032e-05, 0.000145026, 0.000126638, 0.818758, 0.964759, 0.000328889, 945.83
504, 0.441329, 0, 0, 0, 7.29664e-06, 2.03902e-05, 0, 0, 2.76868e-05, 0.000148077, 0.000129321, 0.817964, 0.964681, 0.000335544, 944.814
505, 0.442211, 0, 0, 0, 7.31759e-06, 2.05262e-05, 0, 0, 2.78439e-05, 0.00014936, 0.000130486, 0.815967, 0.964601, 0.000337761, 943.429
506, 0.44333, 0, 0, 0, 7.3257e-06, 2.06238e-05, 0, 0, 2.79496e-05, 0.000150354, 0.00013141, 0.813442, 0.964519, 0.000339131, 941.992
507, 0.444461, 0, 0, 0, 7.2899e-06, 2.05988e-05, 0, 0, 2.78888e-05, 0.000150451, 0.000131549, 0.810893, 0.964441, 0.000338477, 940.374
508, 0.445674, 0, 0, 0, 7.26684e-06, 2.06094e-05, 0, 0, 2.78762e-05, 0.000150808, 0.000131921, 0.808167, 0.96436, 0.000338363, 938.815
509, 0.446952, 0, 0, 0, 7.29797e-06, 2.07716e-05, 0, 0, 2.80696e-05, 0.000152275, 0.000133266, 0.805304, 0.96428, 0.000340688, 937.491
510, 0.448191, 0, 0, 0, 7.29104e-06, 2.08245e-05, 0, 0, 2.81155e-05, 0.000152941, 0.000133909, 0.802536, 0.964201, 0.000341245, 936.009
511, 0.44934, 0, 0, 0, 7.22601e-06, 2.07123e-05, 0, 0, 2.79383e-05, 0.000152399, 0.00013349, 0.799976, 0.964118, 0.000339166, 934.285
512, 0.450378, 0, 0, 0, 7.13582e-06, 2.05277e-05, 0, 0, 2.76635e-05, 0.000151324, 0.000132598, 0.797668, 0.964041, 0.000336001, 932.457
