case index 122 = {
los index, 0
num freq, 9788
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
212.5, 0, 0, 0, 0, 1.0007e-31, 0, 0, 0, 1.0007e-31, 0, 0, 99.99, 0.973626, 2.72158, 708.856
213.5, 0, 0, 0, 0, 1.41077e-31, 0, 0, 0, 1.41077e-31, 0, 0, 99.99, 0.973596, 2.85388, 708.27
214.5, 0, 0, 0, 0, 1.85904e-31, 0, 0, 0, 1.85904e-31, 0, 0, 99.99, 0.973565, 2.96174, 707.204
215.5, 0, 0, 0, 0, 2.22001e-31, 0, 0, 0, 2.22001e-31, 0, 0, 99.99, 0.97353, 2.9779, 705.425
216.5, 0, 0, 0, 0, 2.42884e-31, 0, 0, 0, 2.42884e-31, 0, 0, 99.99, 0.973503, 2.95986, 703.015
217.5, 0, 0, 0, 0, 2.52605e-31, 0, 0, 0, 2.52605e-31, 0, 0, 99.99, 0.973476, 3.04369, 700.251
218.5, 0, 0, 0, 0, 2.44912e-31, 0, 0, 0, 2.44912e-31, 0, 0, 99.99, 0.973448, 3.18234, 696.993
219.5, 0, 0, 0, 0, 2.07168e-31, 0, 0, 0, 2.07168e-31, 0, 0, 99.99, 0.973413, 3.1749, 692.762
220.5, 0, 0, 0, 0, 1.47628e-31, 0, 0, 0, 1.47628e-31, 0, 0, 99.99, 0.973385, 3.0159, 687.325
221.5, 0, 0, 0, 0, 8.95989e-32, 0, 0, 0, 8.95989e-32, 0, 0, 99.99, 0.973352, 2.94539, 680.803
222.5, 0, 0, 0, 0, 4.89488e-32, 0, 0, 0, 4.89488e-32, 0, 0, 99.99, 0.973323, 3.12121, 673.631
223.5, 0, 0, 0, 0, 2.42983e-32, 0, 0, 0, 2.42983e-32, 0, 0, 99.99, 0.973296, 3.33251, 665.91
224.5, 0, 0, 0, 0, 1.02374e-32, 0, 0, 0, 1.02374e-32, 0, 0, 99.99, 0.973265, 3.29696, 657.213
225.5, 0, 0, 0, 0, 3.44457e-33, 0, 0, 0, 3.44457e-33, 0, 0, 99.99, 0.973236, 3.08705, 647.208
226.5, 0, 0, 0, 0, 9.27863e-34, 0, 0, 0, 9.27863e-34, 0, 0, 99.99, 0.973205, 2.97155, 636.019
227.5, 0, 0, 0, 0, 2.1049e-34, 0, 0, 0, 2.1049e-34, 0, 0, 99.99, 0.973176, 3.00797, 624.078
228.5, 0, 0, 0, 0, 4.16954e-35, 0, 0, 0, 4.16954e-35, 0, 0, 99.99, 0.973144, 3.07991, 611.692
229.5, 0, 0, 0, 0, 7.22822e-36, 0, 0, 0, 7.22822e-36, 0, 0, 99.99, 0.973116, 3.08925, 598.941
230.5, 0, 0, 0, 0, 1.05964e-36, 0, 0, 0, 1.05964e-36, 0, 0, 99.99, 0.973084, 3.01012, 585.702
231.5, 0, 0, 0, 0, 1.1733e-37, 0, 0, 0, 1.1733e-37, 0, 0, 99.99, 0.973056, 2.84867, 571.485
232.5, 0, 0, 0, 0, 8.38793e-39, 0, 0, 0, 8.38793e-39, 0, 0, 99.99, 0.973025, 2.73709, 555.63
233.5, 0, 0, 0, 0, 3.37059e-40, 0, 0, 0, 3.37059e-40, 0, 0, 99.99, 0.972997, 2.75131, -99
234.5, 0, 0, 0, 0, 6.62674e-42, 0, 0, 0, 6.62674e-42, 0, 0, 99.99, 0.972966, 2.8856, -99
235.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972934, 3.08669, -99
236.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972909, 3.12579, -99
237.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972872, 3.00333, -99
238.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972847, 2.9342, -99
239.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972816, 2.99532, -99
240.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972789, 3.22126, -99
241.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972757, 3.93839, -99
242.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972721, 5.08627, -99
243.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972694, 6.229, -99
244.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972663, 7.16461, -99
245.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972634, 7.75182, -99
246.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972601, 7.97011, -99
247.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972574, 7.73124, -99
248.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972544, 7.35331, -99
249.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972515, 7.47152, -99
250.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972484, 7.3845, -99
251.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.97246, 6.77503, -99
252.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972426, 6.7543, -99
253.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972393, 7.5918, -99
254.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972366, 8.62809, -99
255.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972331, 9.54485, -99
256.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972303, 10.1326, -99
257.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972275, 10.2911, -99
258.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972244, 9.81958, -99
259.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972214, 8.9274, -99
260.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972185, 8.07574, -99
261.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972156, 7.97327, -99
262.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972127, 9.48304, -99
263.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972092, 12.9937, -99
264.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972065, 16.7844, -99
265.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972037, 18.8015, -99
266.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972006, 19.5804, -99
267.5, 0, 0, 0, 0, 2.24208e-44, 0, 0, 0, 2.24208e-44, 0, 0, 99.99, 0.971976, 20.2297, -99
268.5, 0, 0, 0, 0, 5.12034e-41, 0, 0, 0, 5.12034e-41, 0, 0, 99.99, 0.971947, 20.9492, -99
