case index 127 = {
los index, 0
num freq, 9788
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
212.5, 5.23369e-24, 0, 0, 0, 4.34191e-27, 1.12654e-26, 0, 0, 1.56074e-26, 1.44747e-23, 0, 53.6069, 0.973626, 2.72158, 810.536
213.5, 7.03484e-24, 0, 0, 0, 5.31616e-27, 1.47241e-26, 0, 0, 2.00404e-26, 2.03838e-23, 0, 53.3112, 0.973596, 2.85388, 809.402
214.5, 8.97593e-24, 0, 0, 0, 6.09418e-27, 1.79988e-26, 0, 0, 2.4093e-26, 2.67444e-23, 0, 53.0675, 0.973565, 2.96174, 807.652
215.5, 1.06644e-23, 0, 0, 0, 6.31094e-27, 1.99155e-26, 0, 0, 2.62263e-26, 3.17414e-23, 0, 52.8951, 0.97353, 2.9779, 804.96
216.5, 1.16663e-23, 0, 0, 0, 5.92904e-27, 2.01108e-26, 0, 0, 2.60396e-26, 3.44713e-23, 0, 52.8053, 0.973503, 2.95986, 801.404
217.5, 1.17184e-23, 0, 0, 0, 5.24782e-27, 1.92538e-26, 0, 0, 2.45019e-26, 3.55525e-23, 0, 52.8009, 0.973476, 3.04369, 797.361
218.5, 1.07605e-23, 0, 0, 0, 4.36462e-27, 1.72931e-26, 0, 0, 2.16577e-26, 3.41926e-23, 0, 52.8862, 0.973448, 3.18234, 792.756
219.5, 8.9387e-24, 0, 0, 0, 3.19944e-27, 1.36501e-26, 0, 0, 1.68496e-26, 2.87256e-23, 0, 53.0717, 0.973413, 3.1749, 786.984
220.5, 6.59058e-24, 0, 0, 0, 1.98191e-27, 9.1201e-27, 0, 0, 1.11021e-26, 2.03851e-23, 0, 53.3764, 0.973385, 3.0159, 779.722
221.5, 4.21759e-24, 0, 0, 0, 1.03919e-27, 5.2018e-27, 0, 0, 6.24098e-27, 1.23842e-23, 0, 53.8228, 0.973352, 2.94539, 771.099
222.5, 2.32007e-24, 0, 0, 0, 4.85802e-28, 2.67795e-27, 0, 0, 3.16374e-27, 6.81771e-24, 0, 54.4204, 0.973323, 3.12121, 761.689
223.5, 1.09431e-24, 0, 0, 0, 2.07962e-28, 1.26514e-27, 0, 0, 1.47311e-27, 3.43142e-24, 0, 55.1719, 0.973296, 3.33251, 751.706
224.5, 4.40259e-25, 0, 0, 0, 7.69202e-29, 5.13614e-28, 0, 0, 5.90537e-28, 1.47323e-24, 0, 56.0824, 0.973265, 3.29696, 740.636
225.5, 1.50904e-25, 0, 0, 0, 2.29521e-29, 1.68013e-28, 0, 0, 1.90965e-28, 5.07828e-25, 0, 57.1532, 0.973236, 3.08705, 728.029
226.5, 4.429e-26, 0, 0, 0, 5.46903e-30, 4.42381e-29, 0, 0, 4.97071e-29, 1.41147e-25, 0, 58.379, 0.973205, 2.97155, 714.015
227.5, 1.10916e-26, 0, 0, 0, 1.09075e-30, 9.86824e-30, 0, 0, 1.0959e-29, 3.33445e-26, 0, 59.7636, 0.973176, 3.00797, 699.151
228.5, 2.35356e-27, 0, 0, 0, 1.90432e-31, 1.94181e-30, 0, 0, 2.13224e-30, 6.95147e-27, 0, 61.3139, 0.973144, 3.07991, 683.864
229.5, 4.28217e-28, 0, 0, 0, 2.94601e-32, 3.3985e-31, 0, 0, 3.69309e-31, 1.28729e-27, 0, 63.0179, 0.973116, 3.08925, 668.299
