case index 126 = {
los index, 0
num freq, 9788
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
212.5, 4.58593e-24, 0, 0, 0, 4.38517e-27, 9.87114e-27, 0, 0, 1.42562e-26, 1.26832e-23, 0, 53.739, 0.973626, 2.72158, 809.657
213.5, 6.16421e-24, 0, 0, 0, 5.376e-27, 1.29018e-26, 0, 0, 1.82778e-26, 1.78608e-23, 0, 53.4433, 0.973596, 2.85388, 808.506
214.5, 7.86493e-24, 0, 0, 0, 6.16907e-27, 1.57711e-26, 0, 0, 2.19401e-26, 2.34345e-23, 0, 53.1996, 0.973565, 2.96174, 806.741
215.5, 9.34442e-24, 0, 0, 0, 6.3935e-27, 1.74504e-26, 0, 0, 2.3844e-26, 2.78125e-23, 0, 53.0273, 0.97353, 2.9779, 804.035
216.5, 1.02223e-23, 0, 0, 0, 6.01002e-27, 1.76216e-26, 0, 0, 2.36317e-26, 3.02046e-23, 0, 52.9375, 0.973503, 2.95986, 800.465
217.5, 1.0268e-23, 0, 0, 0, 5.32119e-27, 1.68707e-26, 0, 0, 2.2192e-26, 3.1152e-23, 0, 52.933, 0.973476, 3.04369, 796.409
218.5, 9.42862e-24, 0, 0, 0, 4.42587e-27, 1.51526e-26, 0, 0, 1.95786e-26, 2.99599e-23, 0, 53.0183, 0.973448, 3.18234, 791.792
219.5, 7.83227e-24, 0, 0, 0, 3.24369e-27, 1.19607e-26, 0, 0, 1.52042e-26, 2.51702e-23, 0, 53.2038, 0.973413, 3.1749, 786.013
220.5, 5.77477e-24, 0, 0, 0, 2.0085e-27, 7.99127e-27, 0, 0, 9.99971e-27, 1.78618e-23, 0, 53.5085, 0.973385, 3.0159, 778.747
221.5, 3.69549e-24, 0, 0, 0, 1.05237e-27, 4.55789e-27, 0, 0, 5.61025e-27, 1.08512e-23, 0, 53.9549, 0.973352, 2.94539, 770.123
222.5, 2.03286e-24, 0, 0, 0, 4.91432e-28, 2.34643e-27, 0, 0, 2.83786e-27, 5.97378e-24, 0, 54.5526, 0.973323, 3.12121, 760.714
223.5, 9.58834e-25, 0, 0, 0, 2.10088e-28, 1.10851e-27, 0, 0, 1.31861e-27, 3.00662e-24, 0, 55.3041, 0.973296, 3.33251, 750.733
224.5, 3.85756e-25, 0, 0, 0, 7.75914e-29, 4.50026e-28, 0, 0, 5.27619e-28, 1.29083e-24, 0, 56.2146, 0.973265, 3.29696, 739.672
225.5, 1.32221e-25, 0, 0, 0, 2.31145e-29, 1.47212e-28, 0, 0, 1.70326e-28, 4.44953e-25, 0, 57.2853, 0.973236, 3.08705, 727.079
226.5, 3.88061e-26, 0, 0, 0, 5.49697e-30, 3.87606e-29, 0, 0, 4.42578e-29, 1.2367e-25, 0, 58.5112, 0.973205, 2.97155, 713.083
227.5, 9.71822e-27, 0, 0, 0, 1.09369e-30, 8.64632e-30, 0, 0, 9.74008e-30, 2.92159e-26, 0, 59.8958, 0.973176, 3.00797, 698.24
228.5, 2.06213e-27, 0, 0, 0, 1.90415e-31, 1.70135e-30, 0, 0, 1.89178e-30, 6.09069e-27, 0, 61.4461, 0.973144, 3.07991, 682.975
229.5, 3.75193e-28, 0, 0, 0, 2.93662e-32, 2.97763e-31, 0, 0, 3.27131e-31, 1.12789e-27, 0, 63.1501, 0.973116, 3.08925, 667.434
230.5, 5.97246e-29, 0, 0, 0, 4.00043e-33, 4.60098e-32, 0, 0, 5.00098e-32, 1.83881e-28, 0, 64.9878, 0.973084, 3.01012, 651.641
231.5, 8.33484e-30, 0, 0, 0, 4.71558e-34, 6.14469e-33, 0, 0, 6.6162e-33, 2.58445e-29, 0, 66.9571, 0.973056, 2.84867, 635.529
232.5, 1.01428e-30, 0, 0, 0, 4.73583e-35, 7.04149e-34, 0, 0, 7.51508e-34, 3.11161e-30, 0, 69.0634, 0.973025, 2.73709, 619.139
233.5, 1.0519e-31, 0, 0, 0, 3.83689e-36, 6.73731e-35, 0, 0, 7.12105e-35, 3.12034e-31, 0, 71.3295, 0.972997, 2.75131, 602.392
234.5, 9.16651e-33, 0, 0, 0, 2.19099e-37, 5.24315e-36, 0, 0, 5.46226e-36, 2.58068e-32, 0, 73.7698, 0.972966, 2.8856, 585.229
