case index 125 = {
los index, 0
num freq, 9788
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
212.5, 0, 0, 0, 0, 1.16633e-30, 0, 0, 0, 1.16633e-30, 0, 0, 99.99, 0.973626, 2.72158, 727.604
213.5, 0, 0, 0, 0, 1.61142e-30, 0, 0, 0, 1.61142e-30, 0, 0, 99.99, 0.973596, 2.85388, 726.918
214.5, 0, 0, 0, 0, 2.07712e-30, 0, 0, 0, 2.07712e-30, 0, 0, 99.99, 0.973565, 2.96174, 725.71
215.5, 0, 0, 0, 0, 2.41862e-30, 0, 0, 0, 2.41862e-30, 0, 0, 99.99, 0.97353, 2.9779, 723.726
216.5, 0, 0, 0, 0, 2.56974e-30, 0, 0, 0, 2.56974e-30, 0, 0, 99.99, 0.973503, 2.95986, 721.046
217.5, 0, 0, 0, 0, 2.58774e-30, 0, 0, 0, 2.58774e-30, 0, 0, 99.99, 0.973476, 3.04369, 717.971
218.5, 0, 0, 0, 0, 2.43126e-30, 0, 0, 0, 2.43126e-30, 0, 0, 99.99, 0.973448, 3.18234, 714.385
219.5, 0, 0, 0, 0, 1.99519e-30, 0, 0, 0, 1.99519e-30, 0, 0, 99.99, 0.973413, 3.1749, 709.788
220.5, 0, 0, 0, 0, 1.3791e-30, 0, 0, 0, 1.3791e-30, 0, 0, 99.99, 0.973385, 3.0159, 703.928
221.5, 0, 0, 0, 0, 8.0994e-31, 0, 0, 0, 8.0994e-31, 0, 0, 99.99, 0.973352, 2.94539, 696.917
222.5, 0, 0, 0, 0, 4.26892e-31, 0, 0, 0, 4.26892e-31, 0, 0, 99.99, 0.973323, 3.12121, 689.212
223.5, 0, 0, 0, 0, 2.04649e-31, 0, 0, 0, 2.04649e-31, 0, 0, 99.99, 0.973296, 3.33251, 680.95
224.5, 0, 0, 0, 0, 8.35249e-32, 0, 0, 0, 8.35249e-32, 0, 0, 99.99, 0.973265, 3.29696, 671.701
225.5, 0, 0, 0, 0, 2.72494e-32, 0, 0, 0, 2.72494e-32, 0, 0, 99.99, 0.973236, 3.08705, 661.106
226.5, 0, 0, 0, 0, 7.09837e-33, 0, 0, 0, 7.09837e-33, 0, 0, 99.99, 0.973205, 2.97155, 649.274
227.5, 0, 0, 0, 0, 1.55146e-33, 0, 0, 0, 1.55146e-33, 0, 0, 99.99, 0.973176, 3.00797, 636.653
228.5, 0, 0, 0, 0, 2.95896e-34, 0, 0, 0, 2.95896e-34, 0, 0, 99.99, 0.973144, 3.07991, 623.588
229.5, 0, 0, 0, 0, 4.9685e-35, 0, 0, 0, 4.9685e-35, 0, 0, 99.99, 0.973116, 3.08925, 610.203
230.5, 0, 0, 0, 0, 7.29466e-36, 0, 0, 0, 7.29466e-36, 0, 0, 99.99, 0.973084, 3.01012, 596.525
231.5, 0, 0, 0, 0, 8.96436e-37, 0, 0, 0, 8.96436e-37, 0, 0, 99.99, 0.973056, 2.84867, 582.383
232.5, 0, 0, 0, 0, 8.42465e-38, 0, 0, 0, 8.42465e-38, 0, 0, 99.99, 0.973025, 2.73709, 567.386
233.5, 0, 0, 0, 0, 5.18469e-39, 0, 0, 0, 5.18469e-39, 0, 0, 99.99, 0.972997, 2.75131, 551.35
234.5, 0, 0, 0, 0, 1.7515e-40, 0, 0, 0, 1.7515e-40, 0, 0, 99.99, 0.972966, 2.8856, -99
235.5, 0, 0, 0, 0, 2.57559e-42, 0, 0, 0, 2.57559e-42, 0, 0, 99.99, 0.972934, 3.08669, -99
236.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972909, 3.12579, -99
237.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972872, 3.00333, -99
