case index 124 = {
los index, 0
num freq, 9788
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
212.5, 0, 0, 0, 0, 2.34229e-31, 0, 0, 0, 2.34229e-31, 0, 0, 99.99, 0.973626, 2.72158, 715.239
213.5, 0, 0, 0, 0, 3.28491e-31, 0, 0, 0, 3.28491e-31, 0, 0, 99.99, 0.973596, 2.85388, 714.632
214.5, 0, 0, 0, 0, 4.30443e-31, 0, 0, 0, 4.30443e-31, 0, 0, 99.99, 0.973565, 2.96174, 713.534
215.5, 0, 0, 0, 0, 5.10849e-31, 0, 0, 0, 5.10849e-31, 0, 0, 99.99, 0.97353, 2.9779, 711.705
216.5, 0, 0, 0, 0, 5.5498e-31, 0, 0, 0, 5.5498e-31, 0, 0, 99.99, 0.973503, 2.95986, 709.228
217.5, 0, 0, 0, 0, 5.72783e-31, 0, 0, 0, 5.72783e-31, 0, 0, 99.99, 0.973476, 3.04369, 706.386
218.5, 0, 0, 0, 0, 5.51164e-31, 0, 0, 0, 5.51164e-31, 0, 0, 99.99, 0.973448, 3.18234, 703.042
219.5, 0, 0, 0, 0, 4.62656e-31, 0, 0, 0, 4.62656e-31, 0, 0, 99.99, 0.973413, 3.1749, 698.708
220.5, 0, 0, 0, 0, 3.26849e-31, 0, 0, 0, 3.26849e-31, 0, 0, 99.99, 0.973385, 3.0159, 693.14
221.5, 0, 0, 0, 0, 1.96308e-31, 0, 0, 0, 1.96308e-31, 0, 0, 99.99, 0.973352, 2.94539, 686.457
222.5, 0, 0, 0, 0, 1.0597e-31, 0, 0, 0, 1.0597e-31, 0, 0, 99.99, 0.973323, 3.12121, 679.106
223.5, 0, 0, 0, 0, 5.1998e-32, 0, 0, 0, 5.1998e-32, 0, 0, 99.99, 0.973296, 3.33251, 671.203
224.5, 0, 0, 0, 0, 2.16809e-32, 0, 0, 0, 2.16809e-32, 0, 0, 99.99, 0.973265, 3.29696, 662.32
225.5, 0, 0, 0, 0, 7.22094e-33, 0, 0, 0, 7.22094e-33, 0, 0, 99.99, 0.973236, 3.08705, 652.114
226.5, 0, 0, 0, 0, 1.92273e-33, 0, 0, 0, 1.92273e-33, 0, 0, 99.99, 0.973205, 2.97155, 640.703
227.5, 0, 0, 0, 0, 4.30365e-34, 0, 0, 0, 4.30365e-34, 0, 0, 99.99, 0.973176, 3.00797, 628.523
228.5, 0, 0, 0, 0, 8.40981e-35, 0, 0, 0, 8.40981e-35, 0, 0, 99.99, 0.973144, 3.07991, 615.898
229.5, 0, 0, 0, 0, 1.4417e-35, 0, 0, 0, 1.4417e-35, 0, 0, 99.99, 0.973116, 3.08925, 602.926
230.5, 0, 0, 0, 0, 2.11741e-36, 0, 0, 0, 2.11741e-36, 0, 0, 99.99, 0.973084, 3.01012, 589.541
231.5, 0, 0, 0, 0, 2.46085e-37, 0, 0, 0, 2.46085e-37, 0, 0, 99.99, 0.973056, 2.84867, 575.407
232.5, 0, 0, 0, 0, 2.01305e-38, 0, 0, 0, 2.01305e-38, 0, 0, 99.99, 0.973025, 2.73709, 559.899
233.5, 0, 0, 0, 0, 1.01312e-39, 0, 0, 0, 1.01312e-39, 0, 0, 99.99, 0.972997, 2.75131, 544.58
234.5, 0, 0, 0, 0, 2.71417e-41, 0, 0, 0, 2.71417e-41, 0, 0, 99.99, 0.972966, 2.8856, -99
235.5, 0, 0, 0, 0, 1.37327e-43, 0, 0, 0, 1.37327e-43, 0, 0, 99.99, 0.972934, 3.08669, -99
236.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972909, 3.12579, -99
237.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972872, 3.00333, -99
238.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972847, 2.9342, -99
239.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972816, 2.99532, -99
240.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972789, 3.22126, -99
241.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972757, 3.93839, -99
242.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972721, 5.08627, -99
243.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972694, 6.229, -99
244.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972663, 7.16461, -99
245.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972634, 7.75182, -99
246.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972601, 7.97011, -99
247.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972574, 7.73124, -99
248.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972544, 7.35331, -99
249.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972515, 7.47152, -99
250.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972484, 7.3845, -99
251.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.97246, 6.77503, -99
252.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972426, 6.7543, -99
253.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972393, 7.5918, -99
254.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972366, 8.62809, -99
255.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972331, 9.54485, -99
256.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972303, 10.1326, -99
257.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972275, 10.2911, -99
258.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972244, 9.81958, -99
259.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972214, 8.9274, -99
260.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972185, 8.07574, -99
261.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972156, 7.97327, -99
262.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972127, 9.48304, -99
263.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972092, 12.9937, -99
264.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972065, 16.7844, -99
265.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972037, 18.8015, -99
266.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99.99, 0.972006, 19.5804, -99
267.5, 0, 0, 0, 0, 5.60519e-44, 0, 0, 0, 5.60519e-44, 0, 0, 99.99, 0.971976, 20.2297, -99
268.5, 0, 0, 0, 0, 9.02787e-41, 0, 0, 0, 9.02787e-41, 0, 0, 99.99, 0.971947, 20.9492, -99
269.5, 0, 0, 0, 0, 6.61479e-39, 0, 0, 0, 6.61479e-39, 0, 0, 99.99, 0.971917, 21.519, 481.884
270.5, 0, 0, 0, 0, 5.4568e-37, 0, 0, 0, 5.4568e-37, 0, 0, 99.99, 0.971885, 21.0154, 499.866
271.5, 0, 0, 0, 0, 4.64853e-35, 0, 0, 0, 4.64853e-35, 0, 0, 99.99, 0.971852, 18.8469, 519.872
272.5, 0, 0, 0, 0, 2.67463e-33, 0, 0, 0, 2.67463e-33, 0, 0, 99.99, 0.971824, 16.6475, 539.544
273.5, 0, 0, 0, 0, 1.42167e-31, 0, 0, 0, 1.42167e-31, 0, 0, 99.99, 0.971799, 15.2884, 560.466
274.5, 0, 0, 0, 0, 6.52707e-30, 0, 0, 0, 6.52707e-30, 0, 0, 99.99, 0.971765, 15.1418, 582.311
275.5, 0, 0, 0, 0, 3.89293e-28, 0, 0, 0, 3.89293e-28, 1.12104e-44, 0, 99.99, 0.971733, 17.9259, 607.971
276.5, 1.00893e-43, 0, 0, 0, 3.97373e-26, 0, 0, 0, 3.97373e-26, 2.93152e-42, 0, 99.0023, 0.971703, 20.8011, 640.437
277.5, 1.27098e-41, 0, 0, 0, 2.44308e-24, 0, 0, 0, 2.44308e-24, 2.20983e-40, 0, 94.1662, 0.971677, 19.2515, 672.403
278.5, 3.42808e-40, 0, 0, 0, 8.96757e-23, 0, 0, 0, 8.96757e-23, 8.09647e-39, 0, 90.8714, 0.971641, 15.016, 703.039
279.5, 6.05514e-39, 0, 0, 0, 2.09633e-21, 5.395e-43, 0, 0, 2.09633e-21, 1.65782e-37, 0, 87.9999, 0.971613, 12.5985, 732.136
280.5, 9.26744e-38, 0, 0, 0, 4.24288e-20, 4.74718e-41, 0, 0, 4.24288e-20, 2.54866e-36, 0, 85.2717, 0.971587, 14.8077, 762.362
281.5, 1.47277e-36, 0, 0, 0, 7.98104e-19, 1.90544e-39, 0, 0, 7.98104e-19, 3.55214e-35, 0, 82.5059, 0.971559, 21.167, 794.549
282.5, 2.01966e-35, 0, 0, 0, 1.36606e-17, 4.4673e-38, 0, 0, 1.36606e-17, 4.53721e-34, 0, 79.8876, 0.971523, 26.9348, 828.579
283.5, 2.14083e-34, 0, 0, 0, 2.19608e-16, 7.18584e-37, 0, 0, 2.19608e-16, 5.53319e-33, 0, 77.5267, 0.971495, 28.2333, 865.022
284.5, 2.00316e-33, 0, 0, 0, 3.1839e-15, 8.89221e-36, 0, 0, 3.1839e-15, 6.19148e-32, 0, 75.2906, 0.971466, 25.8885, 903.462
285.5, 1.81247e-32, 0, 0, 0, 3.98443e-14, 9.20639e-35, 0, 0, 3.98443e-14, 6.05779e-31, 0, 73.088, 0.971434, 25.7406, 943.202
286.5, 1.38523e-31, 0, 0, 0, 4.06356e-13, 7.95592e-34, 0, 0, 4.06356e-13, 4.99234e-30, 0, 71.0543, 0.971404, 29.9716, 982.985
287.5, 8.29078e-31, 0, 0, 0, 3.27124e-12, 5.52123e-33, 0, 0, 3.27124e-12, 3.31351e-29, 0, 69.265, 0.971378, 33.5233, 1021.65
288.5, 4.15317e-30, 0, 0, 0, 2.18343e-11, 3.14185e-32, 0, 0, 2.18343e-11, 1.79278e-28, 0, 67.6537, 0.971343, 36.4484, 1059.57
289.5, 1.9127e-29, 0, 0, 0, 1.31409e-10, 1.59128e-31, 0, 0, 1.31409e-10, 8.54572e-28, 0, 66.1264, 0.971314, 40.5239, 1098.22
290.5, 8.05304e-29, 0, 0, 0, 6.92144e-10, 7.1839e-31, 0, 0, 6.92144e-10, 3.6312e-27, 0, 64.6889, 0.971287, 43.4333, 1136.63
291.5, 2.93851e-28, 0, 0, 0, 3.08232e-09, 2.76354e-30, 0, 0, 3.08232e-09, 1.3133e-26, 0, 63.3945, 0.971257, 44.5064, 1173.43
