case index 123 = {
los index, 0
num freq, 9788
num column, 15
Waveln,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
  [nm],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
212.5, 4.39762e-40, 0, 0, 0, 2.33919e-30, 0, 0, 0, 2.33919e-30, 0, 0, 90.6223, 0.973626, 2.72158, 733.099
213.5, 5.89949e-40, 0, 0, 0, 3.22024e-30, 0, 0, 0, 3.22024e-30, 0, 0, 90.3285, 0.973596, 2.85388, 732.399
214.5, 7.50849e-40, 0, 0, 0, 4.13543e-30, 0, 0, 0, 4.13543e-30, 0, 0, 90.0874, 0.973565, 2.96174, 731.169
215.5, 8.88713e-40, 0, 0, 0, 4.79588e-30, 0, 0, 0, 4.79588e-30, 0, 0, 89.9188, 0.97353, 2.9779, 729.148
216.5, 9.67826e-40, 0, 0, 0, 5.07255e-30, 0, 0, 0, 5.07255e-30, 0, 0, 89.8335, 0.973503, 2.95986, 726.417
217.5, 9.67487e-40, 0, 0, 0, 5.08353e-30, 0, 0, 0, 5.08353e-30, 0, 0, 89.8339, 0.973476, 3.04369, 723.283
218.5, 8.8418e-40, 0, 0, 0, 4.75436e-30, 0, 0, 0, 4.75436e-30, 0, 0, 89.9239, 0.973448, 3.18234, 719.632
219.5, 7.31153e-40, 0, 0, 0, 3.885e-30, 0, 0, 0, 3.885e-30, 0, 0, 90.114, 0.973413, 3.1749, 714.957
220.5, 5.36846e-40, 0, 0, 0, 2.67406e-30, 0, 0, 0, 2.67406e-30, 0, 0, 90.4229, 0.973385, 3.0159, 709.003
221.5, 3.42357e-40, 0, 0, 0, 1.56352e-30, 0, 0, 0, 1.56352e-30, 0, 0, 90.8727, 0.973352, 2.94539, 701.88
222.5, 1.87581e-40, 0, 0, 0, 8.20154e-31, 0, 0, 0, 8.20154e-31, 0, 0, 91.4744, 0.973323, 3.12121, 694.052
223.5, 8.77787e-41, 0, 0, 0, 3.91409e-31, 0, 0, 0, 3.91409e-31, 0, 0, 92.2338, 0.973296, 3.33251, 685.663
224.5, 3.46191e-41, 0, 0, 0, 1.59112e-31, 0, 0, 0, 1.59112e-31, 0, 0, 93.1642, 0.973265, 3.29696, 676.278
225.5, 1.18228e-41, 0, 0, 0, 5.17164e-32, 0, 0, 0, 5.17164e-32, 0, 0, 94.2385, 0.973236, 3.08705, 665.533
226.5, 1.75302e-42, 0, 0, 0, 1.34201e-32, 0, 0, 0, 1.34201e-32, 0, 0, 96.1472, 0.973205, 2.97155, 653.537
227.5, 0, 0, 0, 0, 2.92111e-33, 0, 0, 0, 2.92111e-33, 0, 0, 99.99, 0.973176, 3.00797, 640.743
228.5, 0, 0, 0, 0, 5.54698e-34, 0, 0, 0, 5.54698e-34, 0, 0, 99.99, 0.973144, 3.07991, 627.501
229.5, 0, 0, 0, 0, 9.26486e-35, 0, 0, 0, 9.26486e-35, 0, 0, 99.99, 0.973116, 3.08925, 613.934
230.5, 0, 0, 0, 0, 1.3515e-35, 0, 0, 0, 1.3515e-35, 0, 0, 99.99, 0.973084, 3.01012, 600.068
231.5, 0, 0, 0, 0, 1.67095e-36, 0, 0, 0, 1.67095e-36, 0, 0, 99.99, 0.973056, 2.84867, 585.804
232.5, 0, 0, 0, 0, 1.66502e-37, 0, 0, 0, 1.66502e-37, 0, 0, 99.99, 0.973025, 2.73709, 570.978
