case index 8 = {
num freq, 4701
num column, 38
Waveln,  combin,  H2O,  umix,  O3,  trace,  N2,  H2Ocnt,  molec,  aercld,  HNO3,  aercld,  CO2,  CO,  CH4,  N2O,  O2,  NH3,  NO,  NO2,  SO2,  cloud,  F11,  F12,  CCl3F,  CF4,  F22,  F113,  F114,  R115,  ClONO2,  HNO4,  CHCl2F,  CCl4,  N2O5,  H2-H2,  H2-HE,  H2-CH4,  CH4-CH4
  [nm],  trans,  trans,  trans,  trans,  trans,  trans,  trans,  scat,  trans,  trans,  abtrns,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans
300, 1.70282e-15, 1, 1, 6.05713e-08, 0.985954, 1, 1, 0.00112279, 2.11629e-05, 1, 0.0618996, 1, 1, 1, 1, 1, 1, 1, 0.99674, 0.989178, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
301, 1.46685e-14, 1, 1, 4.63466e-07, 0.987323, 1, 1, 0.00123682, 2.16051e-05, 1, 0.0623835, 1, 1, 1, 1, 1, 1, 1, 0.996644, 0.990646, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
302, 8.7508e-14, 1, 1, 2.52343e-06, 0.987882, 1, 1, 0.00136006, 2.20912e-05, 1, 0.062854, 1, 1, 1, 1, 1, 1, 1, 0.996433, 0.991418, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
303, 4.55198e-13, 1, 1, 1.17433e-05, 0.988542, 1, 1, 0.00149304, 2.25989e-05, 1, 0.0633226, 1, 1, 1, 1, 1, 1, 1, 0.996195, 0.992318, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
304, 2.05869e-12, 1, 1, 4.80653e-05, 0.988887, 1, 1, 0.00163628, 2.31175e-05, 1, 0.0637927, 1, 1, 1, 1, 1, 1, 1, 0.996041, 0.992817, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
305, 7.06e-12, 1, 1, 0.00015027, 0.989485, 1, 1, 0.00179034, 2.36453e-05, 1, 0.0642619, 1, 1, 1, 1, 1, 1, 1, 0.995959, 0.9935, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
306, 2.45119e-11, 1, 1, 0.000467795, 0.989725, 1, 1, 0.00195577, 2.41816e-05, 1, 0.064729, 1, 1, 1, 1, 1, 1, 1, 0.995893, 0.993808, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
307, 6.52102e-11, 1, 1, 0.00114271, 0.990086, 1, 1, 0.00213316, 2.47281e-05, 1, 0.0651963, 1, 1, 1, 1, 1, 1, 1, 0.995785, 0.994277, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
308, 1.69412e-10, 1, 1, 0.00267041, 0.990419, 1, 1, 0.00232308, 2.52861e-05, 1, 0.0656656, 1, 1, 1, 1, 1, 1, 1, 0.995633, 0.994764, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
309, 3.89105e-10, 1, 1, 0.00557512, 0.990726, 1, 1, 0.00252613, 2.58546e-05, 1, 0.0661364, 1, 1, 1, 1, 1, 1, 1, 0.99542, 0.995283, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
310, 7.94771e-10, 1, 1, 0.0104042, 0.991017, 1, 1, 0.0027429, 2.64311e-05, 1, 0.0666063, 1, 1, 1, 1, 1, 1, 1, 0.995231, 0.995766, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
