case index 7 = {
num freq, 3000
num column, 38
Waveln,  combin,  H2O,  umix,  O3,  trace,  N2,  H2Ocnt,  molec,  aercld,  HNO3,  aercld,  CO2,  CO,  CH4,  N2O,  O2,  NH3,  NO,  NO2,  SO2,  cloud,  F11,  F12,  CCl3F,  CF4,  F22,  F113,  F114,  R115,  ClONO2,  HNO4,  CHCl2F,  CCl4,  N2O5,  H2-H2,  H2-HE,  H2-CH4,  CH4-CH4
  [nm],  trans,  trans,  trans,  trans,  trans,  trans,  trans,  scat,  trans,  trans,  abtrns,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans
2001, 0.0594394, 0.90044, 0.124682, 1, 0.999929, 1, 0.997212, 0.998454, 0.515952, 1, 0.744061, 0.124746, 1, 0.999979, 0.999539, 1, 0.999929, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2002, 0.0362315, 0.855964, 0.0811802, 1, 0.999944, 1, 0.997349, 0.998457, 0.516123, 1, 0.744134, 0.0812165, 1, 0.999987, 0.999588, 1, 0.999944, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2003, 0.024351, 0.817158, 0.0596349, 1, 0.999962, 1, 0.997479, 0.99846, 0.516288, 1, 0.744205, 0.059657, 1, 0.999987, 0.999652, 1, 0.999962, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2004, 0.0192817, 0.813052, 0.0481094, 1, 0.999953, 1, 0.997602, 0.998463, 0.516454, 1, 0.744276, 0.0481249, 1, 0.99998, 0.9997, 1, 0.999953, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2005, 0.0193026, 0.813575, 0.0472815, 1, 0.999924, 1, 0.997712, 0.998466, 0.516619, 1, 0.744346, 0.0472946, 1, 0.999965, 0.999748, 1, 0.999924, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2006, 0.027711, 0.828175, 0.0639304, 1, 0.99994, 1, 0.997815, 0.998469, 0.516784, 1, 0.744417, 0.0639445, 1, 0.999949, 0.999801, 1, 0.99994, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2007, 0.0499629, 0.885116, 0.105521, 1, 0.999965, 1, 0.997913, 0.998472, 0.51695, 1, 0.744488, 0.105551, 1, 0.999938, 0.999822, 1, 0.999965, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2008, 0.0820193, 0.941314, 0.165138, 0.999999, 0.999967, 1, 0.998006, 0.998476, 0.517115, 1, 0.744559, 0.165216, 1, 0.999949, 0.999713, 1, 0.999967, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2009, 0.102743, 0.975743, 0.202933, 0.999998, 0.99995, 1, 0.998092, 0.998478, 0.517279, 1, 0.74463, 0.203062, 1, 0.99997, 0.99953, 1, 0.99995, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2010, 0.0898296, 0.987857, 0.176315, 0.999997, 0.999961, 1, 0.998174, 0.998482, 0.517443, 1, 0.744702, 0.176432, 1, 0.999987, 0.99949, 1, 0.999961, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2011, 0.066443, 0.985684, 0.130805, 0.999996, 0.999974, 1, 0.998253, 0.998484, 0.517606, 1, 0.744773, 0.130871, 1, 0.999991, 0.999628, 1, 0.999974, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2012, 0.0512123, 0.966618, 0.103775, 0.999995, 0.999969, 1, 0.998328, 0.998488, 0.517769, 1, 0.744845, 0.103801, 1, 0.999978, 0.9998, 1, 0.999969, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
