Pass Summary Report

--- 1550nm ---
SKR_max: 33427.2
SKR_mean: 3196.22
SK_total_bits: 478700
Sifted_max: 148124
Sifted_mean: 122765
Sifted_total_bits: 1.89434e+07
QBER_max: 0.160115
QBER_mean: 0.0863522
QBER_sum: 13.3846
BCR_max: 1.20105e+06
BCR_mean: 789996
BCR_total_counts: 1.2177e+08
DCR_max: 4
DCR_mean: 4
DCR_total_counts: 616
LinkLength_max_m: 940414
KeyTime_total_s: 30
TotalLoss_dB_max: 33.3491
TotalLoss_dB_mean: 31.6926
TotalLoss_dB_sum: 4912.35
geometric_dB_max: 28.8554
geometric_dB_mean: 27.621
geometric_dB_sum: 4281.25
turbulence_dB_max: 0.000258386
turbulence_dB_mean: 0.000253321
turbulence_dB_sum: 0.0392648
apt_dB_max: 0.0832464
apt_dB_mean: 0.0832464
apt_dB_sum: 12.9032
atmospheric_dB_max: 2.76495
atmospheric_dB_mean: 2.34278
atmospheric_dB_sum: 363.131
transmitterTelescopeEfficiency_dB_max: 0.77816
transmitterTelescopeEfficiency_dB_mean: 0.77816
transmitterTelescopeEfficiency_dB_sum: 120.615
receiverTelescopeEfficiency_dB_max: 0.409586
receiverTelescopeEfficiency_dB_mean: 0.409586
receiverTelescopeEfficiency_dB_sum: 63.4858
detectionEfficiency_dB_max: 0.457575
detectionEfficiency_dB_mean: 0.457575
detectionEfficiency_dB_sum: 70.9241
sourceEfficiency_dB_max: -0
sourceEfficiency_dB_mean: -0
sourceEfficiency_dB_sum: -0
jitter_dB_max: -0
jitter_dB_mean: -0
jitter_dB_sum: -0
filterEfficency_dB_max: -0
filterEfficency_dB_mean: -0
filterEfficency_dB_sum: -0
timeGateOverlap_dB_max: 5.11227e-07
timeGateOverlap_dB_mean: 5.10791e-07
timeGateOverlap_dB_sum: 7.91726e-05

--- 2036nm ---
SKR_max: 23393.7
SKR_mean: 12967.6
SK_total_bits: 1.99828e+06
Sifted_max: 67939.2
Sifted_mean: 56244.7
Sifted_total_bits: 8.67895e+06
QBER_max: 0.0955575
QBER_mean: 0.0487338
QBER_sum: 7.55374
BCR_max: 287275
BCR_mean: 186076
BCR_total_counts: 2.86795e+07
DCR_max: 4000
DCR_mean: 4000
DCR_total_counts: 616000
LinkLength_max_m: 940414
KeyTime_total_s: 124
TotalLoss_dB_max: 36.4579
TotalLoss_dB_mean: 34.8482
TotalLoss_dB_sum: 5401.48
geometric_dB_max: 31.194
geometric_dB_mean: 29.9549
geometric_dB_sum: 4643.01
turbulence_dB_max: 0.000143048
turbulence_dB_mean: 0.000140152
turbulence_dB_sum: 0.0217236
apt_dB_max: 0.0484415
apt_dB_mean: 0.0484415
apt_dB_sum: 7.50843
atmospheric_dB_max: 2.46887
atmospheric_dB_mean: 2.09834
atmospheric_dB_sum: 325.243
transmitterTelescopeEfficiency_dB_max: 0.77816
transmitterTelescopeEfficiency_dB_mean: 0.77816
transmitterTelescopeEfficiency_dB_sum: 120.615
receiverTelescopeEfficiency_dB_max: 0.409586
receiverTelescopeEfficiency_dB_mean: 0.409586
receiverTelescopeEfficiency_dB_sum: 63.4858
detectionEfficiency_dB_max: 1.54902
detectionEfficiency_dB_mean: 1.54902
detectionEfficiency_dB_sum: 240.098
sourceEfficiency_dB_max: -0
sourceEfficiency_dB_mean: -0
sourceEfficiency_dB_sum: -0
jitter_dB_max: 0.000334568
jitter_dB_mean: 0.000334568
jitter_dB_sum: 0.0518581
filterEfficency_dB_max: -0
filterEfficency_dB_mean: -0
filterEfficency_dB_sum: -0
timeGateOverlap_dB_max: 0.00930637
timeGateOverlap_dB_mean: 0.00930354
timeGateOverlap_dB_sum: 1.44205

--- 2310nm ---
SKR_max: 21976.4
SKR_mean: 15726.7
SK_total_bits: 2.42739e+06
Sifted_max: 53733.2
Sifted_mean: 44570.1
Sifted_total_bits: 6.87734e+06
QBER_max: 0.0725234
QBER_mean: 0.0375196
QBER_sum: 5.81553
BCR_max: 164239
BCR_mean: 108522
BCR_total_counts: 1.67275e+07
DCR_max: 4000
DCR_mean: 4000
DCR_total_counts: 616000
LinkLength_max_m: 940414
KeyTime_total_s: 145
TotalLoss_dB_max: 37.366
TotalLoss_dB_mean: 35.7933
TotalLoss_dB_sum: 5547.96
geometric_dB_max: 32.2792
geometric_dB_mean: 31.0383
geometric_dB_sum: 4810.94
turbulence_dB_max: 0.000108714
turbulence_dB_mean: 0.000106487
turbulence_dB_sum: 0.0165054
apt_dB_max: 0.037678
apt_dB_mean: 0.037678
apt_dB_sum: 5.8401
atmospheric_dB_max: 2.23706
atmospheric_dB_mean: 1.90524
atmospheric_dB_sum: 295.312
transmitterTelescopeEfficiency_dB_max: 0.77816
transmitterTelescopeEfficiency_dB_mean: 0.77816
transmitterTelescopeEfficiency_dB_sum: 120.615
receiverTelescopeEfficiency_dB_max: 0.409586
receiverTelescopeEfficiency_dB_mean: 0.409586
receiverTelescopeEfficiency_dB_sum: 63.4858
detectionEfficiency_dB_max: 1.54902
detectionEfficiency_dB_mean: 1.54902
detectionEfficiency_dB_sum: 240.098
sourceEfficiency_dB_max: -0
sourceEfficiency_dB_mean: -0
sourceEfficiency_dB_sum: -0
jitter_dB_max: 0.000334568
jitter_dB_mean: 0.000334568
jitter_dB_sum: 0.0518581
filterEfficency_dB_max: -0
filterEfficency_dB_mean: -0
filterEfficency_dB_sum: -0
timeGateOverlap_dB_max: 0.0748349
timeGateOverlap_dB_mean: 0.0748205
timeGateOverlap_dB_sum: 11.5972

--- 3420nm ---
SKR_max: 1305.88
SKR_mean: 311.378
SK_total_bits: 48263.6
Sifted_max: 18480.5
Sifted_mean: 15460.9
Sifted_total_bits: 2.38541e+06
QBER_max: 0.115088
QBER_mean: 0.071694
QBER_sum: 11.1126
BCR_max: 87274.6
BCR_mean: 66264.1
BCR_total_counts: 1.02021e+07
DCR_max: 12000
DCR_mean: 12000
DCR_total_counts: 1.848e+06
LinkLength_max_m: 940414
KeyTime_total_s: 62
TotalLoss_dB_max: 42.1748
TotalLoss_dB_mean: 40.5808
TotalLoss_dB_sum: 6290.02
geometric_dB_max: 35.6597
geometric_dB_mean: 34.4145
geometric_dB_sum: 5334.25
turbulence_dB_max: 4.62224e-05
turbulence_dB_mean: 4.52481e-05
turbulence_dB_sum: 0.00701345
apt_dB_max: 0.0172299
apt_dB_mean: 0.0172299
apt_dB_sum: 2.67064
atmospheric_dB_max: 2.35478
atmospheric_dB_mean: 2.0059
atmospheric_dB_sum: 310.914
transmitterTelescopeEfficiency_dB_max: 0.77816
transmitterTelescopeEfficiency_dB_mean: 0.77816
transmitterTelescopeEfficiency_dB_sum: 120.615
receiverTelescopeEfficiency_dB_max: 0.409586
receiverTelescopeEfficiency_dB_mean: 0.409586
receiverTelescopeEfficiency_dB_sum: 63.4858
detectionEfficiency_dB_max: 1.54902
detectionEfficiency_dB_mean: 1.54902
detectionEfficiency_dB_sum: 240.098
sourceEfficiency_dB_max: -0
sourceEfficiency_dB_mean: -0
sourceEfficiency_dB_sum: -0
jitter_dB_max: 0.000334568
jitter_dB_mean: 0.000334568
jitter_dB_sum: 0.0518581
filterEfficency_dB_max: -0
filterEfficency_dB_mean: -0
filterEfficency_dB_sum: -0
timeGateOverlap_dB_max: 1.4061
timeGateOverlap_dB_mean: 1.40601
timeGateOverlap_dB_sum: 217.932

