Pass Summary Report

--- 1550nm ---
SKR_max: 41188.4
SKR_mean: 9628.41
SK_total_bits: 1.8762e+06
Sifted_max: 327026
Sifted_mean: 240275
Sifted_total_bits: 4.71979e+07
QBER_max: 0.169646
QBER_mean: 0.0787817
QBER_sum: 15.52
BCR_max: 2.0853e+06
BCR_mean: 1.31661e+06
BCR_total_counts: 2.58176e+08
DCR_max: 4
DCR_mean: 4
DCR_total_counts: 784
LinkLength_max_m: 941175
KeyTime_total_s: 77
TotalLoss_dB_max: 31.3759
TotalLoss_dB_mean: 28.8223
TotalLoss_dB_sum: 5678
geometric_dB_max: 28.8623
geometric_dB_mean: 26.515
geometric_dB_sum: 5223.45
turbulence_dB_max: 0.00028057
turbulence_dB_mean: 0.000267445
turbulence_dB_sum: 0.0526867
apt_dB_max: 0.0832464
apt_dB_mean: 0.0832464
apt_dB_sum: 16.3995
atmospheric_dB_max: 0.784788
atmospheric_dB_mean: 0.578516
atmospheric_dB_sum: 113.968
transmitterTelescopeEfficiency_dB_max: 0.77816
transmitterTelescopeEfficiency_dB_mean: 0.77816
transmitterTelescopeEfficiency_dB_sum: 153.298
receiverTelescopeEfficiency_dB_max: 0.409586
receiverTelescopeEfficiency_dB_mean: 0.409586
receiverTelescopeEfficiency_dB_sum: 80.6885
detectionEfficiency_dB_max: 0.457575
detectionEfficiency_dB_mean: 0.457575
detectionEfficiency_dB_sum: 90.1423
sourceEfficiency_dB_max: -0
sourceEfficiency_dB_mean: -0
sourceEfficiency_dB_sum: -0
jitter_dB_max: -0
jitter_dB_mean: -0
jitter_dB_sum: -0
filterEfficency_dB_max: -0
filterEfficency_dB_mean: -0
filterEfficency_dB_sum: -0
timeGateOverlap_dB_max: 5.11357e-07
timeGateOverlap_dB_mean: 5.10796e-07
timeGateOverlap_dB_sum: 0.000100627

--- 2036nm ---
SKR_max: 59946.3
SKR_mean: 30403.8
SK_total_bits: 5.97227e+06
Sifted_max: 139915
Sifted_mean: 100537
Sifted_total_bits: 1.97514e+07
QBER_max: 0.109911
QBER_mean: 0.0457646
QBER_sum: 9.01563
BCR_max: 482098
BCR_mean: 295350
BCR_total_counts: 5.79226e+07
DCR_max: 4000
DCR_mean: 4000
DCR_total_counts: 784000
LinkLength_max_m: 941175
KeyTime_total_s: 163
TotalLoss_dB_max: 35.0579
